dataset,llsqreg,ridgereg,lasso,sparse_encoded_lasso,l1l2,importance,importance_corfilter,stepwise,inipg,ga_uniform
abalone,0.129,0.082,0.094,0.106,0.099,0.103,0.104,0.014,0.128,0.127
adult,0.754,0.754,0.752,0.754,0.754,0.745,0.745,0.753,0.754,0.757
cancer,0.981,0.981,0.975,0.975,0.981,0.981,0.975,0.981,0.975,0.975
card,0.86,0.86,0.86,0.86,0.866,0.84,0.828,0.86,0.863,0.86
covtype,0.485,0.485,0.487,0.484,0.482,0.439,0.439,0.482,0.487,0.499
gene,0.846,0.846,0.865,0.86,0.86,0.857,0.857,0.871,0.849,0.855
glass,0.483,0.496,0.389,0.456,0.552,0.488,0.496,0.453,0.527,0.504
heart,0.795,0.795,0.758,0.782,0.799,0.786,0.782,0.775,0.797,0.795
horse,0.509,0.509,0.265,0.265,0.628,0.509,0.509,0.623,0.506,0.542
madelon,0.575,0.577,0.622,0.603,0.608,0.56,0.557,0.61,0.575,0.57
optdigits,0.925,0.925,0.922,0.924,0.924,0.881,0.881,0.922,0.922,0.921
page-blocks,0.586,0.582,0.541,0.579,0.499,0.473,0.475,0.579,0.596,0.589
pendigits,0.873,0.873,0.87,0.872,0.868,0.81,0.81,0.873,0.873,0.874
poker,0.092,0.092,0.067,0.073,0.091,0.078,0.078,0.067,0.091,0.089
satimage,0.761,0.761,0.738,0.752,0.735,0.723,0.725,0.751,0.757,0.754
segmentation,0.875,0.874,0.863,0.865,0.871,0.842,0.854,0.87,0.873,0.868
shuttle,0.413,0.412,0.388,0.397,0.354,0.394,0.395,0.413,0.414,0.417
soybean,0.94,0.94,0.924,0.931,0.945,0.916,0.927,0.108,0.936,0.913
spect,0.506,0.506,0.523,0.564,0.559,0.536,0.536,0.563,0.51,0.524
thyroid,0.497,0.497,0.497,0.497,0.444,0.427,0.427,0.497,0.497,0.497
vehicle,0.781,0.781,0.765,0.78,0.751,0.714,0.725,0.767,0.774,0.776
waveform,0.843,0.841,0.842,0.842,0.842,0.83,0.828,0.841,0.843,0.849
