dataset,llsqreg,ridgereg,lasso,sparse_encoded_lasso,l1l2,importance,importance_corfilter,stepwise,inipg,ga_uniform,mlp
abalone,1.0,2.258,1.059,2.051,3.326,1.332,76.31,3.9,1827.0,4246.0,156.0
adult,1.0,2.962,0.8167,1.951,1.839,1.244,1.353,512.7,5446.0,14910.0,1676.0
cancer,1.0,4.354,2.002,3.109,8.501,2.167,167.3,20.23,1166.0,1095.0,9367.0
card,1.0,2.442,0.8136,1.429,4.878,1.09,1.157,17.05,2080.0,5108.0,1737.0
covtype,1.0,3.459,1.375,3.221,0.9492,1.294,1.714,1734.0,3081.0,10980.0,3399.0
gene,1.0,1.162,0.7464,1.82,21.42,1.111,1.137,163.1,2815.0,13720.0,2830.0
glass,1.0,1.933,27.7,28.62,36.02,28.58,31.41,58.2,968.0,2946.0,1683.0
heart,1.0,2.366,0.7202,1.487,4.246,0.9288,1.008,31.56,2057.0,6336.0,1886.0
horse,1.0,1.511,1.691,2.188,8.747,1.762,1.8,27.37,2112.0,6050.0,197.5
madelon,1.0,3.025,2.975,4.716,6.884,3.453,2.676,53.38,3058.0,29170.0,603.9
optdigits,1.0,1.283,0.8834,2.563,2.529,1.185,1.52,2248.0,2734.0,12120.0,3247.0
page-blocks,1.0,2.374,1.178,2.738,2.696,1.381,1.837,445.1,2581.0,5231.0,3367.0
pendigits,1.0,2.586,1.258,3.539,2.635,1.666,1.861,925.3,3244.0,6459.0,3693.0
poker,1.0,7.404,6.922,11.57,0.7726,1.788,2.059,14.49,3273.0,5061.0,1807.0
satimage,1.0,1.764,1.081,2.803,1.988,1.339,1.48,908.7,2796.0,10470.0,2155.0
segmentation,1.0,2.939,7.824,10.08,19.68,7.902,7.581,190.3,1376.0,3153.0,2023.0
shuttle,1.0,4.809,1.728,3.828,0.5649,2.341,19.3,775.5,3462.0,6537.0,25430.0
soybean,1.0,0.5514,1.1,2.222,51.56,1.501,1.225,8.42,2240.0,5878.0,60.66
spect,1.0,10.97,11.71,12.91,29.93,12.01,12.45,20.47,4013.0,2451.0,3027.0
thyroid,1.0,2.632,0.8455,1.94,2.857,0.937,1.037,36.58,1620.0,1259.0,6486.0
vehicle,1.0,1.462,2.515,3.781,3.934,2.588,2.307,125.9,2255.0,5131.0,2877.0
waveform,1.0,2.552,1.029,2.788,2.369,1.271,1.635,355.4,2613.0,5394.0,1925.0
mean,1.0,3.037,3.544,5.062,9.924,3.585,15.46,394.3,2583.0,7441.0,3620.0
