dataset,llsqreg,ridgereg,lasso,sparse_encoded_lasso,l1l2,importance,importance_corfilter,stepwise
abalone,0.136,0.098,0.1,0.113,0.102,0.134,0.135,0.014
adult,0.758,0.758,0.753,0.757,0.757,0.751,0.751,0.757
cancer,0.975,0.975,0.975,0.975,0.975,0.956,0.956,0.975
card,0.86,0.86,0.86,0.86,0.86,0.855,0.855,0.86
covtype,0.548,0.548,0.529,0.533,0.531,0.515,0.515,0.531
gene,0.85,0.85,0.865,0.86,0.86,0.86,0.86,0.871
glass,0.513,0.513,0.307,0.38,0.483,0.415,0.415,0.435
heart,0.799,0.799,0.755,0.79,0.797,0.777,0.791,0.777
horse,0.547,0.547,0.265,0.265,0.624,0.557,0.557,0.625
madelon,0.576,0.575,0.622,0.603,0.608,0.56,0.552,0.61
optdigits,0.953,0.954,0.947,0.951,0.953,0.927,0.927,0.947
page-blocks,0.682,0.682,0.647,0.654,0.553,0.641,0.632,0.677
pendigits,0.97,0.97,0.966,0.969,0.958,0.946,0.946,0.969
poker,0.105,0.105,0.092,0.099,0.105,0.103,0.103,0.098
satimage,0.846,0.846,0.78,0.818,0.8,0.812,0.81,0.815
segmentation,0.875,0.874,0.863,0.865,0.871,0.842,0.854,0.87
shuttle,0.62,0.523,0.399,0.405,0.359,0.419,0.416,0.62
soybean,0.944,0.944,0.928,0.935,0.945,0.888,0.922,0.108
spect,0.535,0.539,0.574,0.582,0.539,0.499,0.499,0.552
thyroid,0.533,0.533,0.489,0.497,0.455,0.476,0.476,0.497
vehicle,0.81,0.817,0.765,0.784,0.772,0.784,0.789,0.77
waveform,0.851,0.851,0.851,0.852,0.849,0.839,0.839,0.848
