dataset,llsqreg,ridgereg,lasso,sparse_encoded_lasso,l1l2,importance,importance_corfilter,stepwise,mlp
abalone,1.0,0.8604,1.897,3.241,19.21,1.066,39.86,5.14,29.85
adult,1.0,2.597,1.843,3.649,0.9424,1.618,1.964,877.5,707.6
cancer,1.0,9.168,7.543,9.61,67.07,10.47,11.75,48.33,145700.0
card,1.0,2.021,0.7256,1.354,5.505,1.008,0.9263,17.8,3184.0
covtype,1.0,1.463,2.637,4.711,3.259,1.963,2.052,6863.0,630.7
gene,1.0,1.129,0.6544,1.709,23.81,1.039,0.9947,118.4,3171.0
glass,1.0,5.938,75.2,78.57,198.7,81.34,82.12,79.8,20070.0
heart,1.0,2.369,0.7622,1.558,5.675,0.9895,0.9508,54.6,4515.0
horse,1.0,1.419,1.674,2.299,11.65,2.02,2.011,39.68,396.5
madelon,1.0,2.946,4.822,4.488,6.821,3.351,2.247,74.32,680.2
optdigits,1.0,1.166,2.44,5.145,9.015,1.827,1.922,10370.0,1037.0
page-blocks,1.0,1.713,1.006,4.214,18.47,1.32,1.627,3896.0,684.2
pendigits,1.0,1.175,2.766,5.277,6.117,1.902,1.963,17740.0,363.8
poker,1.0,0.9842,1.496,2.742,1.46,1.933,2.703,97.17,93.16
satimage,1.0,1.367,2.574,4.994,8.915,1.777,68.94,2610.0,426.6
segmentation,1.0,2.602,8.976,11.15,25.81,9.754,9.184,117.8,2428.0
shuttle,1.0,1.726,2.06,4.31,0.3293,1.194,5.616,2945.0,4475.0
soybean,1.0,0.5827,0.9996,2.143,4.296,1.366,1.118,8.102,86.46
spect,1.0,5.504,4.777,6.045,134.6,5.545,5.738,40.87,447.4
thyroid,1.0,1.78,1.051,4.11,12.83,1.378,1.503,46.66,1157.0
vehicle,1.0,0.9305,3.575,4.744,32.84,4.081,4.615,135.0,791.7
waveform,1.0,2.196,1.068,2.581,2.241,1.43,1.509,534.4,905.4
mean,1.0,2.347,5.934,7.666,27.25,6.29,11.42,2123.0,8728.0
