,dataset,best_m,f1_best_m,also_good_pretty,mingood_m,f1_mingood_m,also_good_ms,also_good_medians
0,abalone,200,0.141,"110, 140, 160, 175 - 200",110,0.137,"[110, 140, 160, 175, 180, 185, 190, 195, 200]","[0.13667138277369356, 0.1368058003505947, 0.13839453188936068, 0.13683648652014035, 0.13685493628724515, 0.1380044542517155, 0.1397455558936475, 0.1385596996696813, 0.140875487015761]"
1,adult,195,0.759,"150, 160 - 200",150,0.758,"[150, 160, 165, 170, 175, 180, 185, 190, 195, 200]","[0.7582649586648534, 0.7584241958568821, 0.7584349281272291, 0.7588289691600328, 0.7580739195635056, 0.7584163625272429, 0.7584442147791006, 0.7582622955173458, 0.759145619066589, 0.7587076597768683]"
2,cancer,25,0.981,5 - 75,5,0.975,"[5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75]","[0.975117975117975, 0.975117975117975, 0.975117975117975, 0.978342868485151, 0.9814016460612108, 0.9814016460612108, 0.975284090909091, 0.975117975117975, 0.9814016460612108, 0.975117975117975, 0.975117975117975, 0.975117975117975, 0.975117975117975, 0.975117975117975, 0.975117975117975]"
3,card,25,0.863,5 - 55,5,0.86,"[5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55]","[0.8603896103896104, 0.8603896103896104, 0.8604462474645029, 0.8604556818717863, 0.8630880729906434, 0.8545282316722487, 0.8600772308089382, 0.8545282316722487, 0.8544100220077874, 0.8600388608660338, 0.8515827166315992]"
4,covtype,200,0.552,180 - 200,180,0.548,"[180, 185, 190, 195, 200]","[0.548433609771479, 0.5475918710505709, 0.5489805357842529, 0.5505244438601578, 0.5519991936651445]"
5,gene,5,0.85,5 - 25,5,0.85,"[5, 10, 15, 20, 25]","[0.8496212248809798, 0.8491196778542744, 0.8467578716150844, 0.8473380469189526, 0.8475857812739901]"
6,glass,10,0.521,5 - 50,5,0.511,"[5, 10, 15, 20, 25, 30, 35, 40, 45, 50]","[0.5112793188804273, 0.5208860706259169, 0.47465360257578204, 0.49130952380952375, 0.5125555555555554, 0.46948485627920444, 0.5187249827467219, 0.5200543163929892, 0.506533108738991, 0.473511095867277]"
7,heart,25,0.804,"5 - 40, 50",5,0.799,"[5, 10, 15, 20, 25, 30, 35, 40, 50]","[0.7992562234365513, 0.7988974640025125, 0.7987674984783932, 0.7988974640025125, 0.8036164369890659, 0.8019927324730176, 0.794388871737195, 0.7947158864299291, 0.7945296610974891]"
8,horse,5,0.55,5 - 10,5,0.55,"[5, 10]","[0.5497043108909541, 0.5402237344388158]"
9,madelon,35,0.577,"5 - 130, 140, 150, 170, 190",5,0.575,"[5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85, 90, 95, 100, 105, 110, 115, 120, 125, 130, 140, 150, 170, 190]","[0.5749563144822247, 0.5748523729429841, 0.5748807291143145, 0.5749468641069506, 0.573252722141715, 0.5749232491912946, 0.5765913940256046, 0.5716083578042568, 0.571479726576784, 0.5749137944052447, 0.5733285925399171, 0.571522650668697, 0.5716321579349375, 0.5739533624922029, 0.5724115698440567, 0.5716131140215149, 0.5698255001625407, 0.5699880551043017, 0.5666064724656439, 0.5698757365677423, 0.5724401293662018, 0.5681593956142797, 0.56741780156985, 0.5682985560511626, 0.5698542267698966, 0.5683129478982396, 0.5699378722682297, 0.5682924190504282, 0.5680249477276644, 0.567172748122156]"
