run,dataset,nin,nout,time,ftrain,ftest,atrain,atest,nsel,nenhanced,sel,coefs
1,cancer,34,2,0.0036536,0.9494748998520337,0.9687892376681615,0.9542857142857143,0.9712643678160919,"[18]","[11]","[11111101000001111001000110001011100]","[[0.18207701263418127,-0.02825968321676994,0.37046660805210424,0.377283519234219,0.4080386667321422,-0.0065933735796965326,0.0,-0.1137266670865594,0.0,0.0,0.0,0.0,0.0,-0.19383897084605456,-0.17860379018405453,0.10328130611354434,-0.046168555117714234,0.0,0.0,0.12864007877743097,0.0,0.0,0.0,-0.9014232228528314,0.32849546883818365,0.0,0.0,0.0,0.28946922826266275,0.0,0.005570100347210294,0.3104029506612651,0.10487856367800238,0.0,0.0]]"
2,cancer,34,2,1.3335895,0.9530793361396359,0.975117975117975,0.9571428571428572,0.9770114942528736,"[18]","[11]","[11111001101100001100101100100001101]","[[-0.48604266521570355,0.3860695030658439,0.12077394127866926,0.256491275885341,0.1843289963478389,0.0,0.0,0.8453392872681433,0.30287986829347696,0.0,0.10415767471595185,-0.11035568446548116,0.0,0.0,0.0,0.0,0.32492901826428144,0.32576997700680665,0.0,0.0,-0.3274862438804831,0.0,0.0629152108256189,0.3372083160909937,0.0,0.0,0.6172168182568865,0.0,0.0,0.0,0.0,0.1442925514797292,-0.4948349649142708,0.0,-0.5852772275158808]]"
3,cancer,34,2,0.003488,0.9591836734693877,0.9814016460612107,0.9628571428571429,0.9827586206896551,"[18]","[13]","[11100100010111000100100111100011110]","[[1.3607891204620097,0.1536657774080777,0.10134456858007329,0.0,0.0,-0.030566967576240122,0.0,0.0,0.0,0.09780038918493231,0.0,-0.12852479944920436,-0.3359456467455309,0.03665129941861845,0.0,0.0,0.0,0.10855497428708048,0.0,0.0,-0.029311795377528378,0.0,0.0,-0.20846654269970752,-0.1637509514151232,-0.03042220053303615,-0.16464734333473338,0.0,0.0,0.0,-0.48844689507705863,-0.1256883040088637,-0.13148994767617997,0.05622810865940256,0.0]]"
4,cancer,34,2,1.7407115,0.9494748998520337,0.975117975117975,0.9542857142857143,0.9770114942528736,"[18]","[10]","[11110111100110101001001100010010010]","[[-0.536285331025657,0.5121022086105934,0.41051637404246016,0.23142034770550435,0.0,0.0972968868649831,0.5581131473080821,0.29407183119431773,0.08295407396551609,0.0,0.0,-0.3261768006281435,-0.015133814994218005,0.0,0.17952279912360916,0.0,0.04867673970098197,0.0,0.0,0.0054064790976459135,0.0,0.0,0.11857492930902286,-0.38714376196321226,0.0,0.0,0.0,-0.17532672754247672,0.0,0.0,0.7208379133446002,0.0,0.0,0.2333686399864616,0.0]]"
5,cancer,34,2,0.0028858,0.9403453689167975,0.9814016460612107,0.9457142857142857,0.9827586206896551,"[18]","[12]","[11001011101001110001111000100101100]","[[1.087275914004276,0.09748309643598926,0.0,0.0,-0.0625334123514,0.0,0.06462515974943567,0.14764690286632642,0.121947008251177,0.0,0.21340506431728856,0.0,0.0,0.21311014014420465,-0.9156610764306652,-0.0488733238430437,0.0,0.0,0.0,-0.25282062608002265,0.2944550598656903,-0.13112860980127417,-0.1793064372431009,0.0,0.0,0.0,-0.00563413527125499,0.0,0.0,0.24761467344336627,0.0,-0.14115896761862576,-0.10992616080215135,0.0,0.0]]"
6,cancer,34,2,0.0027094,0.9529042386185244,0.9814016460612107,0.9571428571428572,0.9827586206896551,"[18]","[11]","[11111001100100010110011100001011100]","[[-0.12859229500678673,0.6902655465679055,0.7150594890523184,-0.01858412010552261,-0.1524600263332561,0.0,0.0,0.5948983952715462,-0.06360635182429054,0.0,0.0,0.022399881762495404,0.0,0.0,0.0,-0.11539573684369973,0.0,0.5384652526871292,0.027418701100349878,0.0,0.0,-0.37383703405078,-0.1548753495441565,0.6840948698161807,0.0,0.0,0.0,0.0,0.10754430856290584,0.0,-0.07942952864057055,-0.5483252182645597,-0.12983936700017373,0.0,0.0]]"
7,cancer,34,2,0.509612,0.9591836734693877,0.9814016460612107,0.9628571428571429,0.9827586206896551,"[18]","[11]","[11110001110100110111010000010101100]","[[0.9708469350069876,0.28062960341631,-0.07792995796555005,0.026604661736986945,0.0,0.0,0.0,-0.13069820319020836,0.13525662308230724,-0.04243573089803474,0.0,0.0155616485977192,0.0,0.0,-0.8152659205130873,-0.06506700642777638,0.0,-0.22449471600042856,-0.3725215005722773,0.21815023114962612,0.0,0.06566479925517865,0.0,0.0,0.0,0.0,0.0,-0.14889327634358346,0.0,0.04504334123913155,0.0,-0.1591466523351875,0.19937071841396917,0.0,0.0]]"
8,cancer,34,2,0.5055131,0.9529042386185244,0.9876420454545455,0.9571428571428572,0.9885057471264368,"[18]","[11]","[11100101111110110010001011110000000]","[[0.5011614031201211,0.3821054819817552,0.12492952060372248,0.0,0.0,0.2421752172927172,0.0,0.528217594017845,-0.22987835599452952,0.2888413991739889,-0.3460613577899678,-0.5869401708791534,-0.5147900041262876,0.0,-0.1113830298348977,0.15567679285983527,0.0,0.0,0.15609462167811844,0.0,0.0,0.0,-0.23404674889711266,0.0,0.46060002427480945,0.10215920984012179,0.024512135922244244,0.30316692727035544,0.0,0.0,0.0,0.0,0.0,0.0,0.0]]"
9,cancer,34,2,0.5072917,0.943590845600086,0.9814016460612107,0.9485714285714286,0.9827586206896551,"[18]","[11]","[11011011010010001100001110101000111]","[[1.1301397114272858,0.3379148601999169,0.0,-0.005379290626518483,-0.578999003713635,0.0,0.22521946396506773,0.5416064054057239,0.0,-0.09925852322179278,0.0,0.0,0.7683948171180432,0.0,0.0,0.0,0.05787731696127427,-0.2058267558424864,0.0,0.0,0.0,0.0,-0.18653275597088007,-0.15612138463746061,-0.10061913275555312,0.0,0.5916071678734919,0.0,-0.57104214921436,0.0,0.0,0.0,0.09496417390233987,-0.7113269684661204,-0.16156410837891858]]"
10,cancer,34,2,0.0033946,0.9429347826086957,0.962413594470046,0.9485714285714286,0.9655172413793104,"[18]","[11]","[11110001111101100111010010000001100]","[[0.7800871488826601,0.3052731570571174,0.13572502160132352,0.02777204156059654,0.0,0.0,0.0,0.2335056697336647,0.4072811673529677,-0.10227895769694599,-0.0017503889551983825,-0.16344339579772388,0.0,-0.08479276186810068,0.036713645827708585,0.0,0.0,-0.15958457815295538,-0.17346069411510087,0.04300785851561155,0.0,-0.09628891269554762,0.0,0.0,-0.08412536165323065,0.0,0.0,0.0,0.0,0.0,0.0,-0.2706979808038577,-0.29578985167342536,0.0,0.0]]"
