run,dataset,nin,nout,time,ftrain,ftest,atrain,atest,nsel,nenhanced,sel,coefs
1,cancer,34,2,0.0445565,0.9494748998520337,0.975117975117975,0.9542857142857143,0.9770114942528736,"[7]","[4]","[10001000010001010000000000100000001]","[[0.8290211697158878,0.0,0.0,0.0,0.1616575456926584,0.0,0.0,0.0,0.0,0.48637314113742375,0.0,0.0,0.0,-0.21357874762051787,0.0,0.2745592766863912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.23134456636289616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8178670553229035]]"
2,cancer,34,2,0.0717865,0.959483165477876,0.9814016460612107,0.9628571428571429,0.9827586206896551,"[7]","[5]","[10000010000010000000010100000010001]","[[1.3383219546223921,0.0,0.0,0.0,0.0,0.0,0.15742532563551306,0.0,0.0,0.0,0.0,0.0,1.6163033403068812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2587243162383656,0.0,-0.22900652402903668,0.0,0.0,0.0,0.0,0.0,0.0,-0.9993902180441171,0.0,0.0,0.0,-0.4277173115130601]]"
3,cancer,34,2,0.0218089,0.9561262132445113,0.975117975117975,0.96,0.9770114942528736,"[5]","[2]","[11000000100000000000000010000010000]","[[0.8559577277032374,0.2913150489555278,0.0,0.0,0.0,0.0,0.0,0.0,0.23775170123151165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.23794217055080924,0.0,0.0,0.0,0.0,0.0,-0.7782489608553763,0.0,0.0,0.0,0.0]]"
4,cancer,34,2,0.0303894,0.9532498063206263,0.9938409259849208,0.9571428571428572,0.9942528735632183,"[6]","[4]","[10001000001000000010010000000000100]","[[1.398615771579444,0.0,0.0,0.0,0.25429491626709083,0.0,0.0,0.0,0.0,0.0,-0.4272122216701925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2651571515057838,0.0,0.0,-0.5279100550444231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4054804748636416,0.0,0.0]]"
5,cancer,34,2,0.0176588,0.9433779119930975,0.9814016460612107,0.9485714285714286,0.9827586206896551,"[3]","[1]","[10000100000000100000000000000000000]","[[0.8779123285982449,0.0,0.0,0.0,0.0,0.2869360321895564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9966092493553927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]]"
6,cancer,34,2,0.0758938,0.9530793361396359,0.9938409259849208,0.9571428571428572,0.9942528735632183,"[8]","[4]","[11100001000000000100000100000101000]","[[-0.5577176659190494,0.48916151430508314,0.6784203130205392,0.0,0.0,0.0,0.0,0.5247829862948015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46904765621608197,0.0,0.0,0.0,0.0,0.0,0.6704694086540658,0.0,0.0,0.0,0.0,0.0,0.14657548380051588,0.0,-0.6423053194927312,0.0,0.0,0.0]]"
7,cancer,34,2,0.0250331,0.9559605982168536,0.9814016460612107,0.96,0.9827586206896551,"[6]","[5]","[10000000000000100000000001010000101]","[[1.2032251935745313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.29585855632126984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.43490194223639767,0.0,-0.5601009079338042,0.0,0.0,0.0,0.0,-0.16005136877522905,0.0,-0.28665961066392537]]"
8,cancer,34,2,0.0298897,0.9466248037676609,0.9814016460612107,0.9514285714285714,0.9827586206896551,"[6]","[4]","[10000010000110000000010000010000000]","[[1.004607674835063,0.0,0.0,0.0,0.0,0.0,0.20543207752277146,0.0,0.0,0.0,0.0,-0.6492974806831693,-0.32293957066170337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3741484788514266,0.0,0.0,0.0,0.0,0.0,0.28996509683647537,0.0,0.0,0.0,0.0,0.0,0.0,0.0]]"
9,cancer,34,2,0.0752444,0.9561262132445113,0.9814016460612107,0.96,0.9827586206896551,"[8]","[6]","[10000000100000010000000001101011000]","[[0.966648718872409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35656344260835915,0.0,0.0,0.0,0.0,0.0,0.0,-0.5957217997437864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46241961531796255,1.4011813019070185,0.0,-0.32023396069282406,0.0,-0.4620114966652486,-0.8547415801304233,0.0,0.0,0.0]]"
10,cancer,34,2,0.0236436,0.9625321153297174,0.975117975117975,0.9657142857142857,0.9770114942528736,"[6]","[4]","[10000010000011001000000000000010000]","[[0.3944382615178598,0.0,0.0,0.0,0.0,0.0,0.4939319281511764,0.0,0.0,0.0,0.0,0.0,-1.761425204509498,-0.4921951318059409,0.0,0.0,0.22754924147658728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25403743388898853,0.0,0.0,0.0,0.0]]"
