run,dataset,nin,nout,time,ftrain,ftest,nsel,nenhanced,sel
1,cancer,34,2,2.7544812,0.9591836734693877,0.9814016460612107,"8","4","11010010000000000000000100000100011"
2,cancer,34,2,1.5357062,0.9626666666666667,0.9690027434353511,"5","3","10001000000000000001010000000010000"
3,cancer,34,2,4.0305393,0.9686615808889367,0.9687892376681615,"9","5","11100000010110010000000010000100000"
4,cancer,34,2,3.1454426,0.9685432844406097,0.9814016460612107,"13","10","11100000000000011010011000001110101"
5,cancer,34,2,2.0637198,0.9688888888888889,0.9754410726887791,"8","5","10100100000010000000011000010001000"
6,cancer,34,2,2.6273781,0.9718476016837816,0.9687892376681615,"14","9","10011000110100001011000000010011011"
7,cancer,34,2,1.9247072,0.9655915131690663,0.975117975117975,"8","6","10000001000001101001000000001010000"
8,cancer,34,2,2.3732837,0.9686615808889367,0.9687892376681615,"8","3","11001110000000010000010000000010000"
9,cancer,34,2,3.3123773,0.9686615808889367,0.975117975117975,"8","5","11000000010000100001000010010000010"
10,cancer,34,2,2.8743639,0.9655915131690663,0.9690027434353511,"11","8","11000100001111000010100000000010010"
11,cancer,34,2,1.9223252,0.9655915131690663,0.9814016460612107,"9","5","10001011001000001100000000100000100"
12,cancer,34,2,1.9696178,0.9655915131690663,0.962413594470046,"10","6","10011000100000100001110000011000000"
13,cancer,34,2,1.6166482,0.9687767627747645,0.975284090909091,"10","8","10100000001011100001010000000100100"
14,cancer,34,2,3.345972,0.9655915131690663,0.962413594470046,"8","4","11010010000000010000000100100010000"
15,cancer,34,2,1.7734103,0.9625321153297174,0.975117975117975,"8","4","11110000000000010000000000110001000"
16,cancer,34,2,3.315875,0.962393897066724,0.975117975117975,"10","5","11101000100001000101001000000000010"
17,cancer,34,2,2.7999021,0.9748346275524877,0.975117975117975,"16","8","11111011101010010010000100000011100"
18,cancer,34,2,1.6060458,0.9658382061952635,0.9876420454545455,"6","4","11000000001010110000000000000000000"
19,cancer,34,2,2.2156067,0.9688888888888889,0.9876420454545455,"7","5","11000000001000000001001100000000100"
20,cancer,34,2,2.0528031,0.9686615808889367,0.9814016460612107,"9","6","10000010010100110100000000100000001"
21,cancer,34,2,4.2142265,0.9686615808889367,0.962413594470046,"11","7","11001100000000001000100000001110101"
22,cancer,34,2,1.4621023,0.9657165246351258,0.9814016460612107,"12","6","11111000011001010001010010000000000"
23,cancer,34,2,2.5343934,0.9686615808889367,0.9687892376681615,"13","7","10111000110100000011000000001001110"
24,cancer,34,2,3.3953246,0.9686615808889367,0.9687892376681615,"11","8","11100000000001100100000100100011100"
25,cancer,34,2,2.0690473,0.9688888888888889,0.9938409259849208,"10","5","10111010000001000100100000010100000"
1,card,74,2,25.9886468,0.9095491411608494,0.8546069315300084,"27","7","111000001100001001100001010101110000010001101000110000000110110100000010100"
2,card,74,2,18.3444346,0.906674781903023,0.8662745495723896,"24","6","110110010000101001101000000110010000000001010001110100000000011000000111000"
3,card,74,2,22.6141455,0.9152125829442124,0.8545282316722487,"29","11","111010110100100000000000000000111000010101100100111001010000010010011101110"
4,card,74,2,24.0148711,0.9095491411608494,0.8545282316722487,"30","10","110101010010010100001110000100010011000001101001101000110010101000011100001"
5,card,74,2,23.9315496,0.9123356823417808,0.8602951130364154,"26","6","111010111010000000000101010110010000000001101110010000000111000010000100100"
6,card,74,2,24.7994073,0.9125076080340839,0.8602951130364154,"33","13","111000000110000001100011001010001010100101101010101111001010100100111110000"
7,card,74,2,20.9515827,0.9038826836866499,0.8660572202471644,"25","5","111001101101000000100010010100110010001001100000111100000000001001000100000"
8,card,74,2,33.609452,0.9153846804407946,0.8662383770076078,"31","8","111001100110000100011010100110011010000101001001110100011010000101000010100"
9,card,74,2,22.2597491,0.9125076080340839,0.8546462495352061,"27","10","111000011010000100000010000100111010000101000000110110011010011000010100001"
10,card,74,2,23.5587562,0.9038014685379683,0.8661659731384688,"26","5","100100111100000010101001000111110000000011100100110001000001001000000011000"
11,card,74,2,20.2282481,0.9095491411608494,0.8486530391227833,"26","9","111000011100000001001000011100110000000001110000100110100001100101011000000"
12,card,74,2,47.490596,0.9239417989417988,0.8602951130364154,"41","16","111000011000010000000111011101110110010011111000111011100001111110110010111"
13,card,74,2,33.0059532,0.918179970185662,0.8837052062204191,"27","9","111000011100000011000000011010000100000011101000111001000101100010100100010"
14,card,74,2,24.6145352,0.9211428571428572,0.8603896103896104,"35","10","111010011100000100101110100110001111010101010000110100000000011111100011001"
15,card,74,2,43.8815267,0.906674781903023,0.8893516167259183,"35","9","111010111100000000101111010110110010000011101100110010010101110100001010000"
16,card,74,2,33.4218936,0.9095491411608494,0.8546462495352061,"30","8","111001110110000000011100001110110011000001100001101000000001101110001010000"
17,card,74,2,32.2963618,0.9211428571428572,0.8603896103896104,"36","16","100100010010010000000010110110110010001001100110111011111011100101100110101"
18,card,74,2,18.9177364,0.9009290540540541,0.8546462495352061,"26","4","111011010100100111010001101000000001000101101000111000000010010000000000001"
19,card,74,2,31.8134311,0.9240242580295432,0.8601626016260162,"33","13","100110111100000001000000010010010011000001111100111010001111001010100101011"
20,card,74,2,33.6793237,0.9153015873015873,0.8604462474645029,"32","10","111011010100000000101101000001010110010001110010111000000100110110101000101"
21,card,74,2,25.5859104,0.9124246936979625,0.8546069315300084,"28","9","111001011010000000101001100110101000000001100000110100001110000111000101000"
22,card,74,2,23.0897851,0.8980573917888712,0.8604651162790697,"29","6","101110011010000101100001100110110100000001101100111001000000010000000010110"
23,card,74,2,37.8879007,0.9210599910170253,0.8545282316722487,"33","11","110100011010000101000010010001110010110011101000110100001011101010101001010"
24,card,74,2,21.7858536,0.9067567567567567,0.8430179494980226,"27","7","110101010010100000110010010111001010000001000100110000010001000100011010100"
25,card,74,2,19.1244247,0.9123356823417808,0.8604462474645029,"24","7","100100011000010001100010000110000010000101011000110001000000110010000010110"
