run,dataset,nin,nout,time,ftrain,ftest,nsel,nenhanced,sel
1,cancer,34,2,5.7885649,0.9655915131690663,0.975117975117975,"10","6","11001000011000010100100000000100100"
2,cancer,34,2,1.7733906,0.9626666666666667,0.9690027434353511,"5","3","10001000000000000001010000000010000"
3,cancer,34,2,2.2081012,0.9686615808889367,0.9559891598915989,"9","5","11001000100100001000000010001100000"
4,cancer,34,2,3.6296308,0.9686615808889367,0.975284090909091,"10","5","10101010100000010010010001000100000"
5,cancer,34,2,2.3868696,0.9687767627747645,0.9938409259849208,"8","4","10001010010010000000100000000001010"
6,cancer,34,2,2.374069,0.9685432844406097,0.975117975117975,"9","5","11000101000100000010100000010100000"
7,cancer,34,2,2.380525,0.9655915131690663,0.975117975117975,"8","5","11000001000000101000000000001010100"
8,cancer,34,2,2.184262,0.9719498837923757,0.975117975117975,"12","7","10101110000001010100010000001010010"
9,cancer,34,2,1.9051385,0.9686615808889367,0.975117975117975,"10","6","11000101000000000001010001011000001"
10,cancer,34,2,1.666742,0.9688888888888889,0.9938409259849208,"6","3","10001010000010000000000000100010000"
11,cancer,34,2,1.7548948,0.9655915131690663,0.9687892376681615,"8","3","11001101000000001000000000100000100"
12,cancer,34,2,1.6393247,0.9655915131690663,0.9687892376681615,"11","4","10111110100000100001110000000000000"
13,cancer,34,2,1.6442391,0.9687767627747645,0.975284090909091,"11","8","10101000001010100001110000000000101"
14,cancer,34,2,1.7625517,0.9625321153297174,0.9938409259849208,"10","6","11001001000000000011000001100100001"
15,cancer,34,2,5.1029334,0.9686615808889367,0.9559891598915989,"11","6","11001000110001010000000000010101001"
16,cancer,34,2,1.7509353,0.9657165246351258,0.9876420454545455,"8","4","11000000110001101001000000000000000"
17,cancer,34,2,2.2543776,0.9748346275524877,0.975117975117975,"14","8","11100011101010100000000100010110100"
18,cancer,34,2,1.9615383,0.9688888888888889,0.975117975117975,"8","5","11000000010010110100000000001000000"
19,cancer,34,2,1.0058942,0.9688888888888889,0.9938409259849208,"7","6","10000000000001010001010000010000010"
20,cancer,34,2,2.3219354,0.9686615808889367,0.9876420454545455,"10","8","10000000100000110000100010100011001"
21,cancer,34,2,2.8287388,0.9687767627747645,0.975117975117975,"14","7","11101101100110001000100101010000000"
22,cancer,34,2,2.3304079,0.9657165246351258,0.9877205363443896,"11","6","11111000000000000100001000100001110"
23,cancer,34,2,2.8634996,0.9686615808889367,0.9687892376681615,"11","7","10010000111000000011100000001001001"
24,cancer,34,2,5.4791954,0.9688888888888889,0.9876420454545455,"9","6","10100100000100011000110001000000000"
25,cancer,34,2,1.5659005,0.9719498837923757,0.9814016460612107,"9","7","10100000001111100000100010000000000"
1,card,74,2,33.0969632,0.906674781903023,0.8488167680865449,"28","9","110110011100000001100000010101110000000011100000110000000110110110100010100"
2,card,74,2,51.4518163,0.9124246936979625,0.8602951130364154,"32","8","111010011100000001101000010111010101000001111100110100101001001000000111000"
3,card,74,2,55.6426879,0.9210599910170253,0.8485094850948509,"36","15","111000111100000101001000000010110001000101110100111001011000110001011111111"
4,card,74,2,27.9014532,0.9124246936979625,0.8661659731384688,"30","9","111001100100001110000101000110001000010011101000111000010101100100011100000"
5,card,74,2,21.0751748,0.9153015873015873,0.8778698224852071,"26","10","110110100010010001100000000110010000000001100000110100000111000010101101100"
6,card,74,2,42.2051483,0.9124246936979625,0.8428904902060286,"35","13","111010011100000001011000010011001010001001111000110000111010111111001110000"
7,card,74,2,38.300672,0.9125076080340839,0.8604462474645029,"36","13","100111111000010111110010010001000010010001100100111101000001011111001101010"
8,card,74,2,38.3780218,0.9153846804407946,0.8662383770076078,"31","8","111001100110000100011010110110110010000101000100110100001010000101000010110"
9,card,74,2,24.5782691,0.9123356823417808,0.8546462495352061,"26","12","111000000110000000000000010011010000000001100010111110001110010000011010101"
10,card,74,2,36.1481403,0.906674781903023,0.8546069315300084,"30","7","110100100110000010101001001110110010100101100100110101000001001000000111000"
11,card,74,2,34.1828211,0.9124246936979625,0.8601626016260162,"31","10","111000001101000001001000011101101100011001100001101111100001010001010010000"
12,card,74,2,49.9307814,0.9297924297924298,0.8488167680865449,"39","14","100100011100000100101110110000011011010111100110111001001101011010111001110"
13,card,74,2,45.6368861,0.918179970185662,0.8778698224852071,"30","13","111000011100000011000000011010000000000011101000111111010110100111001100000"
14,card,74,2,65.0550685,0.9241014012049009,0.8604651162790697,"39","14","111010011100000111001011010101111010010001010000111110001001001111001011101"
15,card,74,2,38.5867066,0.9153846804407946,0.8720238095238095,"39","12","110110111100000111111000010101110110110001100100101010101010111100100000101"
16,card,74,2,21.3031388,0.906674781903023,0.8720757268424612,"22","3","111011011000000000000000111101001001000001111000100000000001000010001000000"
17,card,74,2,33.9489911,0.9240242580295432,0.8718157181571815,"32","13","111000001001000000010010110000011010000101110001110111101011110000100001110"
