nsel,atrain,atest,ftrain,ftest,nenhanced,nin,nout
1,0.8347826086956521,0.8604651162790697,0.8346436829934833,0.8604651162790697,0,74,2
2,0.8347826086956521,0.8604651162790697,0.8346436829934833,0.8604651162790697,0,74,2
3,0.8347826086956521,0.8604651162790697,0.8346436829934833,0.8604651162790697,0,74,2
4,0.8347826086956521,0.8604651162790697,0.8346436829934833,0.8604651162790697,0,74,2
5,0.8434782608695652,0.8662790697674418,0.8432557043817729,0.8662745495723896,1,74,2
6,0.8434782608695652,0.8604651162790697,0.8432557043817729,0.8604651162790697,2,74,2
7,0.8463768115942029,0.8604651162790697,0.8461234210504169,0.8604462474645029,2,74,2
8,0.8492753623188406,0.8604651162790697,0.848989898989899,0.8604462474645029,3,74,2
9,0.8579710144927536,0.8604651162790697,0.8574920969441517,0.8603896103896104,3,74,2
10,0.863768115942029,0.8604651162790697,0.8633087460484721,0.8603896103896104,4,74,2
11,0.8608695652173913,0.8662790697674418,0.8604463021640936,0.8661659731384688,4,74,2
12,0.863768115942029,0.8662790697674418,0.8632118844956598,0.8661659731384688,4,74,2
13,0.8782608695652174,0.872093023255814,0.8776182432432433,0.8719371869500474,5,74,2
14,0.8782608695652174,0.872093023255814,0.8775106512477175,0.8719371869500474,5,74,2
15,0.8724637681159421,0.872093023255814,0.8717905405405406,0.8719371869500474,5,74,2
16,0.8753623188405797,0.872093023255814,0.8746503983979586,0.8719371869500474,6,74,2
17,0.8782608695652174,0.872093023255814,0.8775106512477175,0.8719371869500474,6,74,2
18,0.8782608695652174,0.872093023255814,0.8775106512477175,0.8719371869500474,6,74,2
19,0.8840579710144928,0.872093023255814,0.8832329249306167,0.8719371869500474,7,74,2
20,0.8840579710144928,0.872093023255814,0.8832329249306167,0.8719371869500474,8,74,2
21,0.8840579710144928,0.8662790697674418,0.8832329249306167,0.8662383770076078,9,74,2
22,0.881159420289855,0.872093023255814,0.8803714447611235,0.8720238095238095,9,74,2
23,0.881159420289855,0.872093023255814,0.8803714447611235,0.8720238095238095,9,74,2
24,0.8840579710144928,0.8662790697674418,0.8832329249306167,0.8662383770076078,10,74,2
25,0.8840579710144928,0.877906976744186,0.8832329249306167,0.8778037146046889,11,74,2
26,0.8840579710144928,0.877906976744186,0.8832329249306167,0.8778037146046889,11,74,2
27,0.8927536231884058,0.872093023255814,0.8918229506529606,0.8719371869500474,11,74,2
28,0.8927536231884058,0.872093023255814,0.8918229506529606,0.8719371869500474,12,74,2
29,0.8898550724637682,0.872093023255814,0.8890712786840859,0.8719371869500474,12,74,2
30,0.8840579710144928,0.8662790697674418,0.8832329249306167,0.8661659731384688,13,74,2
31,0.8840579710144928,0.877906976744186,0.8834459459459459,0.8778698224852071,13,74,2
32,0.881159420289855,0.877906976744186,0.8804806124259605,0.8778698224852071,14,74,2
33,0.8869565217391304,0.8837209302325582,0.8863108264539625,0.8836580086580086,14,74,2
34,0.8782608695652174,0.877906976744186,0.8776182432432433,0.8778037146046889,14,74,2
35,0.8782608695652174,0.877906976744186,0.8776182432432433,0.8778037146046889,14,74,2
36,0.8782608695652174,0.877906976744186,0.8775106512477175,0.8777044184865413,14,74,2
37,0.8840579710144928,0.877906976744186,0.8833434773787787,0.8777044184865413,15,74,2
38,0.8840579710144928,0.877906976744186,0.8834459459459459,0.8777044184865413,16,74,2
39,0.8869565217391304,0.872093023255814,0.886095238095238,0.8719371869500474,17,74,2
40,0.8898550724637682,0.872093023255814,0.8890712786840859,0.8719371869500474,17,74,2
41,0.8956521739130435,0.872093023255814,0.894909632437555,0.8719371869500474,18,74,2
42,0.8927536231884058,0.872093023255814,0.8920425233210139,0.8718157181571815,18,74,2
43,0.8869565217391304,0.8837209302325582,0.8862069840410687,0.8835792608636794,18,74,2
44,0.8840579710144928,0.877906976744186,0.8833434773787787,0.8778037146046889,18,74,2
45,0.8840579710144928,0.877906976744186,0.8833434773787787,0.8778037146046889,19,74,2
46,0.8840579710144928,0.877906976744186,0.8833434773787787,0.8778037146046889,19,74,2
47,0.8869565217391304,0.877906976744186,0.8862069840410687,0.8778037146046889,20,74,2
48,0.8898550724637682,0.877906976744186,0.8890712786840859,0.8778037146046889,20,74,2
49,0.8869565217391304,0.8837209302325582,0.8862069840410687,0.8835792608636794,20,74,2
50,0.8898550724637682,0.872093023255814,0.8890712786840859,0.8719371869500474,20,74,2
51,0.8869565217391304,0.872093023255814,0.8862069840410687,0.8719371869500474,20,74,2
52,0.8898550724637682,0.872093023255814,0.8889585309662555,0.8718157181571815,20,74,2
53,0.8927536231884058,0.877906976744186,0.8919365079365079,0.8778037146046889,20,74,2
54,0.8927536231884058,0.877906976744186,0.8919365079365079,0.8778037146046889,20,74,2
55,0.8927536231884058,0.877906976744186,0.8919365079365079,0.8778037146046889,20,74,2
56,0.8927536231884058,0.877906976744186,0.8919365079365079,0.8778037146046889,21,74,2
57,0.8956521739130435,0.877906976744186,0.894909632437555,0.8778037146046889,21,74,2
58,0.8956521739130435,0.877906976744186,0.894909632437555,0.8778037146046889,21,74,2
59,0.8956521739130435,0.877906976744186,0.894909632437555,0.8778037146046889,22,74,2
60,0.8956521739130435,0.877906976744186,0.894909632437555,0.8778037146046889,22,74,2
61,0.8985507246376812,0.877906976744186,0.897878062600959,0.8778037146046889,22,74,2
62,0.8927536231884058,0.872093023255814,0.8920425233210139,0.8720238095238095,22,74,2
63,0.8927536231884058,0.872093023255814,0.8920425233210139,0.8720238095238095,22,74,2
64,0.8927536231884058,0.872093023255814,0.8920425233210139,0.8720238095238095,23,74,2
65,0.8927536231884058,0.872093023255814,0.8920425233210139,0.8720238095238095,23,74,2
66,0.8927536231884058,0.872093023255814,0.8920425233210139,0.8719371869500474,24,74,2
67,0.8927536231884058,0.872093023255814,0.8920425233210139,0.8719371869500474,25,74,2
68,0.8927536231884058,0.872093023255814,0.8920425233210139,0.8719371869500474,25,74,2
69,0.8927536231884058,0.872093023255814,0.8920425233210139,0.8719371869500474,25,74,2
70,0.8927536231884058,0.872093023255814,0.8920425233210139,0.8719371869500474,25,74,2
71,0.8927536231884058,0.872093023255814,0.8920425233210139,0.8719371869500474,25,74,2
72,0.8927536231884058,0.872093023255814,0.8920425233210139,0.8719371869500474,25,74,2
73,0.8927536231884058,0.872093023255814,0.8920425233210139,0.8719371869500474,25,74,2
74,0.8927536231884058,0.872093023255814,0.8920425233210139,0.8719371869500474,25,74,2
1,0.8347826086956521,0.8604651162790697,0.8346436829934833,0.8604651162790697,0,74,2
2,0.8347826086956521,0.8604651162790697,0.8346436829934833,0.8604651162790697,0,74,2
3,0.8347826086956521,0.8604651162790697,0.8346436829934833,0.8604651162790697,1,74,2
4,0.8347826086956521,0.8604651162790697,0.8346436829934833,0.8604651162790697,2,74,2
5,0.8347826086956521,0.8604651162790697,0.8346436829934833,0.8604651162790697,2,74,2
6,0.8347826086956521,0.8604651162790697,0.8346436829934833,0.8604651162790697,3,74,2
7,0.8347826086956521,0.8604651162790697,0.8346436829934833,0.8604651162790697,3,74,2
8,0.8405797101449275,0.8604651162790697,0.8403866050924874,0.8604651162790697,3,74,2
9,0.8463768115942029,0.8604651162790697,0.8459574898273814,0.8604651162790697,4,74,2
10,0.8463768115942029,0.8604651162790697,0.8459574898273814,0.8604651162790697,5,74,2
11,0.8492753623188406,0.8604651162790697,0.8488168273444348,0.8604651162790697,6,74,2
12,0.8463768115942029,0.8546511627906976,0.8458587987355111,0.8546069315300084,6,74,2
13,0.8521739130434782,0.8546511627906976,0.8515703427506094,0.8545282316722487,7,74,2
14,0.8579710144927536,0.8546511627906976,0.85758333965173,0.8546462495352061,7,74,2
15,0.8608695652173913,0.8604651162790697,0.8603521554341227,0.8604462474645029,8,74,2
16,0.8695652173913043,0.8662790697674418,0.8691253951527924,0.8662745495723896,8,74,2
17,0.8695652173913043,0.8662790697674418,0.8691253951527924,0.8662745495723896,8,74,2
18,0.8695652173913043,0.8662790697674418,0.8691253951527924,0.8662745495723896,8,74,2
19,0.8695652173913043,0.8662790697674418,0.8691253951527924,0.8662745495723896,8,74,2
20,0.8666666666666667,0.8662790697674418,0.8661708156243675,0.8662745495723896,9,74,2
21,0.8666666666666667,0.8662790697674418,0.8661708156243675,0.8662745495723896,9,74,2
22,0.8666666666666667,0.8662790697674418,0.8660714285714286,0.8662745495723896,9,74,2
23,0.8695652173913043,0.8604651162790697,0.8690326553681849,0.8604462474645029,9,74,2
