nsel,atrain,atest,ftrain,ftest,nenhanced,nin,nout
1,0.517632241813602,0.5220680958385876,0.22738589211618257,0.22866611433305717,0,145,3
2,0.6001259445843828,0.6216897856242118,0.45385747971349816,0.4623674135708062,0,145,3
3,0.663727959697733,0.6834804539722572,0.5103953760068868,0.5148010243358313,0,145,3
4,0.6681360201511335,0.6784363177805801,0.5792441261224096,0.5870409311551702,0,145,3
5,0.7600755667506297,0.7515762925598991,0.7526788508958768,0.7371658467380252,0,145,3
6,0.7216624685138538,0.7150063051702396,0.6901645435087097,0.6708486135237729,0,145,3
7,0.7714105793450882,0.7591424968474149,0.7494567839159144,0.7333391039995437,0,145,3
8,0.7877833753148614,0.7692307692307693,0.7645524570579422,0.7377222531594211,0,145,3
9,0.8016372795969773,0.7793190416141236,0.7794424147433902,0.752274735692021,0,145,3
10,0.7947103274559194,0.7755359394703657,0.769099619361505,0.7461630285049764,0,145,3
11,0.8123425692695214,0.7994955863808323,0.7910734810405996,0.7740508150399473,0,145,3
12,0.809823677581864,0.807061790668348,0.7870686453863208,0.7839553940343437,0,145,3
13,0.8136020151133502,0.7994955863808323,0.791802107039028,0.7718140386492086,0,145,3
14,0.8463476070528967,0.8297604035308953,0.8313100707381645,0.8131255096822659,0,145,3
15,0.8526448362720404,0.8373266078184111,0.8369942216987867,0.8193498519063626,0,145,3
16,0.8614609571788413,0.8360655737704918,0.8468147812287463,0.8170550649078256,0,145,3
17,0.8677581863979849,0.8310214375788146,0.8545070092441808,0.8137965049924581,0,145,3
18,0.8646095717884131,0.832282471626734,0.8513013490165928,0.8132020007020007,0,145,3
19,0.8646095717884131,0.8348045397225725,0.8515650655663963,0.8160511350458749,0,145,3
20,0.8639798488664987,0.8310214375788146,0.8515190919671048,0.8119249733879529,0,145,3
21,0.8652392947103275,0.8284993694829761,0.8533062639594929,0.810249833654872,0,145,3
22,0.8677581863979849,0.832282471626734,0.8560366211212544,0.8133154971970561,0,145,3
23,0.8646095717884131,0.8284993694829761,0.8513520865826134,0.8096076714660382,0,145,3
24,0.8690176322418136,0.8272383354350568,0.8580359474468331,0.8097540166330219,0,145,3
25,0.8658690176322418,0.8348045397225725,0.8532220061006567,0.81865478341182,0,145,3
26,0.8646095717884131,0.8310214375788146,0.8523039205994594,0.8143476623456337,0,145,3
27,0.8652392947103275,0.832282471626734,0.8523240734044712,0.8153064512057316,0,145,3
28,0.8646095717884131,0.8297604035308953,0.8520748002441966,0.8136588826878963,0,145,3
29,0.8664987405541562,0.8297604035308953,0.8539117403624975,0.8128783139739603,0,145,3
30,0.8664987405541562,0.8297604035308953,0.8534822497341893,0.811244558934499,0,145,3
31,0.8709068010075567,0.8335435056746532,0.857835905479232,0.8158234727465897,0,145,3
32,0.8664987405541562,0.8360655737704918,0.8536367840533382,0.8200043944211886,0,145,3
33,0.8671284634760705,0.832282471626734,0.8543053108588201,0.8156515249275652,0,145,3
34,0.8696473551637279,0.8360655737704918,0.8574764300594283,0.8200287187537589,0,145,3
35,0.8683879093198993,0.8348045397225725,0.8552417033939257,0.8188093187380091,0,145,3
36,0.8696473551637279,0.8348045397225725,0.8563806876108396,0.8182047984882387,0,145,3
37,0.8702770780856424,0.8335435056746532,0.8576472665850613,0.8174813670535843,0,145,3
38,0.8696473551637279,0.8335435056746532,0.856817212126629,0.8169610931466779,0,145,3
39,0.8709068010075567,0.8385876418663304,0.8584376891712875,0.8218795684591295,0,145,3
40,0.8683879093198993,0.8297604035308953,0.8560406264088614,0.8135782193910227,1,145,3
41,0.8690176322418136,0.8272383354350568,0.8566440506251235,0.811327485189434,1,145,3
42,0.8677581863979849,0.8209331651954602,0.8553462566948387,0.8040950742574449,1,145,3
43,0.8690176322418136,0.8284993694829761,0.8562374806465037,0.8132716049382717,1,145,3
44,0.8746851385390428,0.8310214375788146,0.862511491001587,0.8158587372980177,1,145,3
45,0.8740554156171285,0.8272383354350568,0.8621383945175136,0.8116315271585964,1,145,3
46,0.8753148614609572,0.8272383354350568,0.863493128989484,0.8120656655632724,1,145,3
47,0.8772040302267002,0.8184110970996217,0.8647898428844235,0.801561464575606,1,145,3
48,0.8797229219143576,0.8209331651954602,0.8678306779473486,0.8045905707196029,1,145,3
49,0.8721662468513854,0.8221941992433796,0.8589212620641927,0.8047602089268756,1,145,3
50,0.8790931989924433,0.8221941992433796,0.8663732693764842,0.8062287870568811,1,145,3
51,0.8809823677581864,0.8221941992433796,0.8686184253456602,0.8058856732195938,1,145,3
52,0.8790931989924433,0.8209331651954602,0.8664574493342659,0.8039753589910039,1,145,3
53,0.8759445843828715,0.8184110970996217,0.8633207205920849,0.8028310803780042,2,145,3
54,0.8753148614609572,0.8158890290037831,0.8627607917771725,0.7996806878784862,3,145,3
55,0.8816120906801007,0.8133669609079445,0.8695600249449362,0.7953609172812333,3,145,3
56,0.8772040302267002,0.8146279949558638,0.8652301983213752,0.796896748749251,3,145,3
57,0.8790931989924433,0.8171500630517023,0.8671121411260291,0.8004485265475002,3,145,3
58,0.8790931989924433,0.8171500630517023,0.8671653517573302,0.8003327898323508,3,145,3
59,0.8803526448362721,0.8221941992433796,0.8684297812990698,0.8046282697574724,3,145,3
60,0.9055415617128464,0.8738965952080706,0.8950640792098575,0.8599769455007825,3,145,3
61,0.904911838790932,0.8701134930643127,0.8942940961074971,0.8552784259567917,3,145,3
62,0.9055415617128464,0.8688524590163934,0.8950602812968974,0.8541376491880666,3,145,3
63,0.9055415617128464,0.8650693568726355,0.8953123292935836,0.8496881324299336,3,145,3
64,0.9055415617128464,0.8688524590163934,0.8954115016364859,0.8537806138390175,4,145,3
65,0.9080604534005038,0.8650693568726355,0.8979865488637419,0.8496708208417445,4,145,3
66,0.9061712846347607,0.8638083228247163,0.8960791076802789,0.8485238643374018,4,145,3
67,0.9061712846347607,0.8650693568726355,0.8958325725999442,0.8499841410069152,4,145,3
68,0.9042821158690176,0.8650693568726355,0.8938214975617513,0.8499841410069152,4,145,3
69,0.9036523929471033,0.862547288776797,0.8934621133977876,0.8465513570812204,5,145,3
70,0.9036523929471033,0.8688524590163934,0.8934939538677229,0.8534527496093213,6,145,3
71,0.9030226700251889,0.862547288776797,0.8925686249208576,0.8468900632347521,6,145,3
