nsel,atrain,atest,ftrain,ftest,nenhanced,nin,nout
1,0.8825701624815362,0.8926637124569178,0.8822584584267912,0.8925171435396384,0,140,2
2,0.8825701624815362,0.8926637124569178,0.8822584584267912,0.8925171435396384,0,140,2
3,0.8825701624815362,0.8926637124569178,0.8822584584267912,0.8925171435396384,0,140,2
4,0.8825701624815362,0.8926637124569178,0.8822584584267912,0.8925171435396384,0,140,2
5,0.9332840965041851,0.9369768586903003,0.9332840601133284,0.9369734208443885,0,140,2
6,0.9849827671097982,0.9852289512555391,0.9849436668115898,0.9851830848365057,0,140,2
7,0.9849827671097982,0.9852289512555391,0.9849436668115898,0.9851830848365057,0,140,2
8,0.9849827671097982,0.9852289512555391,0.9849436668115898,0.9851830848365057,0,140,2
9,0.9948301329394387,0.9931068439192516,0.9948213797330068,0.9930910847439177,0,140,2
10,0.9948301329394387,0.9931068439192516,0.9948213797330068,0.9930910847439177,0,140,2
11,0.9948301329394387,0.9931068439192516,0.9948213797330068,0.9930910847439177,0,140,2
12,0.9948301329394387,0.9931068439192516,0.9948213797330068,0.9930910847439177,0,140,2
13,0.9948301329394387,0.9931068439192516,0.9948213797330068,0.9930910847439177,1,140,2
14,0.9948301329394387,0.9931068439192516,0.9948213797330068,0.9930910847439177,1,140,2
15,0.9948301329394387,0.9931068439192516,0.9948213797330068,0.9930910847439177,1,140,2
16,0.9948301329394387,0.9931068439192516,0.9948213797330068,0.9930910847439177,1,140,2
17,0.9948301329394387,0.9931068439192516,0.9948213797330068,0.9930910847439177,1,140,2
18,0.9948301329394387,0.9931068439192516,0.9948213797330068,0.9930910847439177,1,140,2
19,0.9948301329394387,0.9931068439192516,0.9948213797330068,0.9930910847439177,1,140,2
20,0.9948301329394387,0.9931068439192516,0.9948213797330068,0.9930910847439177,1,140,2
21,0.9948301329394387,0.9931068439192516,0.9948213797330068,0.9930910847439177,1,140,2
22,0.9948301329394387,0.9931068439192516,0.9948213797330068,0.9930910847439177,1,140,2
23,0.9948301329394387,0.9931068439192516,0.9948213797330068,0.9930910847439177,1,140,2
24,0.9948301329394387,0.9931068439192516,0.9948213797330068,0.9930910847439177,2,140,2
25,0.9948301329394387,0.9931068439192516,0.9948213797330068,0.9930910847439177,2,140,2
26,0.9948301329394387,0.9931068439192516,0.9948213797330068,0.9930910847439177,2,140,2
27,0.9948301329394387,0.9931068439192516,0.9948213797330068,0.9930910847439177,3,140,2
28,0.9948301329394387,0.9931068439192516,0.9948213797330068,0.9930910847439177,4,140,2
29,0.9948301329394387,0.9931068439192516,0.9948213797330068,0.9930910847439177,4,140,2
30,0.9948301329394387,0.9931068439192516,0.9948213797330068,0.9930910847439177,4,140,2
31,0.9948301329394387,0.9931068439192516,0.9948213797330068,0.9930910847439177,4,140,2
32,0.9948301329394387,0.9931068439192516,0.9948213797330068,0.9930910847439177,4,140,2
33,0.9987690792712949,0.999015263417036,0.9987673759181184,0.9990135355933455,4,140,2
34,0.9972919743968488,0.9975381585425899,0.9972879228440088,0.9975335281089144,4,140,2
35,0.9987690792712949,0.999015263417036,0.9987673759181184,0.9990135355933455,4,140,2
36,0.9987690792712949,0.999015263417036,0.9987673759181184,0.9990135355933455,5,140,2
37,0.999015263417036,0.999015263417036,0.99901391874807,0.9990135355933455,5,140,2
38,0.999015263417036,0.999015263417036,0.99901391874807,0.9990135355933455,5,140,2
39,0.999015263417036,0.999015263417036,0.99901391874807,0.9990135355933455,5,140,2
40,1.0,1.0,1.0,1.0,5,140,2
41,1.0,1.0,1.0,1.0,5,140,2
42,1.0,1.0,1.0,1.0,5,140,2
43,1.0,1.0,1.0,1.0,5,140,2
44,1.0,1.0,1.0,1.0,5,140,2
45,1.0,1.0,1.0,1.0,6,140,2
46,1.0,1.0,1.0,1.0,7,140,2
47,1.0,1.0,1.0,1.0,7,140,2
48,1.0,1.0,1.0,1.0,7,140,2
49,1.0,1.0,1.0,1.0,7,140,2
50,1.0,1.0,1.0,1.0,7,140,2
51,1.0,1.0,1.0,1.0,8,140,2
52,1.0,1.0,1.0,1.0,8,140,2
53,1.0,1.0,1.0,1.0,9,140,2
54,1.0,1.0,1.0,1.0,9,140,2
55,1.0,1.0,1.0,1.0,9,140,2
56,1.0,1.0,1.0,1.0,10,140,2
57,1.0,1.0,1.0,1.0,10,140,2
58,1.0,1.0,1.0,1.0,10,140,2
59,1.0,1.0,1.0,1.0,11,140,2
60,1.0,1.0,1.0,1.0,12,140,2
61,1.0,1.0,1.0,1.0,12,140,2
62,1.0,1.0,1.0,1.0,12,140,2
63,1.0,1.0,1.0,1.0,12,140,2
64,1.0,1.0,1.0,1.0,12,140,2
65,1.0,1.0,1.0,1.0,13,140,2
66,1.0,1.0,1.0,1.0,14,140,2
67,1.0,1.0,1.0,1.0,14,140,2
68,1.0,1.0,1.0,1.0,14,140,2
69,1.0,1.0,1.0,1.0,15,140,2
