nsel,atrain,atest,ftrain,ftest,nenhanced,nin,nout
1,0.20175438596491227,0.17058823529411765,0.03403002090062702,0.034275731404246945,0,105,19
2,0.29239766081871343,0.22941176470588234,0.07371690094802223,0.06723021918303992,0,105,19
3,0.38596491228070173,0.3058823529411765,0.11243416649827874,0.10180125364542342,0,105,19
4,0.40058479532163743,0.3176470588235294,0.16337420597857893,0.1473862051745906,0,105,19
5,0.47368421052631576,0.4117647058823529,0.23709136701556902,0.195797166217519,0,105,19
6,0.564327485380117,0.5176470588235295,0.3578563601184581,0.30053733768461643,0,105,19
7,0.6081871345029239,0.5,0.4618087892875992,0.39736957186741984,0,105,19
8,0.631578947368421,0.5117647058823529,0.5083023688499838,0.42797844699641874,0,105,19
9,0.6549707602339181,0.5823529411764706,0.6090758429957015,0.5450081704768078,0,105,19
10,0.6871345029239766,0.6647058823529411,0.6450303115326236,0.6053036576649946,0,105,19
11,0.7368421052631579,0.6411764705882353,0.6800507124576856,0.6312184416961198,1,105,19
12,0.7573099415204678,0.7,0.704893758564775,0.6639718417169359,2,105,19
13,0.7543859649122807,0.6941176470588235,0.6999156017103193,0.6765869538053296,2,105,19
14,0.7807017543859649,0.7176470588235294,0.7593599251862476,0.7145277985457703,2,105,19
15,0.7865497076023392,0.7294117647058823,0.7640338468964913,0.7258164869792768,2,105,19
16,0.804093567251462,0.7647058823529411,0.7880789636428733,0.7751383169366091,2,105,19
17,0.804093567251462,0.7705882352941177,0.7895943128302204,0.7883551534944067,3,105,19
18,0.8157894736842105,0.7470588235294118,0.7959337047853794,0.7795281073334698,3,105,19
19,0.8362573099415205,0.7705882352941177,0.828228249599678,0.7896325896325896,3,105,19
20,0.8450292397660819,0.788235294117647,0.8364024529807982,0.8040090163006148,3,105,19
21,0.8391812865497076,0.8,0.8231912978261336,0.8118703452410059,4,105,19
22,0.8508771929824561,0.8,0.8391202063839147,0.8012188591135959,4,105,19
23,0.8596491228070176,0.8058823529411765,0.8630037667223021,0.804520488905878,4,105,19
24,0.8713450292397661,0.8117647058823529,0.86485542974292,0.8152394876079087,4,105,19
25,0.8801169590643275,0.8235294117647058,0.895692579008597,0.8825797069720397,4,105,19
26,0.8859649122807017,0.8235294117647058,0.9037107420147494,0.8825050718137347,4,105,19
27,0.8888888888888888,0.8235294117647058,0.9123287783336167,0.8825050718137347,4,105,19
28,0.8947368421052632,0.8294117647058824,0.9146316235551442,0.887263684601146,4,105,19
29,0.9093567251461988,0.8352941176470589,0.9463161861321551,0.8950609555563116,4,105,19
30,0.9239766081871345,0.8352941176470589,0.9560110778983649,0.8884471794688513,4,105,19
31,0.9239766081871345,0.8235294117647058,0.9560110778983649,0.881556312970239,5,105,19
32,0.9239766081871345,0.8294117647058824,0.9560110778983649,0.8835802658673352,5,105,19
33,0.9239766081871345,0.8352941176470589,0.9557648198092593,0.8827896875413364,5,105,19
34,0.935672514619883,0.8470588235294118,0.9629041857733467,0.882108878393708,6,105,19
35,0.9385964912280702,0.8470588235294118,0.9640356029527053,0.882108878393708,7,105,19
36,0.9415204678362573,0.8588235294117647,0.9663322854254377,0.897622844991266,7,105,19
37,0.9415204678362573,0.8470588235294118,0.9682096027210324,0.8954431533378902,8,105,19
38,0.9444444444444444,0.8470588235294118,0.9719995654326896,0.8954431533378902,8,105,19
39,0.9590643274853801,0.888235294117647,0.9736614918120083,0.9112907512389824,8,105,19
40,0.956140350877193,0.8764705882352941,0.9698715291003512,0.8923815608396013,8,105,19
41,0.956140350877193,0.8764705882352941,0.9698715291003512,0.8923815608396013,9,105,19
42,0.9532163742690059,0.888235294117647,0.9688581539630559,0.8972373053330965,9,105,19
43,0.9532163742690059,0.888235294117647,0.9688581539630559,0.8950091454746103,9,105,19
44,0.9473684210526315,0.888235294117647,0.9597486902676604,0.8993381498036147,10,105,19
45,0.9532163742690059,0.888235294117647,0.969488042576424,0.8993381498036147,10,105,19
46,0.9502923976608187,0.9117647058823529,0.9656980798647666,0.9431977989264216,10,105,19
47,0.9502923976608187,0.9117647058823529,0.9683463828077701,0.9431977989264216,11,105,19
48,0.9502923976608187,0.9058823529411765,0.9683463828077701,0.9431886778737514,11,105,19
49,0.9502923976608187,0.9058823529411765,0.9683463828077701,0.9431886778737514,11,105,19
50,0.956140350877193,0.9058823529411765,0.9720726690796601,0.9431886778737514,12,105,19
