dataset,ftrain,ftest,nin,nout
cancer,0.9494748998520337,0.9687892376681615,34,2
cancer,0.9530793361396359,0.975117975117975,34,2
cancer,0.9591836734693877,0.9814016460612107,34,2
cancer,0.9494748998520337,0.975117975117975,34,2
cancer,0.9403453689167975,0.9814016460612107,34,2
cancer,0.9529042386185244,0.9814016460612107,34,2
cancer,0.9591836734693877,0.9814016460612107,34,2
cancer,0.9529042386185244,0.9876420454545455,34,2
cancer,0.943590845600086,0.9814016460612107,34,2
cancer,0.9429347826086957,0.962413594470046,34,2
cancer,0.9559605982168536,0.9814016460612107,34,2
cancer,0.9494748998520337,0.9687892376681615,34,2
cancer,0.9464210137684488,0.975117975117975,34,2
cancer,0.9529042386185244,0.962413594470046,34,2
cancer,0.9429347826086957,0.9814016460612107,34,2
cancer,0.9498585294222985,0.975117975117975,34,2
cancer,0.9532498063206263,0.9814016460612107,34,2
cancer,0.9562874678846702,0.975117975117975,34,2
cancer,0.9527244239133371,0.9687892376681615,34,2
cancer,0.9562874678846702,0.9814016460612107,34,2
cancer,0.9502222222222223,0.9814016460612107,34,2
cancer,0.9433779119930975,0.975117975117975,34,2
cancer,0.9593354246543511,0.9687892376681615,34,2
cancer,0.9557905373705294,0.9687892376681615,34,2
cancer,0.959483165477876,0.9876420454545455,34,2
cancer,0.9562874678846702,0.9814016460612107,34,2
cancer,0.9527244239133371,0.962413594470046,34,2
cancer,0.9527244239133371,0.9687892376681615,34,2
cancer,0.9591836734693877,0.9876420454545455,34,2
cancer,0.959483165477876,0.962413594470046,34,2
card,0.85758333965173,0.8488167680865449,74,2
card,0.8497296927977863,0.8370109652091512,74,2
card,0.8384074941451991,0.8542521099549198,74,2
card,0.8081841432225064,0.7485636579976203,74,2
card,0.874756224197756,0.8661659731384688,74,2
card,0.8294757294791383,0.807351593524081,74,2
card,0.873106433208735,0.8127126718388458,74,2
card,0.8143719734560889,0.75311004784689,74,2
card,0.8586741312214106,0.8016551349884683,74,2
card,0.8535653650254669,0.802084743468255,74,2
card,0.8433443853291182,0.8001367053998634,74,2
card,0.8661708156243675,0.8660572202471644,74,2
