dataset,ftrain,ftest,nin,nout
cancer,0.9591836734693877,0.9814016460612107,34,2
cancer,0.9625321153297174,0.975117975117975,34,2
cancer,0.9655915131690663,0.975117975117975,34,2
cancer,0.9655915131690663,0.9876420454545455,34,2
cancer,0.9625321153297174,0.9876420454545455,34,2
cancer,0.9625321153297174,0.975117975117975,34,2
cancer,0.9625321153297174,0.975117975117975,34,2
cancer,0.9655915131690663,0.9687892376681615,34,2
cancer,0.9654631083202512,0.975117975117975,34,2
cancer,0.9625321153297174,0.9687892376681615,34,2
cancer,0.9654631083202512,0.9814016460612107,34,2
cancer,0.9655915131690663,0.975117975117975,34,2
cancer,0.9655915131690663,0.9687892376681615,34,2
cancer,0.9625321153297174,0.9876420454545455,34,2
cancer,0.9622519413287316,0.975117975117975,34,2
cancer,0.9625321153297174,0.975117975117975,34,2
cancer,0.9654631083202512,0.9876420454545455,34,2
cancer,0.962393897066724,0.9814016460612107,34,2
cancer,0.962393897066724,0.9687892376681615,34,2
cancer,0.9655915131690663,0.975117975117975,34,2
cancer,0.9625321153297174,0.9814016460612107,34,2
cancer,0.9626666666666667,0.9938409259849208,34,2
cancer,0.9686615808889367,0.962413594470046,34,2
cancer,0.962393897066724,0.9687892376681615,34,2
cancer,0.962393897066724,0.975117975117975,34,2
cancer,0.9655915131690663,0.975117975117975,34,2
cancer,0.962393897066724,0.9876420454545455,34,2
cancer,0.9591836734693877,0.9814016460612107,34,2
cancer,0.9654631083202512,0.9814016460612107,34,2
cancer,0.9625321153297174,0.9559891598915989,34,2
card,0.9034097175678083,0.8778037146046889,74,2
card,0.897878062600959,0.8662383770076078,74,2
card,0.9064913944978994,0.8428904902060286,74,2
card,0.9037136018809042,0.8602951130364154,74,2
card,0.906674781903023,0.8661659731384688,74,2
card,0.9007479861910241,0.8428904902060286,74,2
card,0.906674781903023,0.8602951130364154,74,2
card,0.897878062600959,0.8603896103896104,74,2
card,0.897878062600959,0.8488167680865449,74,2
card,0.9038826836866499,0.8487554112554112,74,2
card,0.8951013513513513,0.825487012987013,74,2
card,0.9124246936979625,0.8662745495723896,74,2
card,0.9038014685379683,0.8604462474645029,74,2
card,0.9095491411608494,0.8720757268424612,74,2
card,0.8951013513513513,0.8778037146046889,74,2
card,0.9008419557719618,0.8546462495352061,74,2
card,0.9124246936979625,0.8660572202471644,74,2
card,0.880674197113235,0.8661659731384688,74,2
card,0.906674781903023,0.8660572202471644,74,2
card,0.8951013513513513,0.889441456070909,74,2
card,0.8977777777777778,0.8662383770076078,74,2
card,0.8951863354037267,0.872093023255814,74,2
card,0.9005392755392756,0.8661659731384688,74,2
card,0.8979712545099663,0.8661659731384688,74,2
card,0.8977777777777778,0.8604462474645029,74,2
card,0.9038826836866499,0.831389649460839,74,2
card,0.9009290540540541,0.8604462474645029,74,2
card,0.9004244482173176,0.8544100220077874,74,2
card,0.9124246936979625,0.8429754860524091,74,2
card,0.9125076080340839,0.8720757268424612,74,2
gene,0.9138501959764902,0.8536109650813094,145,3
gene,0.9100207129885023,0.8455188010343072,145,3
gene,0.908795887527711,0.8604069371130292,145,3
gene,0.9087286307123134,0.8540537130484047,145,3
gene,0.9091495379713118,0.851933575234546,145,3
gene,0.9110984738873444,0.8430743315896679,145,3
gene,0.9108106253483337,0.8370168076050429,145,3
gene,0.906339703878337,0.8558357559836011,145,3
gene,0.9081870648774197,0.8358443234523089,145,3
gene,0.9132589067798177,0.8446059439929038,145,3
gene,0.904836114674599,0.8546368307244,145,3
gene,0.9057456297414407,0.8417520812746636,145,3
gene,0.9085258352741322,0.8563802528744273,145,3
gene,0.9018624666229508,0.8567341948821273,145,3
gene,0.9059244946750248,0.834351302348591,145,3
gene,0.9092883469861507,0.8468792026094257,145,3
gene,0.9095896018645616,0.8510439895316816,145,3
gene,0.9120336129270931,0.8540308232911706,145,3
gene,0.9096257014945307,0.8492319060084182,145,3
gene,0.9057708944242159,0.8406083882997968,145,3
gene,0.9059019667140591,0.8523913775509682,145,3
gene,0.9007263198859378,0.8450097422916113,145,3
gene,0.9093518136857043,0.849900292913364,145,3
gene,0.9145758577025118,0.8473602651903746,145,3
gene,0.9103264906200944,0.8492219960582056,145,3
gene,0.9103159984415399,0.8517300819532055,145,3
gene,0.9097338468428688,0.8516870215757928,145,3
gene,0.9091797661408169,0.8415341662218742,145,3
gene,0.9128286873718353,0.8408604906270547,145,3
gene,0.907224579961214,0.8431821019122444,145,3
glass,0.8792085235920851,0.531823708206687,34,6
glass,0.7681134654818865,0.4291935483870968,34,6
glass,0.8134935856454844,0.4397979797979798,34,6
glass,0.7383946488294314,0.47589289479232555,34,6
glass,0.8463495963495964,0.5411764705882354,34,6
glass,0.7670636201838636,0.5606666666666666,34,6
glass,0.8258061821219717,0.558558804566314,34,6
glass,0.7807503607503609,0.6089665653495441,34,6
glass,0.8408802308802309,0.5514842300556586,34,6
glass,0.8551408825093035,0.47069444444444447,34,6
glass,0.8409105909105908,0.5426899672335778,34,6
glass,0.8306425309849969,0.4612244897959183,34,6
glass,0.8595848595848595,0.4550653594771242,34,6
glass,0.8800063803041765,0.44246031746031744,34,6
glass,0.8535043739391566,0.49307359307359305,34,6
glass,0.8177074154183023,0.4602777777777778,34,6
glass,0.7629613358271917,0.5717687074829931,34,6
glass,0.8523080496764708,0.6340836321958072,34,6
glass,0.7555376622882344,0.4916666666666666,34,6
glass,0.8692547351231723,0.5243679599499373,34,6
glass,0.8257477025898078,0.4556405895691609,34,6
glass,0.7718872718872719,0.47981089669069216,34,6
glass,0.8346203346203346,0.5294871794871795,34,6
glass,0.8046829296829298,0.476078431372549,34,6
glass,0.756536212325686,0.561921146953405,34,6
glass,0.8470252877246388,0.5377381404174573,34,6
glass,0.8112060041407867,0.5783113245298119,34,6
