dataset,ftrain,ftest,nin,nout
cancer,0.9462117719379131,0.975117975117975,34,2
cancer,0.959483165477876,0.9814016460612107,34,2
cancer,0.962393897066724,0.975117975117975,34,2
cancer,0.9530793361396359,0.975117975117975,34,2
cancer,0.9464210137684488,0.9814016460612107,34,2
cancer,0.9593354246543511,0.975117975117975,34,2
cancer,0.9561262132445113,0.975117975117975,34,2
cancer,0.9530793361396359,0.975117975117975,34,2
cancer,0.9591836734693877,0.9814016460612107,34,2
cancer,0.9496692551049756,0.9687892376681615,34,2
cancer,0.9527244239133371,0.9814016460612107,34,2
cancer,0.9529042386185244,0.9687892376681615,34,2
cancer,0.962393897066724,0.9687892376681615,34,2
cancer,0.959483165477876,0.975117975117975,34,2
cancer,0.9494748998520337,0.9687892376681615,34,2
cancer,0.9496692551049756,0.9687892376681615,34,2
cancer,0.9561262132445113,0.9814016460612107,34,2
cancer,0.9466248037676609,0.975117975117975,34,2
cancer,0.9561262132445113,0.9876420454545455,34,2
cancer,0.9593354246543511,0.975117975117975,34,2
cancer,0.959483165477876,0.9814016460612107,34,2
cancer,0.9530793361396359,0.9814016460612107,34,2
cancer,0.9530793361396359,0.9814016460612107,34,2
cancer,0.9468232476249208,0.975117975117975,34,2
cancer,0.9529042386185244,0.975117975117975,34,2
cancer,0.9561262132445113,0.975117975117975,34,2
cancer,0.9527244239133371,0.9687892376681615,34,2
cancer,0.9529042386185244,0.9876420454545455,34,2
cancer,0.9529042386185244,0.9814016460612107,34,2
cancer,0.9529042386185244,0.9687892376681615,34,2
card,0.8834459459459459,0.8661659731384688,74,2
card,0.8690326553681849,0.8604462474645029,74,2
card,0.8834459459459459,0.8602951130364154,74,2
card,0.8835403726708074,0.8661659731384688,74,2
card,0.880674197113235,0.8720238095238095,74,2
card,0.8631056404021984,0.8718157181571815,74,2
card,0.8718944099378882,0.8601626016260162,74,2
card,0.8719894758146124,0.8662383770076078,74,2
card,0.8689309322999772,0.8546462495352061,74,2
card,0.8835403726708074,0.8661659731384688,74,2
card,0.8749420442571127,0.8545282316722487,74,2
card,0.8891763035098397,0.8718157181571815,74,2
card,0.8719894758146124,0.8603896103896104,74,2
card,0.8835403726708074,0.8662745495723896,74,2
card,0.8778081360048573,0.8777044184865413,74,2
card,0.8719894758146124,0.8662383770076078,74,2
card,0.8807586933614331,0.8545282316722487,74,2
card,0.8719894758146124,0.8604462474645029,74,2
card,0.8803714447611235,0.8659119411585263,74,2
card,0.8720757769837524,0.8661659731384688,74,2
card,0.8892736486486487,0.8719371869500474,74,2
card,0.8691253951527924,0.8603896103896104,74,2
card,0.8776182432432433,0.8602951130364154,74,2
card,0.8805815160955348,0.8661659731384688,74,2
card,0.8775106512477175,0.8720238095238095,74,2
card,0.8778081360048573,0.8720238095238095,74,2
card,0.8805815160955348,0.8601626016260162,74,2
card,0.874756224197756,0.8545282316722487,74,2
card,0.8775106512477175,0.8719371869500474,74,2
card,0.8718944099378882,0.8778698224852071,74,2
gene,0.8448747428701443,0.7951247453066362,145,3
gene,0.8428011542476771,0.7691136376655567,145,3
gene,0.8455182076635633,0.7859325659594286,145,3
gene,0.8384319368838669,0.8030230975593596,145,3
gene,0.837254639748116,0.7975510521231918,145,3
gene,0.8361800872549674,0.775945809031966,145,3
gene,0.8335614502671751,0.7776942645005974,145,3
