dataset,ftrain,ftest,nin,nout
cancer,0.9462117719379131,0.975117975117975,34,2
cancer,0.9532498063206263,0.975117975117975,34,2
cancer,0.9559605982168536,0.975117975117975,34,2
cancer,0.9496692551049756,0.975117975117975,34,2
cancer,0.9464210137684488,0.9814016460612107,34,2
cancer,0.9464210137684488,0.9814016460612107,34,2
cancer,0.9527244239133371,0.9687892376681615,34,2
cancer,0.9498585294222985,0.9687892376681615,34,2
cancer,0.9559605982168536,0.9814016460612107,34,2
cancer,0.9462117719379131,0.9687892376681615,34,2
cancer,0.9527244239133371,0.9814016460612107,34,2
cancer,0.9529042386185244,0.962413594470046,34,2
cancer,0.9593354246543511,0.9687892376681615,34,2
cancer,0.9500428204396232,0.9687892376681615,34,2
cancer,0.9494748998520337,0.9687892376681615,34,2
cancer,0.9464210137684488,0.9687892376681615,34,2
cancer,0.9496692551049756,0.9687892376681615,34,2
cancer,0.9529042386185244,0.9687892376681615,34,2
cancer,0.9593354246543511,0.9876420454545455,34,2
cancer,0.9530793361396359,0.9687892376681615,34,2
cancer,0.959483165477876,0.9687892376681615,34,2
cancer,0.9562874678846702,0.9876420454545455,34,2
cancer,0.9464210137684488,0.9814016460612107,34,2
cancer,0.9468232476249208,0.9687892376681615,34,2
cancer,0.9496692551049756,0.975117975117975,34,2
cancer,0.9593354246543511,0.975117975117975,34,2
cancer,0.9527244239133371,0.9687892376681615,34,2
cancer,0.9496692551049756,0.9876420454545455,34,2
cancer,0.9462117719379131,0.975117975117975,34,2
cancer,0.9498585294222985,0.9687892376681615,34,2
card,0.8404456590287996,0.8604651162790697,74,2
card,0.8375706214689266,0.8604651162790697,74,2
card,0.8404456590287996,0.8662745495723896,74,2
card,0.8403866050924874,0.8604651162790697,74,2
card,0.8403866050924874,0.8604651162790697,74,2
card,0.8604463021640936,0.8662383770076078,74,2
card,0.8375159792774003,0.8662383770076078,74,2
card,0.8346436829934833,0.8604651162790697,74,2
card,0.8346436829934833,0.8604651162790697,74,2
card,0.8404456590287996,0.8604651162790697,74,2
card,0.8375706214689266,0.8604651162790697,74,2
card,0.8403866050924874,0.8604651162790697,74,2
card,0.8346436829934833,0.8604651162790697,74,2
card,0.8346436829934833,0.8604651162790697,74,2
card,0.8375159792774003,0.8604651162790697,74,2
card,0.8346436829934833,0.8604462474645029,74,2
card,0.8375706214689266,0.8604462474645029,74,2
card,0.8346436829934833,0.8604651162790697,74,2
card,0.8346436829934833,0.8604651162790697,74,2
card,0.8375706214689266,0.8604651162790697,74,2
card,0.8375159792774003,0.8604651162790697,74,2
card,0.8346436829934833,0.8604651162790697,74,2
card,0.8375706214689266,0.8546462495352061,74,2
card,0.8346436829934833,0.8604651162790697,74,2
card,0.8403866050924874,0.8604651162790697,74,2
card,0.8375706214689266,0.8604462474645029,74,2
card,0.8346436829934833,0.8604651162790697,74,2
card,0.8346436829934833,0.8604651162790697,74,2
card,0.8346436829934833,0.8604651162790697,74,2
card,0.8404456590287996,0.8604651162790697,74,2
gene,0.829617447078215,0.8080287482172505,145,3
gene,0.8253816955541371,0.7925833676910208,145,3
gene,0.8253004945731547,0.8043989621535553,145,3
gene,0.816488793757566,0.8227172295928614,145,3
gene,0.8095014470072783,0.8097712526118993,145,3
gene,0.8305658985977816,0.7877660141865747,145,3
gene,0.8227523617567023,0.7900649955131506,145,3
gene,0.8117312558709068,0.7980331116601723,145,3
gene,0.8357941616274736,0.8146570853307974,145,3
gene,0.8272490256982072,0.8051507246809185,145,3
gene,0.8417627993448131,0.7962114871777562,145,3
gene,0.8274691822475387,0.8026112942468728,145,3
gene,0.8203851261850016,0.7889099968052512,145,3
gene,0.8263373984897592,0.7970149484423817,145,3
gene,0.8280257701716156,0.8007009311425252,145,3
gene,0.831885553254022,0.7909615469747978,145,3
gene,0.8277106374667351,0.8158035769288966,145,3
gene,0.8219278044844276,0.7997139013348527,145,3
gene,0.8367010104251597,0.8154771376441907,145,3
gene,0.8230141771808438,0.8028722418527243,145,3
gene,0.8260177003757829,0.8048528290676944,145,3
gene,0.817201974977488,0.8046822615227619,145,3
gene,0.8302423108560447,0.8117988241740987,145,3
gene,0.8387210319671423,0.7931640022195726,145,3
gene,0.8384727610717695,0.8252472180150892,145,3
gene,0.828418626889556,0.7973238416634377,145,3
gene,0.8245647660904948,0.8102984817611735,145,3
gene,0.8348222858907862,0.8142243799173491,145,3
gene,0.829828871972286,0.7959059459059459,145,3
gene,0.8235450308489914,0.8019870544614945,145,3
glass,0.5464378811153005,0.31827431827431824,34,6
glass,0.4417536436169976,0.2144781144781145,34,6
glass,0.5159606386534197,0.36764705882352944,34,6
glass,0.45311224646353065,0.47437641723356005,34,6
glass,0.5767843267843268,0.412213141549526,34,6
glass,0.5332007364736189,0.386039886039886,34,6
glass,0.4377101973475474,0.5493865698729582,34,6
glass,0.43539012190831644,0.22677063027940222,34,6
glass,0.4763229596032706,0.21380090497737556,34,6
glass,0.48523910518608293,0.21804305230128387,34,6
glass,0.4997417433840732,0.45297956628014785,34,6
glass,0.6018049034950442,0.5367501839445455,34,6
glass,0.4517629838730756,0.23649516786771688,34,6
glass,0.5567375315618451,0.4012345679012346,34,6
glass,0.43092982969794563,0.3960493827160494,34,6
glass,0.5525508886292356,0.25391812865497077,34,6
glass,0.5347898107521164,0.2251993620414673,34,6
glass,0.45330245584944967,0.24998699745150046,34,6
glass,0.543007293007293,0.4422166527429685,34,6
glass,0.6542334116960983,0.5678062678062678,34,6
glass,0.515674329932642,0.25045787545787546,34,6
glass,0.4397983052870271,0.2601063829787234,34,6
glass,0.6050540348152462,0.4144041731256613,34,6
glass,0.5015780050663772,0.3299440023577955,34,6
glass,0.5363627230715838,0.39567909543680174,34,6
glass,0.5683106575963719,0.42790123456790125,34,6
glass,0.4989721561115303,0.31054945054945055,34,6
glass,0.5092634512882164,0.26203886572550167,34,6
glass,0.6711764705882354,0.6542865184351252,34,6
glass,0.4920445808126967,0.3509301156359979,34,6
heart,0.8144413069786204,0.7595559863906788,57,2
heart,0.8380711271850512,0.7945296610974891,57,2
heart,0.8123359139145001,0.7637705416920267,57,2
heart,0.838463721684249,0.780952380952381,57,2
heart,0.8322971832066928,0.7595559863906788,57,2
heart,0.8093530727118514,0.7492109038737447,57,2
heart,0.8079202883595471,0.7595559863906788,57,2
heart,0.8256763059701493,0.7767372808770627,57,2
heart,0.8196078431372549,0.75585715368868,57,2
heart,0.8251867673021325,0.7640756781399589,57,2
heart,0.8127313916787601,0.7637705416920267,57,2
heart,0.841897233201581,0.7640756781399589,57,2
heart,0.832807269249163,0.7640756781399589,57,2
heart,0.8079202883595471,0.7592264793772245,57,2
heart,0.8508089133089134,0.7815515538332953,57,2
heart,0.8386500031232131,0.7637705416920267,57,2
heart,0.8390027568021096,0.7550213024954351,57,2
heart,0.8142307692307693,0.758859299643531,57,2
heart,0.8123359139145001,0.7595559863906788,57,2
heart,0.8276954993372904,0.7682994050673813,57,2
heart,0.8282398897058824,0.7595559863906788,57,2
heart,0.8144413069786204,0.7465998024466226,57,2
heart,0.8093530727118514,0.7676280523837664,57,2
heart,0.85480631276901,0.786046511627907,57,2
heart,0.8259503522661418,0.7553377402932908,57,2
heart,0.8146442551231867,0.7595559863906788,57,2
heart,0.8416068866571018,0.7553377402932908,57,2
heart,0.8165472638250232,0.7465998024466226,57,2
heart,0.8209678116846613,0.7580105212816834,57,2
heart,0.8391693128535234,0.7556162720097146,57,2
horse,0.33912217366520997,0.36637106590158236,83,3
horse,0.37469135802469133,0.36190476190476195,83,3
horse,0.40857464341264854,0.40675195451314855,83,3
horse,0.2721198988804623,0.296969696969697,83,3
horse,0.3885506979032159,0.3083333333333333,83,3
horse,0.2705388692579505,0.35000000000000003,83,3
horse,0.2932367149758454,0.37197049525816644,83,3
horse,0.4025750651137648,0.40649452269170583,83,3
horse,0.28963524738172625,0.35912698412698413,83,3
horse,0.2627505827505828,0.3163718820861678,83,3
horse,0.36491228070175435,0.3675741630443072,83,3
horse,0.2476851851851852,0.296969696969697,83,3
horse,0.3202937712187348,0.28903903903903905,83,3
horse,0.26215364194458274,0.28903903903903905,83,3
horse,0.27575908412145345,0.29296761015465417,83,3
