dataset,ftrain,ftest,nin,nout
cancer,0.9494748998520337,0.975117975117975,34,2
cancer,0.959483165477876,0.975117975117975,34,2
cancer,0.9593354246543511,0.9814016460612107,34,2
cancer,0.9562874678846702,0.975117975117975,34,2
cancer,0.9464210137684488,0.9814016460612107,34,2
cancer,0.9562874678846702,0.975117975117975,34,2
cancer,0.9527244239133371,0.975117975117975,34,2
cancer,0.9530793361396359,0.9687892376681615,34,2
cancer,0.9529042386185244,0.9814016460612107,34,2
cancer,0.9496692551049756,0.975117975117975,34,2
cancer,0.9498585294222985,0.9814016460612107,34,2
cancer,0.9562874678846702,0.9687892376681615,34,2
cancer,0.9530793361396359,0.9559891598915989,34,2
cancer,0.9500428204396232,0.9876420454545455,34,2
cancer,0.9496692551049756,0.975117975117975,34,2
cancer,0.9498585294222985,0.975117975117975,34,2
cancer,0.9593354246543511,0.9814016460612107,34,2
cancer,0.9561262132445113,0.975117975117975,34,2
cancer,0.9593354246543511,0.9814016460612107,34,2
cancer,0.9562874678846702,0.9687892376681615,34,2
cancer,0.959483165477876,0.9814016460612107,34,2
cancer,0.9532498063206263,0.9876420454545455,34,2
cancer,0.9562874678846702,0.975117975117975,34,2
cancer,0.9532498063206263,0.9814016460612107,34,2
cancer,0.9468232476249208,0.975117975117975,34,2
cancer,0.9561262132445113,0.9687892376681615,34,2
cancer,0.9559605982168536,0.9814016460612107,34,2
cancer,0.943590845600086,0.9876420454545455,34,2
cancer,0.9527244239133371,0.9814016460612107,34,2
cancer,0.9500428204396232,0.9687892376681615,34,2
card,0.8461234210504169,0.8604462474645029,74,2
card,0.8346436829934833,0.8604651162790697,74,2
card,0.8403866050924874,0.8604651162790697,74,2
card,0.8317129785373074,0.8604651162790697,74,2
card,0.8431818181818181,0.8661659731384688,74,2
card,0.8346436829934833,0.8604651162790697,74,2
card,0.8346436829934833,0.8604651162790697,74,2
card,0.8346436829934833,0.8604651162790697,74,2
card,0.8545334952438777,0.8602951130364154,74,2
card,0.8346436829934833,0.8604651162790697,74,2
card,0.8346436829934833,0.8604651162790697,74,2
card,0.8431818181818181,0.8662745495723896,74,2
card,0.8346436829934833,0.8604651162790697,74,2
card,0.8346436829934833,0.8604651162790697,74,2
card,0.8346436829934833,0.8604651162790697,74,2
card,0.8346436829934833,0.8604651162790697,74,2
card,0.8460456853219274,0.8603896103896104,74,2
card,0.8346436829934833,0.8604651162790697,74,2
card,0.8346436829934833,0.8604651162790697,74,2
card,0.8375159792774003,0.8546462495352061,74,2
card,0.8432557043817729,0.8604462474645029,74,2
card,0.8346436829934833,0.8604651162790697,74,2
card,0.8346436829934833,0.8604651162790697,74,2
card,0.8346436829934833,0.8604651162790697,74,2
card,0.8545334952438777,0.8604462474645029,74,2
card,0.8346436829934833,0.8604651162790697,74,2
card,0.8346436829934833,0.8604651162790697,74,2
card,0.8317129785373074,0.8487554112554112,74,2
card,0.8346436829934833,0.8604651162790697,74,2
card,0.8346436829934833,0.8604651162790697,74,2
gene,0.8864165736520224,0.860067762067636,145,3
gene,0.8864165736520224,0.860067762067636,145,3
gene,0.8864165736520224,0.860067762067636,145,3
gene,0.8864165736520224,0.860067762067636,145,3
gene,0.8864165736520224,0.860067762067636,145,3
gene,0.8864165736520224,0.860067762067636,145,3
gene,0.8864165736520224,0.860067762067636,145,3
gene,0.8864165736520224,0.860067762067636,145,3
gene,0.8864165736520224,0.860067762067636,145,3
gene,0.8864165736520224,0.860067762067636,145,3
gene,0.8864165736520224,0.860067762067636,145,3
gene,0.8864165736520224,0.860067762067636,145,3
gene,0.8864165736520224,0.860067762067636,145,3
gene,0.8864165736520224,0.860067762067636,145,3
gene,0.8864165736520224,0.860067762067636,145,3
gene,0.8864165736520224,0.860067762067636,145,3
gene,0.8864165736520224,0.860067762067636,145,3
gene,0.8864165736520224,0.860067762067636,145,3
gene,0.8864165736520224,0.860067762067636,145,3
gene,0.8864165736520224,0.860067762067636,145,3
gene,0.8864165736520224,0.860067762067636,145,3
gene,0.8864165736520224,0.860067762067636,145,3
gene,0.8864165736520224,0.860067762067636,145,3
gene,0.8864165736520224,0.860067762067636,145,3
gene,0.8864165736520224,0.860067762067636,145,3
gene,0.8864165736520224,0.860067762067636,145,3
gene,0.8864165736520224,0.860067762067636,145,3
gene,0.8864165736520224,0.860067762067636,145,3
gene,0.8864165736520224,0.860067762067636,145,3
gene,0.8864165736520224,0.860067762067636,145,3
glass,0.6015519568151148,0.5258363201911589,34,6
glass,0.543830799845996,0.44111128493950763,34,6
glass,0.6278539958293482,0.4710338680926916,34,6
glass,0.6367402038838472,0.4835627004424958,34,6
glass,0.6894736842105263,0.6142087286527514,34,6
glass,0.5985013765518673,0.508182601205857,34,6
glass,0.6249503672821124,0.5323955669224212,34,6
glass,0.5986630369026014,0.2688387635756057,34,6
glass,0.5093337977206324,0.3840668119099491,34,6
glass,0.5195868945868946,0.27547534165181226,34,6
glass,0.6714087919695396,0.43404040404040406,34,6
glass,0.6190228690228691,0.684171639670361,34,6
glass,0.5370386869406826,0.2875933915605598,34,6
glass,0.6624311678659506,0.37138188608776845,34,6
glass,0.5599384938493849,0.4525017921146953,34,6
glass,0.5705445544554455,0.2487930441384055,34,6
glass,0.5316951022833376,0.2562962962962963,34,6
glass,0.6361394317001794,0.3713200379867046,34,6
glass,0.6516761016761018,0.45925925925925926,34,6
glass,0.7017525485267422,0.5422949265054529,34,6
glass,0.6625175621606701,0.37833118418224804,34,6
glass,0.668570616652458,0.34836601307189535,34,6
glass,0.6344706250772739,0.4496038483305037,34,6
glass,0.6612386049005767,0.5615984405458089,34,6
glass,0.6908602150537634,0.4881091617933723,34,6
glass,0.7021466905187835,0.541970541970542,34,6
glass,0.6926694481042307,0.6088372093023255,34,6
glass,0.6658515712682379,0.44588736769858756,34,6
glass,0.6426743626743626,0.5681842818428184,34,6
glass,0.6611008039579468,0.5484163557896278,34,6
heart,0.8409496916959603,0.7815515538332953,57,2
heart,0.8275,0.7812690200852099,57,2
heart,0.8361539498257571,0.7818002428658166,57,2
heart,0.829612418762838,0.7902894916799635,57,2
heart,0.8344140416892647,0.7857862424207865,57,2
heart,0.857073886586456,0.7900182592818016,57,2
heart,0.8345918734268248,0.7730722525804493,57,2
heart,0.8542038840546303,0.7854926816269818,57,2
heart,0.8379047619047619,0.7862737289260586,57,2
heart,0.8340380702235435,0.7773137161841481,57,2
heart,0.8522354069279636,0.7815515538332953,57,2
heart,0.8284074605451937,0.7862737289260586,57,2
heart,0.8338398408715462,0.7987674984783932,57,2
heart,0.8321135634568471,0.7773137161841481,57,2
heart,0.8373595290879903,0.7730722525804493,57,2
heart,0.8654680570538176,0.7947793070716659,57,2
heart,0.8370481004901961,0.7851655578642368,57,2
heart,0.8298089074039372,0.7679818801271436,57,2
heart,0.8301809900515402,0.7637705416920267,57,2
heart,0.8255827905793589,0.7812690200852099,57,2
heart,0.8255827905793589,0.7725197808886184,57,2
heart,0.816751539469453,0.7897142857142858,57,2
heart,0.8461509058940448,0.7862737289260586,57,2
heart,0.8416068866571018,0.7767372808770627,57,2
heart,0.8301809900515402,0.786046511627907,57,2
heart,0.8169483399256863,0.780952380952381,57,2
heart,0.8349274398442097,0.786046511627907,57,2
heart,0.8421624506757659,0.777042823744084,57,2
heart,0.848133244656673,0.7897142857142858,57,2
heart,0.8370481004901961,0.7721904761904762,57,2
horse,0.24682814302191466,0.2649006622516556,83,3
horse,0.24682814302191466,0.2649006622516556,83,3
horse,0.24682814302191466,0.2649006622516556,83,3
horse,0.24682814302191466,0.2649006622516556,83,3
horse,0.24682814302191466,0.2649006622516556,83,3
horse,0.24682814302191466,0.2649006622516556,83,3
horse,0.24682814302191466,0.2649006622516556,83,3
horse,0.24682814302191466,0.2649006622516556,83,3
horse,0.24682814302191466,0.2649006622516556,83,3
horse,0.24682814302191466,0.2649006622516556,83,3
horse,0.24682814302191466,0.2649006622516556,83,3
horse,0.24682814302191466,0.2649006622516556,83,3
horse,0.24682814302191466,0.2649006622516556,83,3
horse,0.24682814302191466,0.2649006622516556,83,3
horse,0.24682814302191466,0.2649006622516556,83,3
horse,0.24682814302191466,0.2649006622516556,83,3
horse,0.24682814302191466,0.2649006622516556,83,3
horse,0.24682814302191466,0.2649006622516556,83,3
horse,0.24682814302191466,0.2649006622516556,83,3
horse,0.24682814302191466,0.2649006622516556,83,3
horse,0.24682814302191466,0.2649006622516556,83,3
horse,0.24682814302191466,0.2649006622516556,83,3
horse,0.24682814302191466,0.2649006622516556,83,3
horse,0.24682814302191466,0.2649006622516556,83,3
horse,0.24682814302191466,0.2649006622516556,83,3
horse,0.24682814302191466,0.2649006622516556,83,3
horse,0.24682814302191466,0.2649006622516556,83,3
horse,0.24682814302191466,0.2649006622516556,83,3
horse,0.24682814302191466,0.2649006622516556,83,3
horse,0.24682814302191466,0.2649006622516556,83,3
mushroom,1.0,1.0,140,2
mushroom,1.0,1.0,140,2
mushroom,1.0,1.0,140,2
mushroom,1.0,1.0,140,2
mushroom,1.0,1.0,140,2
mushroom,1.0,1.0,140,2
mushroom,1.0,1.0,140,2
mushroom,1.0,1.0,140,2
mushroom,1.0,1.0,140,2
mushroom,1.0,1.0,140,2
mushroom,1.0,1.0,140,2
mushroom,1.0,1.0,140,2
mushroom,1.0,1.0,140,2
mushroom,1.0,1.0,140,2
mushroom,1.0,1.0,140,2
mushroom,1.0,1.0,140,2
mushroom,1.0,1.0,140,2
mushroom,1.0,1.0,140,2
mushroom,1.0,1.0,140,2
mushroom,1.0,1.0,140,2
mushroom,1.0,1.0,140,2
mushroom,1.0,1.0,140,2
mushroom,1.0,1.0,140,2
mushroom,1.0,1.0,140,2
mushroom,1.0,1.0,140,2
mushroom,1.0,1.0,140,2
mushroom,1.0,1.0,140,2
mushroom,1.0,1.0,140,2
mushroom,1.0,1.0,140,2
mushroom,1.0,1.0,140,2
soybean,0.9752457998886266,0.9267574927480208,105,19
soybean,0.9666693123658358,0.9345500820409022,105,19
soybean,0.9675786268369532,0.9235902816074175,105,19
soybean,0.9705545846710955,0.9281177425221747,105,19
soybean,0.9739209028682714,0.9217421544291351,105,19
soybean,0.9737609850703951,0.9383784424057651,105,19
soybean,0.9666780587833219,0.9325560356621616,105,19
soybean,0.9744196868052705,0.931973874079137,105,19
soybean,0.9712779503892178,0.9273693267106532,105,19
soybean,0.9724596358425351,0.9267574927480208,105,19
soybean,0.9774684028414852,0.9347933165733182,105,19
soybean,0.9710327973502695,0.9198230820578929,105,19
soybean,0.9666316500034722,0.9322885432768167,105,19
soybean,0.971005983505846,0.9282233415787751,105,19
soybean,0.972940351546924,0.9417562898510788,105,19
soybean,0.9774684028414852,0.9245202118368641,105,19
soybean,0.9725544549073962,0.9225825571165369,105,19
soybean,0.9758841548315232,0.9322885432768167,105,19
soybean,0.9655213207844786,0.934218223691908,105,19
soybean,0.970505797627087,0.9339863361460865,105,19
soybean,0.9719412527865886,0.9294435930634455,105,19
soybean,0.97197026565334,0.9267574927480208,105,19
soybean,0.9719897351493124,0.9301091551623022,105,19
soybean,0.9749608312936661,0.9342816612014196,105,19
soybean,0.9774684028414852,0.9370631739052794,105,19
soybean,0.9763735250207185,0.9322594203748704,105,19
soybean,0.9729995137114505,0.9370631739052794,105,19
soybean,0.9724596358425351,0.9364911094425883,105,19
soybean,0.9650122168050914,0.9242527194515192,105,19
soybean,0.97197026565334,0.9290273500799815,105,19
thyroid,0.4883490452018371,0.49737756906751235,46,3
thyroid,0.4883490452018371,0.49737756906751235,46,3
thyroid,0.4883490452018371,0.49737756906751235,46,3
thyroid,0.4883490452018371,0.49737756906751235,46,3
thyroid,0.4883490452018371,0.49737756906751235,46,3
thyroid,0.4883490452018371,0.49737756906751235,46,3
thyroid,0.4883490452018371,0.49737756906751235,46,3
thyroid,0.4883490452018371,0.49737756906751235,46,3
thyroid,0.4883490452018371,0.49737756906751235,46,3
thyroid,0.4883490452018371,0.49737756906751235,46,3
thyroid,0.4883490452018371,0.49737756906751235,46,3
thyroid,0.4883490452018371,0.49737756906751235,46,3
thyroid,0.4883490452018371,0.49737756906751235,46,3
thyroid,0.4883490452018371,0.49737756906751235,46,3
thyroid,0.4883490452018371,0.49737756906751235,46,3
thyroid,0.4883490452018371,0.49737756906751235,46,3
thyroid,0.4883490452018371,0.49737756906751235,46,3
thyroid,0.4883490452018371,0.49737756906751235,46,3
thyroid,0.4883490452018371,0.49737756906751235,46,3
thyroid,0.4883490452018371,0.49737756906751235,46,3
thyroid,0.4883490452018371,0.49737756906751235,46,3
thyroid,0.4883490452018371,0.49737756906751235,46,3
thyroid,0.4883490452018371,0.49737756906751235,46,3
thyroid,0.4883490452018371,0.49737756906751235,46,3
thyroid,0.4883490452018371,0.49737756906751235,46,3
thyroid,0.4883490452018371,0.49737756906751235,46,3
thyroid,0.4883490452018371,0.49737756906751235,46,3
thyroid,0.4883490452018371,0.49737756906751235,46,3
thyroid,0.4883490452018371,0.49737756906751235,46,3
thyroid,0.4883490452018371,0.49737756906751235,46,3
