dataset,ftrain,ftest,nin,nout
cancer,0.9494748998520337,0.975117975117975,34,2
cancer,0.959483165477876,0.9814016460612107,34,2
cancer,0.9561262132445113,0.975117975117975,34,2
cancer,0.9532498063206263,0.9938409259849208,34,2
cancer,0.9433779119930975,0.9814016460612107,34,2
cancer,0.9530793361396359,0.9938409259849208,34,2
cancer,0.9559605982168536,0.9814016460612107,34,2
cancer,0.9466248037676609,0.9814016460612107,34,2
cancer,0.9561262132445113,0.9814016460612107,34,2
cancer,0.9625321153297174,0.975117975117975,34,2
cancer,0.9562874678846702,0.9814016460612107,34,2
cancer,0.9562874678846702,0.975117975117975,34,2
cancer,0.9561262132445113,0.975117975117975,34,2
cancer,0.959483165477876,0.9687892376681615,34,2
cancer,0.9494748998520337,0.975117975117975,34,2
cancer,0.9529042386185244,0.975284090909091,34,2
cancer,0.9530793361396359,0.9814016460612107,34,2
cancer,0.9530793361396359,0.9814016460612107,34,2
cancer,0.959483165477876,0.9876420454545455,34,2
cancer,0.9562874678846702,0.9687892376681615,34,2
cancer,0.9562874678846702,0.9814016460612107,34,2
cancer,0.9498585294222985,0.9877205363443896,34,2
cancer,0.9530793361396359,0.9814016460612107,34,2
cancer,0.9470164471633764,0.975117975117975,34,2
cancer,0.9561262132445113,0.9687892376681615,34,2
cancer,0.9593354246543511,0.9687892376681615,34,2
cancer,0.9527244239133371,0.962413594470046,34,2
cancer,0.9496692551049756,0.9876420454545455,34,2
cancer,0.9527244239133371,0.9814016460612107,34,2
cancer,0.9562874678846702,0.975117975117975,34,2
card,0.8663421371782778,0.8546462495352061,74,2
card,0.846247635064116,0.8604651162790697,74,2
card,0.8663421371782778,0.8604651162790697,74,2
card,0.8519948519948519,0.8604462474645029,74,2
card,0.8605309257512465,0.8720757268424612,74,2
card,0.8691253951527924,0.8662383770076078,74,2
card,0.8489085028971837,0.8603896103896104,74,2
card,0.8519948519948519,0.8604651162790697,74,2
card,0.85758333965173,0.8604462474645029,74,2
card,0.8491219807575859,0.8604462474645029,74,2
card,0.8633087460484721,0.8720757268424612,74,2
card,0.8633962645639043,0.8661659731384688,74,2
card,0.854866392946086,0.8662383770076078,74,2
card,0.854866392946086,0.8604462474645029,74,2
card,0.8576648788825367,0.8604462474645029,74,2
card,0.854866392946086,0.8546069315300084,74,2
card,0.866261039573923,0.8487554112554112,74,2
card,0.8404939433932129,0.8604651162790697,74,2
card,0.8461234210504169,0.8662383770076078,74,2
card,0.8491219807575859,0.8546462495352061,74,2
card,0.8433189800174931,0.8604651162790697,74,2
card,0.8461907285436697,0.8546462495352061,74,2
card,0.8633962645639043,0.8662383770076078,74,2
card,0.8604463021640936,0.8545282316722487,74,2
card,0.8574920969441517,0.8546069315300084,74,2
card,0.8434137977407208,0.8546462495352061,74,2
card,0.8491219807575859,0.8546462495352061,74,2
card,0.8461234210504169,0.8429754860524091,74,2
card,0.880674197113235,0.8662745495723896,74,2
card,0.8375706214689266,0.8604651162790697,74,2
gene,0.8771664915456441,0.8713257156538671,145,3
gene,0.8771664915456441,0.8713257156538671,145,3
gene,0.8771664915456441,0.8713257156538671,145,3
gene,0.8771664915456441,0.8713257156538671,145,3
gene,0.8771664915456441,0.8713257156538671,145,3
gene,0.8771664915456441,0.8713257156538671,145,3
gene,0.8771664915456441,0.8713257156538671,145,3
gene,0.8771664915456441,0.8713257156538671,145,3
gene,0.8771664915456441,0.8713257156538671,145,3
gene,0.8771664915456441,0.8713257156538671,145,3
gene,0.8771664915456441,0.8713257156538671,145,3
gene,0.8771664915456441,0.8713257156538671,145,3
gene,0.8771664915456441,0.8713257156538671,145,3
gene,0.8771664915456441,0.8713257156538671,145,3
gene,0.8771664915456441,0.8713257156538671,145,3
gene,0.8771664915456441,0.8713257156538671,145,3
gene,0.8771664915456441,0.8713257156538671,145,3
gene,0.8771664915456441,0.8713257156538671,145,3
gene,0.8771664915456441,0.8713257156538671,145,3
gene,0.8771664915456441,0.8713257156538671,145,3
gene,0.8771664915456441,0.8713257156538671,145,3
gene,0.8771664915456441,0.8713257156538671,145,3
gene,0.8771664915456441,0.8713257156538671,145,3
gene,0.8771664915456441,0.8713257156538671,145,3
gene,0.8771664915456441,0.8713257156538671,145,3
gene,0.8771664915456441,0.8713257156538671,145,3
gene,0.8771664915456441,0.8713257156538671,145,3
gene,0.8771664915456441,0.8713257156538671,145,3
gene,0.8771664915456441,0.8713257156538671,145,3
gene,0.8771664915456441,0.8713257156538671,145,3
glass,0.6036242340590167,0.5748243727598565,34,6
glass,0.6106315170642657,0.5227001194743129,34,6
glass,0.5363984728573518,0.4744335440174751,34,6
glass,0.5245038375473158,0.296218487394958,34,6
glass,0.6157839262187088,0.49732553891121667,34,6
glass,0.45599846776317365,0.5509627727856226,34,6
glass,0.5622076023391812,0.34071103188750246,34,6
glass,0.5457750547264614,0.28228120516499283,34,6
glass,0.49238095238095236,0.2723731884057971,34,6
glass,0.3436016144349478,0.22367784482978129,34,6
glass,0.4614332418924505,0.31936627058578276,34,6
glass,0.4642080142080142,0.3236685641998735,34,6
glass,0.585076473234368,0.6607086343309254,34,6
glass,0.5896911059954538,0.3741132816763069,34,6
glass,0.6196636696636696,0.49652777777777773,34,6
glass,0.2945544786252751,0.23619846261355693,34,6
glass,0.41769184746532506,0.2783730158730158,34,6
glass,0.4079076367389061,0.44103301732592354,34,6
glass,0.5956081081081082,0.4525433361750497,34,6
glass,0.6207450663090491,0.4328682170542636,34,6
glass,0.536962375462045,0.44385026737967914,34,6
glass,0.535358101813798,0.5416189931350114,34,6
glass,0.5477194492254732,0.45266961441544235,34,6
glass,0.556798245614035,0.48930215564486657,34,6
glass,0.5114163081161509,0.628743961352657,34,6
glass,0.6092995169082126,0.5354921766686472,34,6
glass,0.47820717434260523,0.399568905576415,34,6
glass,0.6376980149449244,0.6667803353225348,34,6
glass,0.542330623306233,0.4604366569322765,34,6
glass,0.5570796384948132,0.47100594623814435,34,6
heart,0.8326439950980392,0.7676280523837664,57,2
heart,0.838270778448305,0.7730722525804493,57,2
heart,0.8485506381963497,0.7907347031617257,57,2
heart,0.84731502460566,0.7763968051240016,57,2
heart,0.85480631276901,0.7945296610974891,57,2
heart,0.8474910988424891,0.7730722525804493,57,2
heart,0.8479819532451112,0.7902894916799635,57,2
heart,0.8554431224285556,0.7676280523837664,57,2
heart,0.8412911387552472,0.7730722525804493,57,2
heart,0.844160801622331,0.7732959284252028,57,2
heart,0.8567945936366989,0.7990274295266317,57,2
heart,0.8357760651945221,0.8032730797741916,57,2
heart,0.8575641080607281,0.7864681028439341,57,2
heart,0.8471326536018224,0.7984761904761905,57,2
heart,0.8444161795740261,0.764344262295082,57,2
heart,0.8607527424214032,0.7721904761904762,57,2
heart,0.8520765439090765,0.7818002428658166,57,2
heart,0.8546645220588236,0.780952380952381,57,2
heart,0.8469439421338155,0.7718253968253967,57,2
heart,0.8506807202459377,0.7730722525804493,57,2
heart,0.8332570207570207,0.7511153298528714,57,2
heart,0.8575641080607281,0.7990274295266317,57,2
heart,0.8125374565504015,0.7504710786273054,57,2
heart,0.8531814652318275,0.7736391854038913,57,2
heart,0.8525351795941607,0.7550213024954351,57,2
heart,0.8466666666666667,0.7867590017218218,57,2
heart,0.8326439950980392,0.7546666666666666,57,2
heart,0.846888314059647,0.7818002428658166,57,2
heart,0.845699718234268,0.7854926816269818,57,2
heart,0.8368825592762262,0.7893772893772895,57,2
horse,0.5144073823861528,0.5036666666666666,83,3
horse,0.5120181405895692,0.6246422764227643,83,3
horse,0.5120181405895692,0.6246422764227643,83,3
horse,0.5442141508975259,0.6068617886178862,83,3
horse,0.5120181405895692,0.6246422764227643,83,3
horse,0.5163311196857145,0.5913621262458472,83,3
horse,0.5265075299154818,0.5232793046746536,83,3
horse,0.5120181405895692,0.6246422764227643,83,3
horse,0.5120181405895692,0.6246422764227643,83,3
horse,0.5825396825396826,0.6208019006186266,83,3
horse,0.5344273941460642,0.5441441441441442,83,3
horse,0.5120181405895692,0.6246422764227643,83,3
horse,0.4824842267073343,0.5605756132071922,83,3
horse,0.5120181405895692,0.6246422764227643,83,3
horse,0.542263130339011,0.5783460503969512,83,3
horse,0.5120181405895692,0.6246422764227643,83,3
horse,0.5120181405895692,0.6246422764227643,83,3
horse,0.5120181405895692,0.6246422764227643,83,3
horse,0.5350057053202111,0.47967305717220127,83,3
horse,0.5247058823529412,0.5132832080200501,83,3
horse,0.5585251609347995,0.5788359788359788,83,3
horse,0.5120181405895692,0.6246422764227643,83,3
horse,0.5276505578669727,0.6393018745959922,83,3
horse,0.5120181405895692,0.6246422764227643,83,3
horse,0.5120181405895692,0.6246422764227643,83,3
horse,0.534327009936766,0.5783460503969512,83,3
horse,0.5797782502140727,0.5204199594443497,83,3
horse,0.5341638283932663,0.38847499327259444,83,3
horse,0.5120181405895692,0.6246422764227643,83,3
horse,0.5999116823571415,0.5521901126862959,83,3
mushroom,1.0,1.0,140,2
mushroom,1.0,1.0,140,2
mushroom,1.0,1.0,140,2
mushroom,1.0,1.0,140,2
mushroom,1.0,1.0,140,2
mushroom,1.0,1.0,140,2
mushroom,1.0,1.0,140,2
mushroom,0.9995069772071024,1.0,140,2
mushroom,1.0,1.0,140,2
mushroom,1.0,1.0,140,2
mushroom,1.0,1.0,140,2
mushroom,1.0,1.0,140,2
mushroom,1.0,1.0,140,2
mushroom,1.0,1.0,140,2
mushroom,1.0,1.0,140,2
mushroom,1.0,1.0,140,2
mushroom,1.0,1.0,140,2
mushroom,1.0,1.0,140,2
mushroom,1.0,1.0,140,2
mushroom,1.0,1.0,140,2
mushroom,1.0,1.0,140,2
mushroom,1.0,1.0,140,2
mushroom,1.0,1.0,140,2
mushroom,1.0,1.0,140,2
mushroom,1.0,1.0,140,2
mushroom,1.0,1.0,140,2
mushroom,1.0,1.0,140,2
mushroom,1.0,1.0,140,2
mushroom,1.0,1.0,140,2
mushroom,1.0,1.0,140,2
