dataset,ftrain,ftest,nin,nout
cancer,0.9398837451070792,0.9814016460612107,34,2
cancer,0.9564444444444444,0.9687892376681615,34,2
cancer,0.9561262132445113,0.975117975117975,34,2
cancer,0.9530793361396359,0.9876420454545455,34,2
cancer,0.9433779119930975,0.9814016460612107,34,2
cancer,0.9562874678846702,0.9814016460612107,34,2
cancer,0.9527244239133371,0.9687892376681615,34,2
cancer,0.9431592623335379,0.9690027434353511,34,2
cancer,0.9530793361396359,0.975117975117975,34,2
cancer,0.9625321153297174,0.975117975117975,34,2
cancer,0.9591836734693877,0.9814016460612107,34,2
cancer,0.9530793361396359,0.975117975117975,34,2
cancer,0.9593354246543511,0.9687892376681615,34,2
cancer,0.959483165477876,0.975117975117975,34,2
cancer,0.9559605982168536,0.975117975117975,34,2
cancer,0.9466248037676609,0.975117975117975,34,2
cancer,0.9561262132445113,0.9814016460612107,34,2
cancer,0.9530793361396359,0.9814016460612107,34,2
cancer,0.9626666666666667,0.9938409259849208,34,2
cancer,0.9530793361396359,0.9687892376681615,34,2
cancer,0.9562874678846702,0.9814016460612107,34,2
cancer,0.9468232476249208,0.9877205363443896,34,2
cancer,0.9494748998520337,0.9814016460612107,34,2
cancer,0.9500428204396232,0.9814016460612107,34,2
cancer,0.9561262132445113,0.9876420454545455,34,2
cancer,0.9593354246543511,0.975117975117975,34,2
cancer,0.9527244239133371,0.962413594470046,34,2
cancer,0.9532498063206263,0.9876420454545455,34,2
cancer,0.9559605982168536,0.9814016460612107,34,2
cancer,0.9562874678846702,0.975117975117975,34,2
card,0.8717905405405406,0.8662745495723896,74,2
card,0.8376143087681549,0.8662383770076078,74,2
card,0.8547979797979799,0.8662383770076078,74,2
card,0.8577367477635931,0.8604462474645029,74,2
card,0.85758333965173,0.8778698224852071,74,2
card,0.8717905405405406,0.8603896103896104,74,2
card,0.8460456853219274,0.8603896103896104,74,2
card,0.8376143087681549,0.8662383770076078,74,2
card,0.8517704147395557,0.8546462495352061,74,2
card,0.8376143087681549,0.8662383770076078,74,2
card,0.848989898989899,0.8604651162790697,74,2
card,0.8606060606060606,0.8662745495723896,74,2
card,0.8577367477635931,0.8779028496095731,74,2
card,0.8491219807575859,0.872093023255814,74,2
card,0.8404939433932129,0.8662745495723896,74,2
card,0.8376143087681549,0.8662383770076078,74,2
card,0.8606060606060606,0.8662383770076078,74,2
card,0.8547979797979799,0.8603896103896104,74,2
card,0.8461234210504169,0.8603896103896104,74,2
card,0.8376143087681549,0.8662383770076078,74,2
card,0.8749420442571127,0.8662383770076078,74,2
card,0.8634744756628413,0.8604462474645029,74,2
card,0.8633962645639043,0.8662383770076078,74,2
card,0.851855282102232,0.8662383770076078,74,2
card,0.8631056404021984,0.8604651162790697,74,2
card,0.8434137977407208,0.8546462495352061,74,2
card,0.846247635064116,0.8604462474645029,74,2
card,0.848989898989899,0.8371212121212122,74,2
card,0.8749420442571127,0.8662745495723896,74,2
card,0.840316757693829,0.872093023255814,74,2
gene,0.8149343948105559,0.8075476676370257,145,3
gene,0.8176574014452814,0.7805750120715707,145,3
gene,0.8246517382200628,0.8058289998893206,145,3
gene,0.8172719500367619,0.8160922308264781,145,3
gene,0.8000283909078231,0.7876349459079006,145,3
gene,0.810268158638309,0.7987981944598537,145,3
gene,0.8114960003747843,0.7992008907843243,145,3
gene,0.7978545192868407,0.8058889366894499,145,3
gene,0.8230436991869919,0.8062645821744975,145,3
gene,0.8168425842863803,0.8133012270062028,145,3
gene,0.8278001667162478,0.8095288430792572,145,3
gene,0.8214201158093698,0.7992124361031693,145,3
gene,0.8118935586156891,0.7972264474168321,145,3
gene,0.8182166574795916,0.7938749572397722,145,3
gene,0.8206490971417969,0.798803084051094,145,3
gene,0.8176712954696796,0.7981500601511963,145,3
gene,0.8046994759884059,0.8087457790997696,145,3
gene,0.8148530043148687,0.7947917743497855,145,3
gene,0.8274381962688993,0.7934123000430141,145,3
gene,0.8164782738196713,0.8038485535628391,145,3
gene,0.8187026521199735,0.7939234385703634,145,3
gene,0.8055362628374013,0.8032389202969537,145,3
gene,0.81934134045166,0.8002498611580254,145,3
gene,0.8207486419648387,0.7937917816317989,145,3
gene,0.8345762556321809,0.8286544130580827,145,3
gene,0.8266867889694932,0.8250876886907023,145,3
gene,0.8189702138652146,0.8162678920777989,145,3
gene,0.8301565870872802,0.7907630418234262,145,3
gene,0.8197971140826908,0.7942870217387056,145,3
gene,0.8246141447895834,0.7927539826149063,145,3
glass,0.5611355311355312,0.5392857142857143,34,6
glass,0.602878602878603,0.4792592592592592,34,6
glass,0.5205029013539652,0.5719108512970406,34,6
glass,0.5432839262187089,0.5325454545454545,34,6
glass,0.5506198797388729,0.40441176470588236,34,6
glass,0.6064096769029389,0.5307927266311598,34,6
glass,0.5140799529688418,0.3799471561674316,34,6
glass,0.5180363362879096,0.3575460487225193,34,6
glass,0.47143665158371045,0.3797360150848523,34,6
glass,0.43843657838970246,0.36399844820897453,34,6
glass,0.5277777777777778,0.4340455840455841,34,6
glass,0.5758182616110664,0.46896981014628075,34,6
glass,0.5445692292582772,0.4424333836098542,34,6
glass,0.5472795412256062,0.35298989160881744,34,6
glass,0.5643897470296323,0.4705882352941176,34,6
glass,0.31545893719806767,0.2689605734767025,34,6
glass,0.48426382047071703,0.3384615384615384,34,6
glass,0.5191037426992483,0.323381938272824,34,6
glass,0.46574414617534465,0.37315510999721524,34,6
glass,0.4198961666352971,0.5812910655015918,34,6
glass,0.45745228478656846,0.42293397049341985,34,6
glass,0.541728852160286,0.5226892115080327,34,6
glass,0.5836307222585697,0.4549542834426555,34,6
glass,0.6252220861976959,0.43709150326797386,34,6
glass,0.5238386049511965,0.6526984126984127,34,6
glass,0.5494938341315153,0.47324780976220265,34,6
glass,0.5349742305636048,0.3898816809465524,34,6
glass,0.6721663843402975,0.5702495974235104,34,6
glass,0.5397672375933246,0.4249398749398749,34,6
glass,0.5542124139950227,0.4857550853878883,34,6
heart,0.8379047619047619,0.7690369275658879,57,2
heart,0.8515635911785813,0.780952380952381,57,2
heart,0.8542038840546303,0.7997577409342116,57,2
heart,0.8694432819091875,0.7802155798486354,57,2
heart,0.8592061214729794,0.780952380952381,57,2
heart,0.8421624506757659,0.786046511627907,57,2
heart,0.8350852537536031,0.7857862424207865,57,2
heart,0.8407692307692307,0.758859299643531,57,2
heart,0.8353811284742931,0.7815515538332953,57,2
heart,0.8476609183541236,0.7682994050673813,57,2
heart,0.8656072340282867,0.80300348312682,57,2
heart,0.8482784334533148,0.7942480823769009,57,2
heart,0.8386500031232131,0.7682994050673813,57,2
heart,0.8557335918344072,0.7685809207403891,57,2
heart,0.841897233201581,0.7945296610974891,57,2
heart,0.85451687719231,0.7854926816269818,57,2
heart,0.855072463768116,0.7857862424207865,57,2
heart,0.8461509058940448,0.7773137161841481,57,2
heart,0.8317256781994262,0.7797947303921569,57,2
heart,0.8638559508124726,0.7862737289260586,57,2
heart,0.8396301655754068,0.7595559863906788,57,2
heart,0.8461509058940448,0.7640756781399589,57,2
heart,0.8504065040650406,0.7949972501943828,57,2
heart,0.8593379711031266,0.786046511627907,57,2
heart,0.841897233201581,0.7730722525804493,57,2
heart,0.8391693128535234,0.7595559863906788,57,2
heart,0.8376449938949939,0.790909090909091,57,2
heart,0.8530638709708178,0.8037207714627069,57,2
heart,0.8430705509828511,0.7806013431013431,57,2
heart,0.8530638709708178,0.7728136159866271,57,2
horse,0.5239491298527442,0.5214408570445722,83,3
horse,0.5339309335783035,0.5335561125034809,83,3
horse,0.5339309335783035,0.5335561125034809,83,3
horse,0.5269320843091335,0.4868710237131289,83,3
horse,0.5339309335783035,0.5335561125034809,83,3
horse,0.5971879286694101,0.5648504273504273,83,3
horse,0.4739814625037007,0.5795860883243252,83,3
horse,0.5385964912280702,0.5322259136212625,83,3
horse,0.5231679480106691,0.4899459713413202,83,3
horse,0.5339309335783035,0.5335561125034809,83,3
horse,0.4224020452157335,0.5013888888888889,83,3
horse,0.5339309335783035,0.5335561125034809,83,3
horse,0.4936872777510228,0.5061607507139944,83,3
horse,0.5633341944372686,0.5590078267243622,83,3
horse,0.5339309335783035,0.5335561125034809,83,3
horse,0.6083351375295204,0.5658119658119658,83,3
horse,0.5339309335783035,0.5335561125034809,83,3
horse,0.5339309335783035,0.5335561125034809,83,3
horse,0.5471879286694101,0.4889719453672942,83,3
horse,0.5388206564677153,0.4011731188201777,83,3
horse,0.5856078203639179,0.5634142223450139,83,3
horse,0.5339309335783035,0.5335561125034809,83,3
horse,0.5339309335783035,0.5335561125034809,83,3
horse,0.5339309335783035,0.5335561125034809,83,3
horse,0.5339309335783035,0.5335561125034809,83,3
horse,0.5339309335783035,0.5335561125034809,83,3
horse,0.5464680857634786,0.5123963755542703,83,3
horse,0.5148455255153536,0.343984962406015,83,3
horse,0.5339309335783035,0.5335561125034809,83,3
horse,0.5247596715755026,0.2958863678288139,83,3
mushroom,1.0,1.0,140,2
mushroom,1.0,1.0,140,2
mushroom,1.0,1.0,140,2
mushroom,1.0,1.0,140,2
mushroom,1.0,1.0,140,2
mushroom,1.0,1.0,140,2
mushroom,1.0,1.0,140,2
mushroom,0.9995069772071024,1.0,140,2
mushroom,1.0,1.0,140,2
mushroom,1.0,1.0,140,2
mushroom,1.0,1.0,140,2
mushroom,1.0,1.0,140,2
mushroom,1.0,1.0,140,2
mushroom,1.0,1.0,140,2
mushroom,1.0,1.0,140,2
mushroom,1.0,1.0,140,2
mushroom,1.0,1.0,140,2
mushroom,1.0,1.0,140,2
mushroom,1.0,1.0,140,2
mushroom,1.0,1.0,140,2
mushroom,1.0,1.0,140,2
mushroom,1.0,1.0,140,2
mushroom,1.0,1.0,140,2
mushroom,1.0,1.0,140,2
mushroom,1.0,1.0,140,2
mushroom,1.0,1.0,140,2
mushroom,1.0,1.0,140,2
mushroom,1.0,1.0,140,2
mushroom,1.0,1.0,140,2
mushroom,1.0,1.0,140,2
soybean,0.05418872625350358,0.05325814536340852,105,19
soybean,0.05418872625350358,0.05325814536340852,105,19
soybean,0.05418872625350358,0.05325814536340852,105,19
soybean,0.05418872625350358,0.05325814536340852,105,19
soybean,0.05418872625350358,0.05325814536340852,105,19
soybean,0.05418872625350358,0.05325814536340852,105,19
soybean,0.05418872625350358,0.05325814536340852,105,19
soybean,0.05418872625350358,0.05325814536340852,105,19
soybean,0.05418872625350358,0.05325814536340852,105,19
soybean,0.05418872625350358,0.05325814536340852,105,19
soybean,0.05418872625350358,0.05325814536340852,105,19
soybean,0.05418872625350358,0.05325814536340852,105,19
soybean,0.05418872625350358,0.05325814536340852,105,19
soybean,0.05418872625350358,0.05325814536340852,105,19
soybean,0.05418872625350358,0.05325814536340852,105,19
soybean,0.05418872625350358,0.05325814536340852,105,19
soybean,0.05418872625350358,0.05325814536340852,105,19
soybean,0.05418872625350358,0.05325814536340852,105,19
soybean,0.05418872625350358,0.05325814536340852,105,19
soybean,0.05418872625350358,0.05325814536340852,105,19
soybean,0.05418872625350358,0.05325814536340852,105,19
soybean,0.05418872625350358,0.05325814536340852,105,19
soybean,0.05418872625350358,0.05325814536340852,105,19
soybean,0.05418872625350358,0.05325814536340852,105,19
soybean,0.05418872625350358,0.05325814536340852,105,19
soybean,0.05418872625350358,0.05325814536340852,105,19
soybean,0.05418872625350358,0.05325814536340852,105,19
soybean,0.05418872625350358,0.05325814536340852,105,19
soybean,0.05418872625350358,0.05325814536340852,105,19
soybean,0.05418872625350358,0.05325814536340852,105,19
thyroid,0.4883490452018371,0.49737756906751235,46,3
thyroid,0.4883490452018371,0.49737756906751235,46,3
thyroid,0.4923957064113722,0.49737756906751235,46,3
thyroid,0.4883490452018371,0.49737756906751235,46,3
thyroid,0.4883490452018371,0.49737756906751235,46,3
thyroid,0.4883490452018371,0.49737756906751235,46,3
thyroid,0.4883490452018371,0.49737756906751235,46,3
thyroid,0.4923957064113722,0.5059403071573457,46,3
thyroid,0.4883490452018371,0.49737756906751235,46,3
thyroid,0.4883490452018371,0.49737756906751235,46,3
thyroid,0.4923957064113722,0.49737756906751235,46,3
thyroid,0.4883490452018371,0.49737756906751235,46,3
thyroid,0.4883490452018371,0.49737756906751235,46,3
thyroid,0.4883490452018371,0.49737756906751235,46,3
thyroid,0.4883490452018371,0.49737756906751235,46,3
thyroid,0.4923957064113722,0.49737756906751235,46,3
thyroid,0.4923957064113722,0.49737756906751235,46,3
thyroid,0.4923957064113722,0.49737756906751235,46,3
thyroid,0.4883490452018371,0.49737756906751235,46,3
thyroid,0.4883490452018371,0.5059403071573457,46,3
thyroid,0.4883490452018371,0.49737756906751235,46,3
thyroid,0.4883490452018371,0.49737756906751235,46,3
thyroid,0.4923957064113722,0.49737756906751235,46,3
thyroid,0.4923957064113722,0.49737756906751235,46,3
thyroid,0.4883490452018371,0.49737756906751235,46,3
thyroid,0.4883490452018371,0.49737756906751235,46,3
thyroid,0.49495401873372913,0.49737756906751235,46,3
thyroid,0.4923957064113722,0.49737756906751235,46,3
thyroid,0.49099116732948156,0.49737756906751235,46,3
thyroid,0.4923957064113722,0.49737756906751235,46,3
