lambda,run,dataset,nin,nout,ftrain,ftest,atrain,atest
0.1,1,cancer,34,2,0.9559605982168536,0.975117975117975,0.96,0.9770114942528736
0.1,2,cancer,34,2,0.959483165477876,0.9814016460612107,0.9628571428571429,0.9827586206896551
0.1,3,cancer,34,2,0.9655915131690663,0.9814016460612107,0.9685714285714285,0.9827586206896551
0.1,4,cancer,34,2,0.9530793361396359,0.9876420454545455,0.9571428571428572,0.9885057471264368
0.1,5,cancer,34,2,0.9496692551049756,0.9814016460612107,0.9542857142857143,0.9827586206896551
0.1,6,cancer,34,2,0.9625321153297174,0.975117975117975,0.9657142857142857,0.9770114942528736
0.1,7,cancer,34,2,0.9529042386185244,0.9814016460612107,0.9571428571428572,0.9827586206896551
0.1,8,cancer,34,2,0.9530793361396359,0.9814016460612107,0.9571428571428572,0.9827586206896551
0.1,9,cancer,34,2,0.9530793361396359,0.975117975117975,0.9571428571428572,0.9770114942528736
0.1,10,cancer,34,2,0.9529042386185244,0.9814016460612107,0.9571428571428572,0.9827586206896551
0.1,11,cancer,34,2,0.962393897066724,0.9814016460612107,0.9657142857142857,0.9827586206896551
0.1,12,cancer,34,2,0.962393897066724,0.975117975117975,0.9657142857142857,0.9770114942528736
0.1,13,cancer,34,2,0.9559605982168536,0.9814016460612107,0.96,0.9827586206896551
0.1,14,cancer,34,2,0.959483165477876,0.9814016460612107,0.9628571428571429,0.9827586206896551
0.1,15,cancer,34,2,0.9529042386185244,0.975117975117975,0.9571428571428572,0.9770114942528736
0.1,16,cancer,34,2,0.9498585294222985,0.9687892376681615,0.9542857142857143,0.9712643678160919
0.1,17,cancer,34,2,0.9591836734693877,0.9814016460612107,0.9628571428571429,0.9827586206896551
0.1,18,cancer,34,2,0.9498585294222985,0.975117975117975,0.9542857142857143,0.9770114942528736
0.1,19,cancer,34,2,0.9593354246543511,0.9876420454545455,0.9628571428571429,0.9885057471264368
0.1,20,cancer,34,2,0.9625321153297174,0.975117975117975,0.9657142857142857,0.9770114942528736
0.1,21,cancer,34,2,0.959483165477876,0.9814016460612107,0.9628571428571429,0.9827586206896551
0.1,22,cancer,34,2,0.9530793361396359,0.9876420454545455,0.9571428571428572,0.9885057471264368
0.1,23,cancer,34,2,0.9530793361396359,0.9814016460612107,0.9571428571428572,0.9827586206896551
0.1,24,cancer,34,2,0.9500428204396232,0.9814016460612107,0.9542857142857143,0.9827586206896551
0.1,25,cancer,34,2,0.9530793361396359,0.9814016460612107,0.9571428571428572,0.9827586206896551
0.1,26,cancer,34,2,0.9625321153297174,0.975117975117975,0.9657142857142857,0.9770114942528736
0.1,27,cancer,34,2,0.9529042386185244,0.9814016460612107,0.9571428571428572,0.9827586206896551
0.1,28,cancer,34,2,0.9527244239133371,0.9876420454545455,0.9571428571428572,0.9885057471264368
0.1,29,cancer,34,2,0.9593354246543511,0.975117975117975,0.9628571428571429,0.9770114942528736
0.1,30,cancer,34,2,0.9561262132445113,0.975117975117975,0.96,0.9770114942528736
0.1,1,card,74,2,0.8862069840410687,0.8719371869500474,0.8869565217391304,0.872093023255814
0.1,2,card,74,2,0.8776182432432433,0.8604651162790697,0.8782608695652174,0.8604651162790697
0.1,3,card,74,2,0.8921410404819643,0.8544100220077874,0.8927536231884058,0.8546511627906976
0.1,4,card,74,2,0.8892736486486487,0.8720238095238095,0.8898550724637682,0.872093023255814
0.1,5,card,74,2,0.8862069840410687,0.889441456070909,0.8869565217391304,0.8895348837209303
0.1,6,card,74,2,0.8716778251166566,0.8427628237684104,0.8724637681159421,0.8430232558139535
0.1,7,card,74,2,0.8863108264539625,0.8660572202471644,0.8869565217391304,0.8662790697674418
0.1,8,card,74,2,0.8835403726708074,0.8661659731384688,0.8840579710144928,0.8662790697674418
0.1,9,card,74,2,0.8746503983979586,0.8604462474645029,0.8753623188405797,0.8604651162790697
0.1,10,card,74,2,0.8834459459459459,0.8660572202471644,0.8840579710144928,0.8662790697674418
0.1,11,card,74,2,0.874756224197756,0.8602951130364154,0.8753623188405797,0.8604651162790697
0.1,12,card,74,2,0.8889585309662555,0.8719371869500474,0.8898550724637682,0.872093023255814
0.1,13,card,74,2,0.8979712545099663,0.8778037146046889,0.8985507246376812,0.877906976744186
0.1,14,card,74,2,0.8921410404819643,0.8778698224852071,0.8927536231884058,0.877906976744186
0.1,15,card,74,2,0.8777173913043479,0.9008914347693455,0.8782608695652174,0.9011627906976745
0.1,16,card,74,2,0.8834459459459459,0.8661659731384688,0.8840579710144928,0.8662790697674418
0.1,17,card,74,2,0.8979712545099663,0.8487554112554112,0.8985507246376812,0.8488372093023255
0.1,18,card,74,2,0.8805815160955348,0.8604462474645029,0.881159420289855,0.8604651162790697
0.1,19,card,74,2,0.8833434773787787,0.8714673913043478,0.8840579710144928,0.872093023255814
0.1,20,card,74,2,0.8864949679857602,0.8660572202471644,0.8869565217391304,0.8662790697674418
0.1,21,card,74,2,0.8919365079365079,0.8718157181571815,0.8927536231884058,0.872093023255814
0.1,22,card,74,2,0.8807586933614331,0.872093023255814,0.881159420289855,0.872093023255814
0.1,23,card,74,2,0.8919365079365079,0.8660572202471644,0.8927536231884058,0.8662790697674418
0.1,24,card,74,2,0.8950091296409008,0.85999185999186,0.8956521739130435,0.8604651162790697
0.1,25,card,74,2,0.8918229506529606,0.8661659731384688,0.8927536231884058,0.8662790697674418
0.1,26,card,74,2,0.8864949679857602,0.8661659731384688,0.8869565217391304,0.8662790697674418
0.1,27,card,74,2,0.8922320998910924,0.8719371869500474,0.8927536231884058,0.872093023255814
0.1,28,card,74,2,0.8831142431223743,0.8370109652091512,0.8840579710144928,0.8372093023255814
0.1,29,card,74,2,0.894909632437555,0.8719371869500474,0.8956521739130435,0.872093023255814
0.1,30,card,74,2,0.8981365097308105,0.8778698224852071,0.8985507246376812,0.877906976744186
0.1,1,gene,145,3,0.9035231877931805,0.846214895448307,0.9596977329974811,0.9445145018915511
0.1,2,gene,145,3,0.9061681082896177,0.8364546895030256,0.9622166246851386,0.9419924337957125
0.1,3,gene,145,3,0.9041988326391285,0.8447516965318823,0.9584382871536524,0.9419924337957125
0.1,4,gene,145,3,0.8963386067284308,0.8464424108336736,0.9559193954659949,0.9394703656998739
