atrain,atest,ftrain,ftest,nin,nout
1.0,1.0,1.0,1.0,140,2
1.0,1.0,1.0,1.0,140,2
1.0,1.0,1.0,1.0,140,2
1.0,1.0,1.0,1.0,140,2
1.0,1.0,1.0,1.0,140,2
1.0,1.0,1.0,1.0,140,2
1.0,1.0,1.0,1.0,140,2
1.0,1.0,1.0,1.0,140,2
1.0,1.0,1.0,1.0,140,2
1.0,1.0,1.0,1.0,140,2
1.0,1.0,1.0,1.0,140,2
1.0,1.0,1.0,1.0,140,2
1.0,1.0,1.0,1.0,140,2
1.0,1.0,1.0,1.0,140,2
1.0,1.0,1.0,1.0,140,2
1.0,1.0,1.0,1.0,140,2
1.0,1.0,1.0,1.0,140,2
1.0,1.0,1.0,1.0,140,2
1.0,1.0,1.0,1.0,140,2
1.0,1.0,1.0,1.0,140,2
1.0,1.0,1.0,1.0,140,2
1.0,1.0,1.0,1.0,140,2
1.0,1.0,1.0,1.0,140,2
1.0,1.0,1.0,1.0,140,2
1.0,1.0,1.0,1.0,140,2
1.0,1.0,1.0,1.0,140,2
1.0,1.0,1.0,1.0,140,2
1.0,1.0,1.0,1.0,140,2
1.0,1.0,1.0,1.0,140,2
1.0,1.0,1.0,1.0,140,2
1.0,1.0,1.0,1.0,140,2
1.0,1.0,1.0,1.0,140,2
1.0,1.0,1.0,1.0,140,2
1.0,1.0,1.0,1.0,140,2
1.0,1.0,1.0,1.0,140,2
1.0,1.0,1.0,1.0,140,2
1.0,1.0,1.0,1.0,140,2
1.0,1.0,1.0,1.0,140,2
1.0,1.0,1.0,1.0,140,2
1.0,1.0,1.0,1.0,140,2
1.0,1.0,1.0,1.0,140,2
1.0,1.0,1.0,1.0,140,2
1.0,1.0,1.0,1.0,140,2
1.0,1.0,1.0,1.0,140,2
1.0,1.0,1.0,1.0,140,2
1.0,1.0,1.0,1.0,140,2
1.0,1.0,1.0,1.0,140,2
1.0,1.0,1.0,1.0,140,2
1.0,1.0,1.0,1.0,140,2
1.0,1.0,1.0,1.0,140,2
