run,dataset,nin,nout,m,ftrain,ftest
1,abalone,15,28,5,0.07215751175701285,0.0932912154518519
2,abalone,15,28,5,0.07639888677524694,0.10001544570341407
3,abalone,15,28,5,0.0814561610051323,0.10511055615943943
4,abalone,15,28,5,0.07272840044812547,0.08630372841330501
5,abalone,15,28,5,0.07168734605819482,0.08943698688101913
6,abalone,15,28,5,0.07398947673040832,0.08903320228701975
7,abalone,15,28,5,0.0774190825073237,0.09956230456823205
8,abalone,15,28,5,0.07587972039415652,0.08535801028769455
9,abalone,15,28,5,0.07026505623375767,0.08680250560824125
10,abalone,15,28,5,0.07663451829423941,0.09850958205539741
11,abalone,15,28,5,0.07652701023148528,0.08961588353085101
12,abalone,15,28,5,0.08737895754069198,0.12133878002718619
13,abalone,15,28,5,0.07069041876663976,0.09666266959393498
14,abalone,15,28,5,0.07662999857285407,0.09290151138151617
15,abalone,15,28,5,0.09238401623257825,0.11606876343305181
16,abalone,15,28,5,0.07749472505577072,0.10255724002399588
17,abalone,15,28,5,0.07688086435531716,0.08513770646847622
18,abalone,15,28,5,0.08278278578542715,0.11633546128321877
19,abalone,15,28,5,0.07008364137890902,0.09678642063711411
20,abalone,15,28,5,0.0754191308146252,0.09892373332988522
21,abalone,15,28,5,0.07718043382424125,0.09490733820297349
22,abalone,15,28,5,0.07672874442617962,0.09217802865384729
23,abalone,15,28,5,0.07533103141018642,0.09421447849599292
24,abalone,15,28,5,0.07543984765055889,0.0997157941786038
25,abalone,15,28,5,0.085095885567069,0.11240989189339005
26,abalone,15,28,5,0.07518269621306127,0.08899419203268108
27,abalone,15,28,5,0.07803495094888778,0.09809658229579184
28,abalone,15,28,5,0.07334953935026198,0.09442010745881743
29,abalone,15,28,5,0.08178351664533144,0.09649281624818477
30,abalone,15,28,5,0.07892155762185823,0.10142421180006522
31,abalone,15,28,5,0.08054959077279929,0.10302863941960208
32,abalone,15,28,5,0.06945567663916774,0.0885511579903018
33,abalone,15,28,5,0.0819914653944742,0.10494823527487993
34,abalone,15,28,5,0.06577517289152686,0.08243661646350228
35,abalone,15,28,5,0.07592822640796229,0.0997581055658932
36,abalone,15,28,5,0.07878207203713362,0.10006895339297991
37,abalone,15,28,5,0.07538035635798253,0.09539872191634313
38,abalone,15,28,5,0.08092198529758138,0.0939842278745898
39,abalone,15,28,5,0.08115705443992097,0.10748084698614191
40,abalone,15,28,5,0.08059689823544991,0.1007014399338532
41,abalone,15,28,5,0.07010953265124004,0.08211682488284107
42,abalone,15,28,5,0.08436642997204062,0.10136051588116746
43,abalone,15,28,5,0.07388901431439895,0.08853095459813695
44,abalone,15,28,5,0.08230445021960951,0.10297775170232966
45,abalone,15,28,5,0.0797517141788286,0.10298330003594747
46,abalone,15,28,5,0.07111443792302444,0.08518122406545003
47,abalone,15,28,5,0.08227383799206761,0.10110164965878383
48,abalone,15,28,5,0.07889897854379771,0.10263470529536656
49,abalone,15,28,5,0.07731096647926029,0.09971662058486286
50,abalone,15,28,5,0.0739289421987906,0.08065053009621685
1,abalone,20,28,10,0.09639131968700189,0.11263996111959043
2,abalone,20,28,10,0.08733364866045852,0.10956780276252798
3,abalone,20,28,10,0.0969380396051733,0.12613269209097314
4,abalone,20,28,10,0.08630018543904115,0.10830363755141612
5,abalone,20,28,10,0.08258820524236782,0.10331710233715193
6,abalone,20,28,10,0.07985854402719067,0.1030426655302327
7,abalone,20,28,10,0.07545190510625009,0.09759255109289114
8,abalone,20,28,10,0.08884706471500685,0.1028243707588425
9,abalone,20,28,10,0.07832807877581169,0.10036142381652842
10,abalone,20,28,10,0.08252577264565157,0.10389544629581067
11,abalone,20,28,10,0.07623041609256787,0.09875635357192004
12,abalone,20,28,10,0.07909966617714294,0.09727732194899227
13,abalone,20,28,10,0.08541923734354807,0.10612459509252581
14,abalone,20,28,10,0.08919517035927471,0.10519784592104338
15,abalone,20,28,10,0.08904985984467617,0.10502761148252762
16,abalone,20,28,10,0.08675968709141814,0.10766991563430786
17,abalone,20,28,10,0.09154793405744119,0.1307069854523651
18,abalone,20,28,10,0.10183124089241664,0.12488319227317835
19,abalone,20,28,10,0.08646894098052813,0.1102569151582586
20,abalone,20,28,10,0.08231499017414794,0.10613123625324576
21,abalone,20,28,10,0.09048511493874811,0.10204444376992242
22,abalone,20,28,10,0.08735148982111554,0.10512735911733288
23,abalone,20,28,10,0.07454265906383242,0.09687258329660514
24,abalone,20,28,10,0.094964376828185,0.12644656559487916
25,abalone,20,28,10,0.08509664149816706,0.10763373884131174
26,abalone,20,28,10,0.08798411638171345,0.11532046224230288
27,abalone,20,28,10,0.0791433642106834,0.09722982778521061
28,abalone,20,28,10,0.08460597504952044,0.10711935820281374
29,abalone,20,28,10,0.080823307314315,0.10362251524589357
30,abalone,20,28,10,0.08665065264774875,0.11485229784488712
31,abalone,20,28,10,0.09404520536110429,0.1146542172285832
32,abalone,20,28,10,0.08669465676777889,0.1061933102017659
33,abalone,20,28,10,0.08857088455134356,0.11626070493687826
34,abalone,20,28,10,0.0897930789780946,0.10860986097729726
35,abalone,20,28,10,0.08821807773672734,0.10525953802842411
36,abalone,20,28,10,0.09167510400443726,0.12115709746670071
37,abalone,20,28,10,0.08706939086844959,0.10472543117263611
38,abalone,20,28,10,0.0812255875164792,0.10299938852318605
39,abalone,20,28,10,0.090700054338301,0.1122500154537697
40,abalone,20,28,10,0.09553977176237922,0.11731738792474107
41,abalone,20,28,10,0.07695996292822356,0.0939206310260545
42,abalone,20,28,10,0.08350215802914882,0.10062174607579492
43,abalone,20,28,10,0.0878194669171892,0.11979692941592497
44,abalone,20,28,10,0.09101511326446564,0.10430930592080326
45,abalone,20,28,10,0.07755875781162141,0.10117006783908275
46,abalone,20,28,10,0.08791057495375733,0.10905306790044782
47,abalone,20,28,10,0.08684082533957166,0.11511678809840528
48,abalone,20,28,10,0.08698450089594471,0.1151118525949987
49,abalone,20,28,10,0.08396729355660926,0.10784854448528855
50,abalone,20,28,10,0.08548609652981719,0.10514625562553985
1,abalone,25,28,15,0.09181096727525791,0.13013760085270915
2,abalone,25,28,15,0.08603369640640578,0.09821075669426552
