run,dataset,nin,nout,m,ftrain,ftest
1,adult,112,2,5,0.7534701813792669,0.7526938327262221
2,adult,112,2,5,0.7539887445250069,0.7537107003728152
3,adult,112,2,5,0.7544775609937566,0.7540986899496487
4,adult,112,2,5,0.754872514765653,0.7534862447998691
5,adult,112,2,5,0.7533866250715394,0.753131148235276
6,adult,112,2,5,0.7529944720372724,0.7518153797788601
7,adult,112,2,5,0.7495843390702137,0.75201885098373
8,adult,112,2,5,0.7515980355188898,0.75282936220005
9,adult,112,2,5,0.7527204292403835,0.7539140414096164
10,adult,112,2,5,0.752445004753949,0.7528151598803772
11,adult,112,2,5,0.7549049404331116,0.7534608803434122
12,adult,112,2,5,0.7522825727176496,0.753538647068972
13,adult,112,2,5,0.7536938265159313,0.7529661007936119
14,adult,112,2,5,0.7553426898362576,0.7543915841538741
15,adult,112,2,5,0.7534987920840206,0.7516800371881402
16,adult,112,2,5,0.7535367500953443,0.7527840987161141
17,adult,112,2,5,0.7521157311274208,0.7513419052206256
18,adult,112,2,5,0.7538621918366037,0.7529342941191199
19,adult,112,2,5,0.7524016844421078,0.7547321357945255
20,adult,112,2,5,0.7535937594173748,0.753158165717164
21,adult,112,2,5,0.7532459241677788,0.75297118560313
22,adult,112,2,5,0.7528574499848515,0.7498898274418428
23,adult,112,2,5,0.7540514227008351,0.7546143502065124
24,adult,112,2,5,0.7539794656570858,0.7533568668121806
25,adult,112,2,5,0.7539130401230032,0.7544568488010917
26,adult,112,2,5,0.7527649039482771,0.7529547460395453
27,adult,112,2,5,0.7528938102838802,0.7540138884208127
28,adult,112,2,5,0.7540870720540374,0.751061162145053
29,adult,112,2,5,0.7530724444341983,0.7528151598803772
30,adult,112,2,5,0.7522998130852929,0.7522217161676867
31,adult,112,2,5,0.7531513083841693,0.7511583458573383
32,adult,112,2,5,0.75358279203395,0.7516897575837664
33,adult,112,2,5,0.7535430877620037,0.7525482539536811
34,adult,112,2,5,0.7518205903554249,0.7504683631430655
35,adult,112,2,5,0.7533301145401604,0.7530078214860824
36,adult,112,2,5,0.752361480815275,0.7518542710007177
37,adult,112,2,5,0.7518081853566723,0.7503948285038056
