run,dataset,nin,nout,m,ftrain,ftest
1,cancer,14,2,5,0.9529042386185244,0.975117975117975
2,cancer,14,2,5,0.9498585294222985,0.9814016460612107
3,cancer,14,2,5,0.9494748998520337,0.9814016460612107
4,cancer,14,2,5,0.9464210137684488,0.9814016460612107
5,cancer,14,2,5,0.9462117719379131,0.975117975117975
6,cancer,14,2,5,0.9496692551049756,0.975117975117975
7,cancer,14,2,5,0.9564444444444444,0.9814016460612107
8,cancer,14,2,5,0.9492753623188406,0.9687892376681615
9,cancer,14,2,5,0.9562874678846702,0.9814016460612107
10,cancer,14,2,5,0.9498585294222985,0.9876420454545455
11,cancer,14,2,5,0.9464210137684488,0.975117975117975
12,cancer,14,2,5,0.9462117719379131,0.9687892376681615
13,cancer,14,2,5,0.9429347826086957,0.975117975117975
14,cancer,14,2,5,0.9464210137684488,0.9814016460612107
15,cancer,14,2,5,0.9498585294222985,0.9687892376681615
16,cancer,14,2,5,0.9527244239133371,0.962413594470046
17,cancer,14,2,5,0.9529042386185244,0.9687892376681615
18,cancer,14,2,5,0.9530793361396359,0.9687892376681615
19,cancer,14,2,5,0.9494748998520337,0.9559891598915989
20,cancer,14,2,5,0.959483165477876,0.9876420454545455
21,cancer,14,2,5,0.9530793361396359,0.975117975117975
22,cancer,14,2,5,0.9494748998520337,0.9687892376681615
23,cancer,14,2,5,0.9496692551049756,0.962413594470046
24,cancer,14,2,5,0.9462117719379131,0.962413594470046
25,cancer,14,2,5,0.9529042386185244,0.975117975117975
26,cancer,14,2,5,0.9494748998520337,0.975117975117975
27,cancer,14,2,5,0.959483165477876,0.9938409259849208
28,cancer,14,2,5,0.9365942028985508,0.962413594470046
29,cancer,14,2,5,0.9527244239133371,0.975117975117975
30,cancer,14,2,5,0.9561262132445113,0.9687892376681615
31,cancer,14,2,5,0.9464210137684488,0.975117975117975
32,cancer,14,2,5,0.9496692551049756,0.9814016460612107
33,cancer,14,2,5,0.9593354246543511,0.9814016460612107
34,cancer,14,2,5,0.9496692551049756,0.975284090909091
35,cancer,14,2,5,0.9525397987687467,0.9559891598915989
36,cancer,14,2,5,0.9527244239133371,0.9687892376681615
37,cancer,14,2,5,0.9494748998520337,0.975117975117975
38,cancer,14,2,5,0.9429347826086957,0.9687892376681615
39,cancer,14,2,5,0.9498585294222985,0.975117975117975
40,cancer,14,2,5,0.9492753623188406,0.962413594470046
41,cancer,14,2,5,0.9529042386185244,0.975117975117975
42,cancer,14,2,5,0.9561262132445113,0.975117975117975
43,cancer,14,2,5,0.9559605982168536,0.9814016460612107
44,cancer,14,2,5,0.9562874678846702,0.9814016460612107
45,cancer,14,2,5,0.9559605982168536,0.962413594470046
46,cancer,14,2,5,0.9561262132445113,0.9814016460612107
47,cancer,14,2,5,0.9466248037676609,0.975117975117975
48,cancer,14,2,5,0.9530793361396359,0.9876420454545455
49,cancer,14,2,5,0.962393897066724,0.9814016460612107
50,cancer,14,2,5,0.9498585294222985,0.9814016460612107
1,cancer,19,2,10,0.9591836734693877,0.975117975117975
2,cancer,19,2,10,0.9492753623188406,0.9687892376681615
3,cancer,19,2,10,0.9625321153297174,0.9876420454545455
4,cancer,19,2,10,0.9494748998520337,0.9814016460612107
5,cancer,19,2,10,0.9527244239133371,0.975117975117975
6,cancer,19,2,10,0.9494748998520337,0.9687892376681615
7,cancer,19,2,10,0.9529042386185244,0.975117975117975
8,cancer,19,2,10,0.9562874678846702,0.9876420454545455
9,cancer,19,2,10,0.962393897066724,0.9814016460612107
