run,dataset,nin,nout,m,ftrain,ftest
1,card,54,2,5,0.8864949679857602,0.8546069315300084
2,card,54,2,5,0.8807586933614331,0.872093023255814
3,card,54,2,5,0.8778905143935818,0.8488372093023255
4,card,54,2,5,0.8892736486486487,0.8546462495352061
5,card,54,2,5,0.8691253951527924,0.8546069315300084
6,card,54,2,5,0.8778081360048573,0.8545282316722487
7,card,54,2,5,0.8837052518034113,0.8720238095238095
8,card,54,2,5,0.8836267961951022,0.8604651162790697
9,card,54,2,5,0.8748534262407099,0.8487554112554112
10,card,54,2,5,0.8837052518034113,0.8545282316722487
11,card,54,2,5,0.8808350393004272,0.8545282316722487
12,card,54,2,5,0.8865753424657534,0.8778037146046889
13,card,54,2,5,0.8837052518034113,0.8546069315300084
14,card,54,2,5,0.8807586933614331,0.872093023255814
15,card,54,2,5,0.8808350393004272,0.8837052062204191
16,card,54,2,5,0.8778905143935818,0.8602951130364154
17,card,54,2,5,0.8864068079933136,0.8719371869500474
18,card,54,2,5,0.8778905143935818,0.8488167680865449
19,card,54,2,5,0.8778081360048573,0.8546069315300084
20,card,54,2,5,0.8864949679857602,0.8837052062204191
21,card,54,2,5,0.8836267961951022,0.8604462474645029
22,card,54,2,5,0.8864949679857602,0.8603896103896104
23,card,54,2,5,0.8836267961951022,0.8429754860524091
24,card,54,2,5,0.8691253951527924,0.8661659731384688
25,card,54,2,5,0.8836267961951022,0.8662383770076078
26,card,54,2,5,0.8807586933614331,0.8604462474645029
27,card,54,2,5,0.8807586933614331,0.8487554112554112
28,card,54,2,5,0.8807586933614331,0.8603896103896104
29,card,54,2,5,0.8778081360048573,0.8604462474645029
30,card,54,2,5,0.8865753424657534,0.8546462495352061
31,card,54,2,5,0.8835403726708074,0.8779028496095731
32,card,54,2,5,0.8778081360048573,0.8372093023255814
33,card,54,2,5,0.8720757769837524,0.8603896103896104
34,card,54,2,5,0.8750221143882528,0.8604651162790697
35,card,54,2,5,0.880674197113235,0.8835792608636794
36,card,54,2,5,0.8749420442571127,0.8546462495352061
37,card,54,2,5,0.8720757769837524,0.8720757268424612
38,card,54,2,5,0.8808350393004272,0.8604462474645029
39,card,54,2,5,0.8691253951527924,0.8662383770076078
40,card,54,2,5,0.8894454563853471,0.8603896103896104
41,card,54,2,5,0.8661708156243675,0.8544100220077874
42,card,54,2,5,0.8749420442571127,0.8546069315300084
43,card,54,2,5,0.8836267961951022,0.8720757268424612
44,card,54,2,5,0.8807586933614331,0.8546069315300084
45,card,54,2,5,0.8690326553681849,0.8546462495352061
46,card,54,2,5,0.8865753424657534,0.8603896103896104
47,card,54,2,5,0.8808350393004272,0.8430179494980226
48,card,54,2,5,0.8778905143935818,0.8604462474645029
49,card,54,2,5,0.8778081360048573,0.8661659731384688
50,card,54,2,5,0.8837052518034113,0.8720757268424612
1,card,59,2,10,0.8923157388582853,0.872093023255814
2,card,59,2,10,0.880674197113235,0.8546069315300084
3,card,59,2,10,0.8775106512477175,0.8718157181571815
4,card,59,2,10,0.8894454563853471,0.8603896103896104
5,card,59,2,10,0.880674197113235,0.8778698224852071
6,card,59,2,10,0.8778081360048573,0.8429754860524091
7,card,59,2,10,0.8834459459459459,0.8720757268424612
8,card,59,2,10,0.8803714447611235,0.8544100220077874
9,card,59,2,10,0.8804806124259605,0.8604462474645029
10,card,59,2,10,0.8864949679857602,0.8428904902060286
11,card,59,2,10,0.8893633540372671,0.8429754860524091
12,card,59,2,10,0.8778081360048573,0.8546462495352061
13,card,59,2,10,0.8805815160955348,0.8601626016260162
14,card,59,2,10,0.8688201843699567,0.8835792608636794
15,card,59,2,10,0.8805815160955348,0.8662745495723896
16,card,59,2,10,0.8778081360048573,0.8662383770076078
17,card,59,2,10,0.8864949679857602,0.8604651162790697
18,card,59,2,10,0.8779645600323407,0.8545282316722487
19,card,59,2,10,0.8923157388582853,0.8430179494980226
20,card,59,2,10,0.8808350393004272,0.8546069315300084
21,card,59,2,10,0.880674197113235,0.8488167680865449
