run,dataset,nin,nout,m,ftrain,ftest
1,covtype,59,7,5,0.6295220610932403,0.4532394961462742
2,covtype,59,7,5,0.6366298104019046,0.4588506350840819
3,covtype,59,7,5,0.6313387209779417,0.45979071754274276
4,covtype,59,7,5,0.6354795943151608,0.46332807946706883
5,covtype,59,7,5,0.6417605975369823,0.46437495917484445
6,covtype,59,7,5,0.6349478487089643,0.45324049255360055
7,covtype,59,7,5,0.6388699879611038,0.4632341816347561
8,covtype,59,7,5,0.6336251285420058,0.45906417677371414
9,covtype,59,7,5,0.62941937865368,0.4592369297714218
10,covtype,59,7,5,0.6362370790948008,0.45440927334673803
11,covtype,59,7,5,0.6344044305793943,0.4721390314280766
12,covtype,59,7,5,0.6324544430133702,0.4628633437177931
13,covtype,59,7,5,0.6361801038909515,0.4635684930200545
14,covtype,59,7,5,0.6397004824611302,0.4546271963849469
15,covtype,59,7,5,0.6324463643658028,0.45981871972011107
16,covtype,59,7,5,0.6440882777141859,0.4629835711767997
17,covtype,59,7,5,0.6351160267501285,0.46585299960969506
18,covtype,59,7,5,0.6358633079027577,0.45401763359326813
19,covtype,59,7,5,0.6339472740038871,0.4575184062538393
20,covtype,59,7,5,0.6368223597620349,0.46085005232276866
21,covtype,59,7,5,0.6310121055919463,0.4635950329884489
22,covtype,59,7,5,0.6387954874417198,0.45602655442701157
23,covtype,59,7,5,0.634080222575857,0.4566350443665364
24,covtype,59,7,5,0.6337240175365305,0.46319426086615284
25,covtype,59,7,5,0.6324682189433001,0.4545664166530431
26,covtype,59,7,5,0.6360222770236673,0.452713403563414
27,covtype,59,7,5,0.6329994309797502,0.4788489580291276
28,covtype,59,7,5,0.6418392969844093,0.4662112389708493
29,covtype,59,7,5,0.6345808236759123,0.459315894118212
30,covtype,59,7,5,0.6329200369182184,0.45568458314679944
31,covtype,59,7,5,0.6351315004917923,0.4510840529512494
32,covtype,59,7,5,0.6325143886104586,0.4610437175997356
33,covtype,59,7,5,0.6383876802438987,0.464947860994053
34,covtype,59,7,5,0.6349822461504193,0.4593396020642249
35,covtype,59,7,5,0.6306519858407275,0.46655458535904265
36,covtype,59,7,5,0.6286899214255114,0.4592692940395446
37,covtype,59,7,5,0.6378429055690231,0.45552811552863837
38,covtype,59,7,5,0.6286672810393901,0.4647621991627781
