run,dataset,nin,nout,m,ftrain,ftest
1,gene,125,3,5,0.8977984407903202,0.8492573393417162
2,gene,125,3,5,0.8980231259294661,0.8482495913036033
3,gene,125,3,5,0.8945823987667135,0.8536577712502021
4,gene,125,3,5,0.8959648386840392,0.8436827497776694
5,gene,125,3,5,0.8962336155564978,0.8508742206897238
6,gene,125,3,5,0.8982039048324305,0.8532118655458097
7,gene,125,3,5,0.8955410903422502,0.8488634421196831
8,gene,125,3,5,0.8967184442473021,0.8511904102134542
9,gene,125,3,5,0.9017821382115251,0.8511776192142086
10,gene,125,3,5,0.8969803110955971,0.854518793704374
11,gene,125,3,5,0.9026897689768978,0.85530869271566
12,gene,125,3,5,0.8995139014382479,0.8541488713865251
13,gene,125,3,5,0.8962311906468982,0.8508766533208348
14,gene,125,3,5,0.8941012360682428,0.8466996307906486
15,gene,125,3,5,0.8979777039619857,0.8468452117949309
16,gene,125,3,5,0.8960868945301569,0.853726624617333
17,gene,125,3,5,0.8976333238216972,0.8544807869450426
18,gene,125,3,5,0.8953855721393035,0.8455345251659793
19,gene,125,3,5,0.8991637050123856,0.8417893902470049
20,gene,125,3,5,0.8955398291902531,0.8480283667689964
21,gene,125,3,5,0.8946462601974234,0.8450894976863119
22,gene,125,3,5,0.8971828108247356,0.8432205605608719
23,gene,125,3,5,0.9022152443430275,0.8552989391743776
24,gene,125,3,5,0.9007724959239768,0.8521678960279528
25,gene,125,3,5,0.9003589309942828,0.853397180853355
26,gene,125,3,5,0.9007984307901328,0.8380698030176429
27,gene,125,3,5,0.896311209731287,0.8495577612145843
28,gene,125,3,5,0.8979820589969494,0.8470777125854019
29,gene,125,3,5,0.9014988989979057,0.8410197842105586
30,gene,125,3,5,0.8959503182926984,0.8452310067908954
31,gene,125,3,5,0.8990952273000609,0.8485779185510166
32,gene,125,3,5,0.8969460615889434,0.8560002348463076
33,gene,125,3,5,0.8946053559473572,0.8464254176757132
34,gene,125,3,5,0.8976331547665453,0.8505369184475283
35,gene,125,3,5,0.896406304285328,0.8462459259374602
36,gene,125,3,5,0.8992303542490848,0.8496846885473754
37,gene,125,3,5,0.8968624770482355,0.8510066269643409
38,gene,125,3,5,0.8943406989629329,0.8543482676182773
39,gene,125,3,5,0.8953179521647815,0.8465688861150226
40,gene,125,3,5,0.8991166992244617,0.8535059188091668
41,gene,125,3,5,0.8933595925361436,0.8468721995561928
42,gene,125,3,5,0.8996792067179055,0.8542002400505747
43,gene,125,3,5,0.8961717840583044,0.8548494482586358
44,gene,125,3,5,0.899734316685334,0.8477385880547347
45,gene,125,3,5,0.900260971096085,0.8425806953861362
46,gene,125,3,5,0.8967526871819521,0.8467554639350986
47,gene,125,3,5,0.8979812414130146,0.8531874330240484
48,gene,125,3,5,0.8913674520007734,0.8557738161203378
49,gene,125,3,5,0.900878942072166,0.8563899941938198
50,gene,125,3,5,0.8961348921073489,0.8432434724717027
1,gene,130,3,10,0.8994171938963568,0.8451411638101568
2,gene,130,3,10,0.8977063724146097,0.8602321891751038
3,gene,130,3,10,0.9003007769410919,0.8474172885937592
4,gene,130,3,10,0.8972416564224596,0.847967187145717
5,gene,130,3,10,0.9017857326965572,0.8487871953457992
6,gene,130,3,10,0.9003708792680779,0.8525351312637376
7,gene,130,3,10,0.8940255644311143,0.8446944673354627
8,gene,130,3,10,0.8964875995515772,0.8516909971656709
9,gene,130,3,10,0.8977252470184244,0.8548332150427749
10,gene,130,3,10,0.8954579156163002,0.8507314579660253
11,gene,130,3,10,0.9004184753644178,0.8528308210704934
12,gene,130,3,10,0.8970255439203619,0.8453980508420611
13,gene,130,3,10,0.8983640551555155,0.831816064081042
14,gene,130,3,10,0.9033037141249592,0.8541713443265392
15,gene,130,3,10,0.895317833712782,0.8535301366477759
16,gene,130,3,10,0.8955042048152028,0.8614620186567575
17,gene,130,3,10,0.8980772111875218,0.8445790500230603
18,gene,130,3,10,0.898444908865519,0.8470798530421743
19,gene,130,3,10,0.8967926990348705,0.8525037390299245
20,gene,130,3,10,0.897683956844825,0.8517056579583678
21,gene,130,3,10,0.8985938513004236,0.8527151815545166
22,gene,130,3,10,0.901587970584206,0.8435694741519985
23,gene,130,3,10,0.8938663739672302,0.8545109211775879
24,gene,130,3,10,0.9038600923088226,0.8420477204047297
25,gene,130,3,10,0.8982646808240752,0.8513227980689398
26,gene,130,3,10,0.8987808612888211,0.8461936515034196
27,gene,130,3,10,0.8993913604910925,0.8447545544947993
28,gene,130,3,10,0.8966950064691183,0.852176193200534
29,gene,130,3,10,0.9020355406008168,0.8503804106922462
30,gene,130,3,10,0.8987502916958362,0.8510943268910451
31,gene,130,3,10,0.8947705162934764,0.8469166799511133
32,gene,130,3,10,0.9000336294987852,0.8573432221813291
33,gene,130,3,10,0.8983106105000407,0.85480211207698
34,gene,130,3,10,0.8983993042071673,0.8523192493780729
35,gene,130,3,10,0.8955780305691118,0.8432446943517053
36,gene,130,3,10,0.8998920881782161,0.848882644676468
37,gene,130,3,10,0.9023131386059884,0.8502022507909808
38,gene,130,3,10,0.8997779613859812,0.8411099575802844
39,gene,130,3,10,0.8979887131291422,0.846408386627644
40,gene,130,3,10,0.8987211688151842,0.845554681562125
