run,dataset,nin,nout,m,ftrain,ftest
1,glass,14,6,5,0.6673717053046168,0.5902325581395349
2,glass,14,6,5,0.6349559796928218,0.5338974299397178
3,glass,14,6,5,0.6734271284271284,0.5565454545454546
4,glass,14,6,5,0.6810577167556572,0.6040552584670232
5,glass,14,6,5,0.6384903381642512,0.5924444444444444
6,glass,14,6,5,0.5752417977818435,0.6006152460984394
7,glass,14,6,5,0.6582920607282599,0.5245253657018364
8,glass,14,6,5,0.6204184704184704,0.5271645021645022
9,glass,14,6,5,0.616912972085386,0.5116687979539641
10,glass,14,6,5,0.6597721371857456,0.43596461573135
11,glass,14,6,5,0.604129768866611,0.4636042589078642
12,glass,14,6,5,0.6254536407356756,0.5329457364341085
13,glass,14,6,5,0.6070522296132052,0.4947089947089947
14,glass,14,6,5,0.5866530523840465,0.4023333333333333
15,glass,14,6,5,0.6571273712737128,0.44817291455589325
16,glass,14,6,5,0.6413330887298966,0.4491285403050109
17,glass,14,6,5,0.6098476402824229,0.4936274509803922
18,glass,14,6,5,0.6014827764827765,0.5365890083632019
19,glass,14,6,5,0.5737405836495826,0.49142156862745096
20,glass,14,6,5,0.6634065522954412,0.4401960784313726
21,glass,14,6,5,0.601838292273075,0.46318972033257744
22,glass,14,6,5,0.608366622947747,0.5449049406996841
23,glass,14,6,5,0.680187331694181,0.44495714952647725
24,glass,14,6,5,0.5366428892744682,0.4063885918003566
25,glass,14,6,5,0.648702797169037,0.5547819127651061
26,glass,14,6,5,0.5662393780172984,0.6462785114045618
27,glass,14,6,5,0.6164870931537598,0.6008166774124221
28,glass,14,6,5,0.6058230452674896,0.5108898398068905
29,glass,14,6,5,0.6687214611872146,0.6627122286696754
30,glass,14,6,5,0.5467382311574419,0.6013888888888889
31,glass,14,6,5,0.6512545425588904,0.332688588007737
32,glass,14,6,5,0.600867627449906,0.6311661506707946
33,glass,14,6,5,0.6488645857066909,0.45372872872872877
34,glass,14,6,5,0.5968145498277584,0.5347222222222222
35,glass,14,6,5,0.6499776436396155,0.5466186474589836
36,glass,14,6,5,0.6443945498293324,0.526863354037267
37,glass,14,6,5,0.6210593130313317,0.519349962207105
