run,dataset,nin,nout,m,ftrain,ftest
1,heart,37,2,5,0.8573303113443875,0.7990274295266317
2,heart,37,2,5,0.8682476943346509,0.7992562234365513
3,heart,37,2,5,0.8610571736785329,0.8165033052199681
4,heart,37,2,5,0.865740984406624,0.7907347031617257
5,heart,37,2,5,0.8567945936366989,0.8202405688251777
6,heart,37,2,5,0.8634727328431373,0.8072380952380952
7,heart,37,2,5,0.8569371145316484,0.7987674984783932
8,heart,37,2,5,0.8634727328431373,0.7862737289260586
9,heart,37,2,5,0.8614716131530264,0.8114718160849426
10,heart,37,2,5,0.8573303113443875,0.7857862424207865
11,heart,37,2,5,0.8532932849071064,0.7990274295266317
12,heart,37,2,5,0.8529404747703686,0.7990274295266317
13,heart,37,2,5,0.8487988224029268,0.80300348312682
14,heart,37,2,5,0.8615986360445291,0.8205142846266582
15,heart,37,2,5,0.8636059301769488,0.7947793070716659
16,heart,37,2,5,0.8639728327228327,0.8117588838767391
17,heart,37,2,5,0.8530638709708178,0.7947793070716659
18,heart,37,2,5,0.8573303113443875,0.8035121025154248
19,heart,37,2,5,0.8531814652318275,0.7990274295266317
20,heart,37,2,5,0.8551968864468864,0.8120164984508943
21,heart,37,2,5,0.8504065040650406,0.8122448979591836
22,heart,37,2,5,0.8529404747703686,0.7987674984783932
23,heart,37,2,5,0.8551968864468864,0.7902894916799635
24,heart,37,2,5,0.8617201479184062,0.8122448979591836
25,heart,37,2,5,0.8508089133089134,0.7990274295266317
26,heart,37,2,5,0.8530638709708178,0.790528233151184
27,heart,37,2,5,0.8640843325263539,0.7857862424207865
28,heart,37,2,5,0.863733659506154,0.790528233151184
29,heart,37,2,5,0.8486777178654691,0.8077653673732998
30,heart,37,2,5,0.8617201479184062,0.7947793070716659
31,heart,37,2,5,0.8659923301383536,0.7942480823769009
32,heart,37,2,5,0.8442915647601203,0.8037207714627069
33,heart,37,2,5,0.863733659506154,0.7947793070716659
34,heart,37,2,5,0.8638559508124726,0.7897142857142858
35,heart,37,2,5,0.857073886586456,0.786046511627907
36,heart,37,2,5,0.8573303113443875,0.7992562234365513
37,heart,37,2,5,0.8639728327228327,0.7992562234365513
38,heart,37,2,5,0.8525351795941607,0.7992562234365513
39,heart,37,2,5,0.8636059301769488,0.8077653673732998
40,heart,37,2,5,0.863733659506154,0.8207599171275969
41,heart,37,2,5,0.8575641080607281,0.7947793070716659
42,heart,37,2,5,0.8682476943346509,0.8117588838767391
43,heart,37,2,5,0.8676030393737049,0.8075167376749848
44,heart,37,2,5,0.8530638709708178,0.8075167376749848
45,heart,37,2,5,0.8595848595848596,0.8122448979591836
46,heart,37,2,5,0.8596999561562363,0.7992562234365513
47,heart,37,2,5,0.8529404747703686,0.7947793070716659
48,heart,37,2,5,0.8618361771815153,0.8032730797741916
49,heart,37,2,5,0.8576725898352524,0.8032730797741916
50,heart,37,2,5,0.8618361771815153,0.8037207714627069
1,heart,42,2,10,0.8614716131530264,0.7721904761904762
2,heart,42,2,10,0.8486777178654691,0.8244810744810744
3,heart,42,2,10,0.8700135542240806,0.80300348312682
4,heart,42,2,10,0.857073886586456,0.7981532356532357
5,heart,42,2,10,0.8656072340282867,0.7984761904761905
6,heart,42,2,10,0.8680057388809181,0.80300348312682
7,heart,42,2,10,0.8573303113443875,0.806929181929182
8,heart,42,2,10,0.8633340361503516,0.7886029411764706
9,heart,42,2,10,0.8658693397195971,0.7900182592818016
10,heart,42,2,10,0.850931203416001,0.790528233151184
