run,dataset,nin,nout,m,ftrain,ftest
1,horse,63,3,5,0.8078609221466365,0.5541912632821724
2,horse,63,3,5,0.7957341821887945,0.5983525887890457
3,horse,63,3,5,0.7740510210254804,0.5815848160345768
4,horse,63,3,5,0.8042857142857143,0.5399997319501963
5,horse,63,3,5,0.780429786071331,0.5785714285714286
6,horse,63,3,5,0.81632110579479,0.5023695262744816
7,horse,63,3,5,0.8209057864230278,0.5045133158098498
8,horse,63,3,5,0.7863315431076311,0.5761309151553055
9,horse,63,3,5,0.8034310162547905,0.5762658679218372
10,horse,63,3,5,0.8110959939531369,0.5792473511143588
11,horse,63,3,5,0.8012422360248448,0.5405635466611076
12,horse,63,3,5,0.7969525895966746,0.5444017877968367
13,horse,63,3,5,0.8192276749798874,0.5094451534051082
14,horse,63,3,5,0.7636975365745023,0.5027221366204416
15,horse,63,3,5,0.7808448967005859,0.5494971921117932
16,horse,63,3,5,0.8162575756662669,0.4973789173789174
17,horse,63,3,5,0.7755847953216374,0.5136713735558408
18,horse,63,3,5,0.8108622117838707,0.5601099991343894
19,horse,63,3,5,0.7792501616031028,0.5239385727190605
20,horse,63,3,5,0.7528536616647429,0.6151761517615176
21,horse,63,3,5,0.7919920076762734,0.49600904146358693
22,horse,63,3,5,0.786673666263577,0.5510318461138133
23,horse,63,3,5,0.79592260493044,0.5638823835545147
24,horse,63,3,5,0.7797127739984883,0.5444017877968367
25,horse,63,3,5,0.8111971004709324,0.543034238488784
26,horse,63,3,5,0.7544124262390516,0.5797553994275305
27,horse,63,3,5,0.7733203587473038,0.5693468644288316
28,horse,63,3,5,0.7843771566597654,0.5784313725490197
29,horse,63,3,5,0.8140589569160998,0.549911429670115
30,horse,63,3,5,0.7561868686868687,0.5490196078431372
31,horse,63,3,5,0.7987421133397793,0.49002229654403556
32,horse,63,3,5,0.8089195420628434,0.5625822686798295
33,horse,63,3,5,0.8275255842618271,0.557026713124274
34,horse,63,3,5,0.8043112775697047,0.5456284153005464
35,horse,63,3,5,0.7913861766028948,0.5464970967363312
36,horse,63,3,5,0.8338829724921606,0.5405635466611076
37,horse,63,3,5,0.7869949494949496,0.51356411187278
38,horse,63,3,5,0.817184703276585,0.5670133187374566
39,horse,63,3,5,0.7529945633757165,0.5452381515373642
