run,dataset,nin,nout,m,ftrain,ftest
1,madelon,505,2,5,0.7424716074947263,0.5766243290995766
2,madelon,505,2,5,0.743489162417112,0.5732906623995733
3,madelon,505,2,5,0.7409906756643239,0.5815725204837755
4,madelon,505,2,5,0.743990783668212,0.5748003924064353
5,madelon,505,2,5,0.7424947855194068,0.5781915588294955
6,madelon,505,2,5,0.7444856273165366,0.5782384369816542
7,madelon,505,2,5,0.7454999363749841,0.578135291289522
8,madelon,505,2,5,0.7409958559336949,0.5715702699774116
9,madelon,505,2,5,0.7434768487856029,0.5798319327731092
10,madelon,505,2,5,0.7464999366249842,0.5681305946402617
11,madelon,505,2,5,0.7404854023038796,0.5866253291995867
12,madelon,505,2,5,0.7444769390437487,0.5632556899004267
13,madelon,505,2,5,0.7419873573805117,0.5749043534795328
14,madelon,505,2,5,0.7424922103893643,0.5780696268501146
15,madelon,505,2,5,0.7429958879342069,0.5798833009169213
16,madelon,505,2,5,0.7414890779135419,0.5683225413968682
17,madelon,505,2,5,0.7429958879342069,0.5666233289995666
18,madelon,505,2,5,0.7434948057698169,0.5699235419630156
19,madelon,505,2,5,0.7434855710633723,0.5749421449030563
20,madelon,505,2,5,0.743993599839996,0.5732574679943101
21,madelon,505,2,5,0.7404921498875341,0.579925320056899
22,madelon,505,2,5,0.745993649841246,0.5781915588294955
23,madelon,505,2,5,0.7414813220255163,0.576549041400389
24,madelon,505,2,5,0.7409906756643239,0.5749704840613932
25,madelon,505,2,5,0.7439976959792638,0.5699808880394684
26,madelon,505,2,5,0.741999741999742,0.5748571047490962
27,madelon,505,2,5,0.7419791003071249,0.5865518199499861
28,madelon,505,2,5,0.7429874063829127,0.5765913940256046
29,madelon,505,2,5,0.7394994138736812,0.5733143695275345
30,madelon,505,2,5,0.7369976329786968,0.5781915588294955
31,madelon,505,2,5,0.743993599839996,0.5716083578042568
32,madelon,505,2,5,0.742489120165327,0.5732147818838567
33,madelon,505,2,5,0.7409790193005634,0.5749043534795328
34,madelon,505,2,5,0.7444769390437487,0.5782384369816542
35,madelon,505,2,5,0.7484994341237268,0.5733333333333334
36,madelon,505,2,5,0.734999734999735,0.5799953332814809
37,madelon,505,2,5,0.7404890356617566,0.5763654154065113
38,madelon,505,2,5,0.7439836149513569,0.571522650668697
39,madelon,505,2,5,0.7419907116656199,0.5699235419630156
40,madelon,505,2,5,0.741995871933951,0.5749043534795328
41,madelon,505,2,5,0.7449908196695081,0.5715702699774116
42,madelon,505,2,5,0.7444856273165366,0.5716083578042568
43,madelon,505,2,5,0.7424994206236963,0.5798319327731092
44,madelon,505,2,5,0.7434814665359573,0.571522650668697
45,madelon,505,2,5,0.7454984093650585,0.5798833009169213
46,madelon,505,2,5,0.7434968578365085,0.576549041400389
47,madelon,505,2,5,0.742993574839371,0.5832916624995833
48,madelon,505,2,5,0.7374920591347889,0.5765913940256046
49,madelon,505,2,5,0.7434983968649804,0.579925320056899
50,madelon,505,2,5,0.7414994183736914,0.5748571047490962
1,madelon,510,2,10,0.7449959199347189,0.5748003924064353
2,madelon,510,2,10,0.7454892469206824,0.5783321620337835
3,madelon,510,2,10,0.7439874553853139,0.5614607968740881
4,madelon,510,2,10,0.7474984218651366,0.5749043534795328
5,madelon,510,2,10,0.7489877003973195,0.5865931721194879
6,madelon,510,2,10,0.7459875533901161,0.5782759320018558
7,madelon,510,2,10,0.7374994093736711,0.5797011207970113
8,madelon,510,2,10,0.7509798293661787,0.5666618517983533
9,madelon,510,2,10,0.741995871933951,0.5613925370022932
10,madelon,510,2,10,0.7394968088359083,0.578135291289522
11,madelon,510,2,10,0.7439792623202479,0.5713987909109861
12,madelon,510,2,10,0.7489909636746923,0.5632556899004267
13,madelon,510,2,10,0.7449977049793448,0.5699235419630156
14,madelon,510,2,10,0.7404921498875341,0.5716083578042568
15,madelon,510,2,10,0.745993649841246,0.5730297100160113
16,madelon,510,2,10,0.7474857960760293,0.5660832897562278
17,madelon,510,2,10,0.746460384435068,0.5632896622995633
18,madelon,510,2,10,0.7454994273737116,0.5749704840613932
19,madelon,510,2,10,0.7484923918948548,0.5764972655728958
20,madelon,510,2,10,0.7444968700866585,0.5764360596324666
21,madelon,510,2,10,0.743999743999744,0.5697657613589622
22,madelon,510,2,10,0.742990747666916,0.5782759320018558
23,madelon,510,2,10,0.7389997389997389,0.5714654935233485
24,madelon,510,2,10,0.7444984031150195,0.5666666666666667
25,madelon,510,2,10,0.742499935624984,0.5716654768485468
26,madelon,510,2,10,0.73999895999584,0.5881399879387823
27,madelon,510,2,10,0.7489937248431211,0.5832175604334537
28,madelon,510,2,10,0.7444968700866585,0.57995799579958
29,madelon,510,2,10,0.7409873083781106,0.5731625983726825
30,madelon,510,2,10,0.7399789382940019,0.571522650668697
31,madelon,510,2,10,0.7444948260202269,0.5765913940256046
32,madelon,510,2,10,0.7424983906149414,0.5764972655728958
33,madelon,510,2,10,0.740993524838121,0.5799813325036669
34,madelon,510,2,10,0.744999744999745,0.5749421449030563
35,madelon,510,2,10,0.7429874063829127,0.5781915588294955
36,madelon,510,2,10,0.7474923616439397,0.5616069965078581
