run,dataset,nin,nout,m,ftrain,ftest
1,optdigits,69,10,5,0.9439203999728955,0.9269900194015583
2,optdigits,69,10,5,0.943194669157769,0.923698681475396
3,optdigits,69,10,5,0.9419027127274371,0.9230531117282318
4,optdigits,69,10,5,0.942398975111205,0.9180421379360822
5,optdigits,69,10,5,0.9400872513521241,0.9241094548526311
6,optdigits,69,10,5,0.9419349957862571,0.9264222965753796
7,optdigits,69,10,5,0.9421800910668023,0.923048885808953
8,optdigits,69,10,5,0.9411032814683427,0.9195827759562875
9,optdigits,69,10,5,0.9397686262124572,0.9201006707099053
10,optdigits,69,10,5,0.9411172318224461,0.9209207713271889
11,optdigits,69,10,5,0.9405450080110811,0.9168807014079281
12,optdigits,69,10,5,0.9426414826869405,0.9230348797392562
13,optdigits,69,10,5,0.9385469635925228,0.9197791592973281
14,optdigits,69,10,5,0.9451200124204959,0.9209039017817251
15,optdigits,69,10,5,0.9411323859462927,0.9222570952859513
16,optdigits,69,10,5,0.9402943614172188,0.921210956028753
17,optdigits,69,10,5,0.9459444107832446,0.9197378183128009
18,optdigits,69,10,5,0.9414119577170312,0.9190539154490638
19,optdigits,69,10,5,0.9416588551946147,0.9247079358398935
20,optdigits,69,10,5,0.9455475081787696,0.9314800650535906
21,optdigits,69,10,5,0.9408847775376386,0.9221388504329997
22,optdigits,69,10,5,0.9426893273381015,0.9263900914480289
23,optdigits,69,10,5,0.9403871350042342,0.9265346924897386
24,optdigits,69,10,5,0.9442795817489028,0.9245194440586271
25,optdigits,69,10,5,0.9416659117431209,0.9202356746538831
26,optdigits,69,10,5,0.9413655609551693,0.9209505511027702
27,optdigits,69,10,5,0.9434877479115962,0.9264255153645019
28,optdigits,69,10,5,0.9397476278987243,0.9194390016476877
29,optdigits,69,10,5,0.9409506784870301,0.931540389513593
30,optdigits,69,10,5,0.9447824285887378,0.9187007788742141
31,optdigits,69,10,5,0.9432083907440267,0.9176641161993029
32,optdigits,69,10,5,0.9408355497662738,0.9153516784549888
33,optdigits,69,10,5,0.9426957809563193,0.9235862766682332
34,optdigits,69,10,5,0.942210469124744,0.9224095299215866
35,optdigits,69,10,5,0.9403058616461276,0.9236241559608359
36,optdigits,69,10,5,0.9420629307934503,0.9251358277608309
37,optdigits,69,10,5,0.9397370696027257,0.9232345493751886
38,optdigits,69,10,5,0.941733423570183,0.9215160411528369
39,optdigits,69,10,5,0.9416660312385663,0.9220454576773006
40,optdigits,69,10,5,0.938602420345458,0.9215402253262696
41,optdigits,69,10,5,0.9386788030867335,0.9274450629147083
42,optdigits,69,10,5,0.9395968264121366,0.9264935706868191
43,optdigits,69,10,5,0.9409065622242174,0.9258558716878573
44,optdigits,69,10,5,0.9399180377264506,0.9219933058430542
45,optdigits,69,10,5,0.9432066923466266,0.921861940463206
46,optdigits,69,10,5,0.9451334172038198,0.9236660682848843
47,optdigits,69,10,5,0.9425075297406563,0.9168825804511871
48,optdigits,69,10,5,0.9445529686440686,0.9220331776301821
49,optdigits,69,10,5,0.9400953388262845,0.9236310724264675
50,optdigits,69,10,5,0.941659552636823,0.9174644969763743
1,optdigits,74,10,10,0.9419572153216376,0.9237501975073179
2,optdigits,74,10,10,0.9444903543950272,0.9260629381223447
3,optdigits,74,10,10,0.9416972615761896,0.9269042036479792
4,optdigits,74,10,10,0.9403279537025204,0.9211240306930302
5,optdigits,74,10,10,0.9461990260827516,0.922740099771846
6,optdigits,74,10,10,0.9453024437838792,0.9224806688318379
7,optdigits,74,10,10,0.9459013329271106,0.9277663331908979
8,optdigits,74,10,10,0.9452986630125724,0.9248229699616605
9,optdigits,74,10,10,0.9450872918708777,0.9262644722735018
10,optdigits,74,10,10,0.942776195114684,0.922389017072091
11,optdigits,74,10,10,0.9402694734271477,0.9231006603116818
12,optdigits,74,10,10,0.943207976765488,0.9220333124904705
13,optdigits,74,10,10,0.9445239707551967,0.9219574921305613
14,optdigits,74,10,10,0.9455442811761241,0.9263406495772708
15,optdigits,74,10,10,0.9458619942259334,0.91993310262836
16,optdigits,74,10,10,0.9456563270767777,0.9229896455687359
17,optdigits,74,10,10,0.9434656564419557,0.9214974634306504
