run,dataset,nin,nout,m,ftrain,ftest
1,pendigits,21,10,5,0.8935125173406611,0.8471444268768616
2,pendigits,21,10,5,0.8860871644075343,0.8225027949119443
3,pendigits,21,10,5,0.8781177483910488,0.8234753481262693
4,pendigits,21,10,5,0.8757664421487046,0.8116354861928553
5,pendigits,21,10,5,0.8789018991674661,0.8194256111810445
6,pendigits,21,10,5,0.8800482574312831,0.813400364066221
7,pendigits,21,10,5,0.8929637339372476,0.8224223152253695
8,pendigits,21,10,5,0.8861562757077592,0.8183056549146823
9,pendigits,21,10,5,0.8863695071822619,0.8248344477598492
10,pendigits,21,10,5,0.8909440872204264,0.8222508912332083
11,pendigits,21,10,5,0.8943154162457203,0.8397812254375602
12,pendigits,21,10,5,0.8772006452713266,0.8173256071410593
13,pendigits,21,10,5,0.9002137226489287,0.8484342093228703
14,pendigits,21,10,5,0.8890465647188395,0.824122890944652
15,pendigits,21,10,5,0.8867186979103533,0.8179477364506189
16,pendigits,21,10,5,0.8916823276031873,0.8416688526770646
17,pendigits,21,10,5,0.8870520912948694,0.8242156856240216
18,pendigits,21,10,5,0.8981306929439157,0.8295001033863347
19,pendigits,21,10,5,0.8836423734657236,0.8259208084988415
20,pendigits,21,10,5,0.887686716030099,0.8213236388054883
21,pendigits,21,10,5,0.8998852502487485,0.8303359170717373
22,pendigits,21,10,5,0.8974718134722608,0.8285783155844666
23,pendigits,21,10,5,0.8957752153314953,0.8231116663057015
24,pendigits,21,10,5,0.8907095033932823,0.8308442802425233
25,pendigits,21,10,5,0.880251132772609,0.8164991476874579
26,pendigits,21,10,5,0.8753507804651021,0.8028411534475193
27,pendigits,21,10,5,0.8949158170100373,0.8254497062369184
28,pendigits,21,10,5,0.887921407361004,0.8276779678240398
29,pendigits,21,10,5,0.8841741008255927,0.8276597067755533
30,pendigits,21,10,5,0.8876917395982064,0.8231352847239226
31,pendigits,21,10,5,0.8854393326922942,0.8268759557876726
32,pendigits,21,10,5,0.8851942583783909,0.8228526413973221
33,pendigits,21,10,5,0.8883228415423303,0.8275695314547266
34,pendigits,21,10,5,0.889655165043892,0.813596138558448
35,pendigits,21,10,5,0.8771851481180569,0.8101984821189496
36,pendigits,21,10,5,0.8825159454229595,0.8270235748827416
37,pendigits,21,10,5,0.8789442913010166,0.8117809606002556
38,pendigits,21,10,5,0.8948493285608775,0.8205378187661971
39,pendigits,21,10,5,0.8849171854463866,0.8116738240150172
40,pendigits,21,10,5,0.8984438738120142,0.8244237851232471
41,pendigits,21,10,5,0.8796735482231866,0.8174823222931021
42,pendigits,21,10,5,0.8871691319440398,0.8394223512058007
43,pendigits,21,10,5,0.8801610259907727,0.8237234660211227
44,pendigits,21,10,5,0.8840757998803037,0.8106618812261335
45,pendigits,21,10,5,0.8907244676131514,0.8354755327512292
46,pendigits,21,10,5,0.8898825963413364,0.8271628990365633
47,pendigits,21,10,5,0.8883086953864296,0.8359201227599108
48,pendigits,21,10,5,0.8808367564035642,0.8261134028089774
49,pendigits,21,10,5,0.8789445557396329,0.8016102064268351
50,pendigits,21,10,5,0.882567264897404,0.8269771616807002
1,pendigits,26,10,10,0.8961859474888263,0.8388703089588768
2,pendigits,26,10,10,0.9001439327132014,0.8465296519140699
3,pendigits,26,10,10,0.8908383537452179,0.8321269511919421
4,pendigits,26,10,10,0.9003006033634836,0.8258287798552839
5,pendigits,26,10,10,0.8971319286019414,0.8323855181573243
6,pendigits,26,10,10,0.9046868865331039,0.8455637393740467
7,pendigits,26,10,10,0.9079978480897118,0.8537170359683588
8,pendigits,26,10,10,0.8893073827329255,0.8320715359330425
9,pendigits,26,10,10,0.8825109375251958,0.8300901748176488
10,pendigits,26,10,10,0.9095206284043552,0.842482231288543
11,pendigits,26,10,10,0.9000364517837642,0.8435582927627108
12,pendigits,26,10,10,0.9054846145884442,0.8410618522581794
13,pendigits,26,10,10,0.8910561195849181,0.8335328679331256
14,pendigits,26,10,10,0.907950898805951,0.8352122298209983
15,pendigits,26,10,10,0.8939505223977179,0.8499109056625205
16,pendigits,26,10,10,0.89090757939528,0.8298828991018224
17,pendigits,26,10,10,0.8918891592026975,0.8344655156088715
18,pendigits,26,10,10,0.897128900429788,0.8352931011398548
19,pendigits,26,10,10,0.8873223067643572,0.8269722603690669
20,pendigits,26,10,10,0.9031949615306066,0.8320389349918195
21,pendigits,26,10,10,0.8844287031894946,0.8221328901841503
22,pendigits,26,10,10,0.8952652334681132,0.8407387294187165
