run,dataset,nin,nout,m,ftrain,ftest
1,poker,15,10,5,0.07689261690773955,0.07704503830345659
2,poker,15,10,5,0.07139532214356709,0.07103624052888072
3,poker,15,10,5,0.07717511919052197,0.0771412477630182
4,poker,15,10,5,0.08108880962835541,0.08082460459613741
5,poker,15,10,5,0.06839040299176971,0.06835971198183804
6,poker,15,10,5,0.06721795728593574,0.06760793453727981
7,poker,15,10,5,0.08681012363936794,0.08611967816284496
8,poker,15,10,5,0.06700856146356801,0.0672092714851991
9,poker,15,10,5,0.09186965151995845,0.09180573978594271
10,poker,15,10,5,0.07768283005833258,0.0776424462246565
11,poker,15,10,5,0.07599591147033671,0.07615967382128759
12,poker,15,10,5,0.09049385893564002,0.09034165285236337
13,poker,15,10,5,0.06825789603447813,0.06806937203585565
14,poker,15,10,5,0.06676044100659692,0.06692030624433025
15,poker,15,10,5,0.06667368687315292,0.06690815166966364
16,poker,15,10,5,0.07557941564342605,0.07556452094373059
17,poker,15,10,5,0.07341616699076078,0.07302386179557455
18,poker,15,10,5,0.06668236444555999,0.06680283102421586
19,poker,15,10,5,0.08006898706512885,0.07994545685918618
20,poker,15,10,5,0.08100548130380972,0.08017696132045542
21,poker,15,10,5,0.0976997997590087,0.09684048236245005
22,poker,15,10,5,0.06757022344030676,0.06787587973378867
23,poker,15,10,5,0.06986115203099498,0.0696202107798595
24,poker,15,10,5,0.06662400341306028,0.06677404678495799
25,poker,15,10,5,0.07748618669114765,0.07716361312448689
26,poker,15,10,5,0.07793619616923295,0.07831973914701915
27,poker,15,10,5,0.07048669928473031,0.07053055067186072
28,poker,15,10,5,0.06662400341306028,0.06677499374286702
29,poker,15,10,5,0.06667902262536059,0.06690798076622408
30,poker,15,10,5,0.06679447842590044,0.06686570599887204
31,poker,15,10,5,0.07976909213430726,0.07945384190673024
32,poker,15,10,5,0.06728807040863258,0.06751410886811463
33,poker,15,10,5,0.06761813215296486,0.06769972926126526
34,poker,15,10,5,0.06668873957993157,0.06686642978533118
35,poker,15,10,5,0.0687643635198675,0.0690112276201109
36,poker,15,10,5,0.08101346481071263,0.08095827453449514
37,poker,15,10,5,0.07476333095828047,0.07444963054124867
38,poker,15,10,5,0.07065941411384184,0.0706254222596043
39,poker,15,10,5,0.0669491860087141,0.06696938294660623
40,poker,15,10,5,0.08348541648815355,0.08245469127778214
41,poker,15,10,5,0.06852228719691582,0.06878928389217123
42,poker,15,10,5,0.0674116932684574,0.0675481043644521
43,poker,15,10,5,0.08461821529618335,0.08445475930972787
44,poker,15,10,5,0.06814774478245687,0.06816473623794375
45,poker,15,10,5,0.07005444560898975,0.0701777401068096
46,poker,15,10,5,0.06667523991263949,0.0667913685800774
47,poker,15,10,5,0.06714819051742797,0.06730479470770642
48,poker,15,10,5,0.09077072282532625,0.08993962583335734
49,poker,15,10,5,0.07800989495332392,0.07784371760349597
50,poker,15,10,5,0.07434388182820631,0.07472195794417785
1,poker,20,10,10,0.07513370974123264,0.07450063623043748
2,poker,20,10,10,0.07774079421910199,0.0781733929891183
3,poker,20,10,10,0.07117473468834626,0.07085412045934887
4,poker,20,10,10,0.08204099663383826,0.08144808843294331
5,poker,20,10,10,0.09372491129241826,0.0922632563150747
6,poker,20,10,10,0.08307694704737865,0.08269158507258892
7,poker,20,10,10,0.06969067229786091,0.0696941285378707
8,poker,20,10,10,0.08463475464398154,0.08396943524912746
9,poker,20,10,10,0.07661655631948819,0.07672574540924008
10,poker,20,10,10,0.09402108273997875,0.09325102950456474
11,poker,20,10,10,0.07370346731605938,0.07410688757457075
12,poker,20,10,10,0.0846274094933109,0.08411109237427791
13,poker,20,10,10,0.06795170649175797,0.06809208799534704
14,poker,20,10,10,0.08128700986562658,0.08109316829145256
15,poker,20,10,10,0.08060373274434798,0.08071632297866058
16,poker,20,10,10,0.08971987758093909,0.08890378541867804
17,poker,20,10,10,0.06788786124068415,0.06823180027307481
18,poker,20,10,10,0.08341305968841807,0.08256198613595048
19,poker,20,10,10,0.07722505803672959,0.07666910790772558
20,poker,20,10,10,0.07970711780309159,0.0800789614531963
21,poker,20,10,10,0.09102216056761644,0.09102317606060638
22,poker,20,10,10,0.0790425466360428,0.07860563092417075
23,poker,20,10,10,0.0676119040444168,0.06770605482697095
24,poker,20,10,10,0.07201467958782798,0.07193150961123143
25,poker,20,10,10,0.07472175346557855,0.07525438737070349
26,poker,20,10,10,0.08376375159146159,0.0835338509628901
27,poker,20,10,10,0.08654055315006258,0.08601455292312594
