run,dataset,nin,nout,m,ftrain,ftest
1,segmentation,24,7,5,0.9067670262342393,0.8701863040183093
2,segmentation,24,7,5,0.928342182087398,0.8601393975165517
3,segmentation,24,7,5,0.9232918861044151,0.8835369944349696
4,segmentation,24,7,5,0.9131704157211404,0.8866214509641067
5,segmentation,24,7,5,0.9015814883789124,0.8682507730716242
6,segmentation,24,7,5,0.8916719859150563,0.8524165962770889
7,segmentation,24,7,5,0.9232351425971573,0.8773840127825931
8,segmentation,24,7,5,0.9230699403631734,0.8682363180306901
9,segmentation,24,7,5,0.8969370153050119,0.831810378110582
10,segmentation,24,7,5,0.9128537015184988,0.867798909213031
11,segmentation,24,7,5,0.9067934798935345,0.8570131759518741
12,segmentation,24,7,5,0.9230289000365302,0.8731227258682878
13,segmentation,24,7,5,0.8916292287119706,0.8539694661230023
14,segmentation,24,7,5,0.9133665958823894,0.8326626505677914
15,segmentation,24,7,5,0.893179748407519,0.8470842446062811
16,segmentation,24,7,5,0.897499565499915,0.8464866663157764
17,segmentation,24,7,5,0.9081578843928196,0.8671223350034306
18,segmentation,24,7,5,0.9021888338047589,0.860975548475948
19,segmentation,24,7,5,0.9080222878625134,0.870397862150755
20,segmentation,24,7,5,0.8934734491819395,0.8245434471912148
21,segmentation,24,7,5,0.918055938314559,0.8685698542437743
22,segmentation,24,7,5,0.9061139095096941,0.8642700988751167
23,segmentation,24,7,5,0.9080886317470889,0.866467691099351
24,segmentation,24,7,5,0.9069787646296995,0.8521411501446143
25,segmentation,24,7,5,0.9088363529522779,0.855512240818067
26,segmentation,24,7,5,0.892007776518952,0.8419128284344227
27,segmentation,24,7,5,0.8845941980206212,0.8424027892295324
28,segmentation,24,7,5,0.8795934586098645,0.8469230161536725
29,segmentation,24,7,5,0.9136254246731502,0.8569923849001423
30,segmentation,24,7,5,0.9232401866587567,0.8869075062426045
31,segmentation,24,7,5,0.9091972237250687,0.8765575818061395
32,segmentation,24,7,5,0.8867911955746296,0.8317336654785489
33,segmentation,24,7,5,0.9030858395989975,0.8657871003519457
34,segmentation,24,7,5,0.9018285698289193,0.864707389498573
35,segmentation,24,7,5,0.896774059835375,0.8421476716428492
36,segmentation,24,7,5,0.9112394555718978,0.8617286541869752
37,segmentation,24,7,5,0.8967457004651364,0.8460305068619951
38,segmentation,24,7,5,0.9072150249588369,0.8564523782258743
39,segmentation,24,7,5,0.9024827599218596,0.8429670371862316
40,segmentation,24,7,5,0.8863202111445672,0.8389801864313338
41,segmentation,24,7,5,0.9142165086396907,0.8565672551133316
42,segmentation,24,7,5,0.9033049071933619,0.8643143979376716
43,segmentation,24,7,5,0.8917733923396132,0.8490491932412819
44,segmentation,24,7,5,0.8924056455230482,0.8590687226983839
45,segmentation,24,7,5,0.907661701950438,0.8531133410640758
46,segmentation,24,7,5,0.9232918861044151,0.8742511123641199
