run,dataset,nin,nout,m,ftrain,ftest
1,shuttle,14,7,5,0.4348678375823697,0.394804875929596
2,shuttle,14,7,5,0.46220572978332897,0.39211873933159186
3,shuttle,14,7,5,0.3445414795189516,0.34588930205857454
4,shuttle,14,7,5,0.3533291928682138,0.33441661625059454
5,shuttle,14,7,5,0.38842447488077764,0.3884314277155389
6,shuttle,14,7,5,0.4080238605599373,0.38491091904968594
7,shuttle,14,7,5,0.37194386573233523,0.3706537633949775
8,shuttle,14,7,5,0.4283806960488574,0.38791651372437386
9,shuttle,14,7,5,0.4467802329703698,0.38994074651355276
10,shuttle,14,7,5,0.4105735355988688,0.3652199877878208
11,shuttle,14,7,5,0.423324731390665,0.37907459805480054
12,shuttle,14,7,5,0.3878709992784604,0.38835360124400825
13,shuttle,14,7,5,0.4080884035676365,0.38375013255546536
14,shuttle,14,7,5,0.4265719674220631,0.38297457857138834
15,shuttle,14,7,5,0.42040534364330273,0.3772488199554857
16,shuttle,14,7,5,0.39443750107668585,0.3962050470977064
17,shuttle,14,7,5,0.32673474551894266,0.329959187011765
18,shuttle,14,7,5,0.37736811185426106,0.37691242909201234
19,shuttle,14,7,5,0.40091168525173193,0.3611887956578194
20,shuttle,14,7,5,0.3807220348729049,0.3805862217180425
21,shuttle,14,7,5,0.4220484235395183,0.3778077971168865
22,shuttle,14,7,5,0.4431294677336313,0.3861183077839657
23,shuttle,14,7,5,0.3794082986239439,0.3583845922103775
24,shuttle,14,7,5,0.48953728828405046,0.39485763765830145
25,shuttle,14,7,5,0.4605993906857885,0.37770817722097594
26,shuttle,14,7,5,0.44712098876506323,0.3906948106244977
27,shuttle,14,7,5,0.3828081006932587,0.3824081039530678
28,shuttle,14,7,5,0.374257506582259,0.37408737177744494
29,shuttle,14,7,5,0.4707702060605026,0.38635650994766596
30,shuttle,14,7,5,0.40870769568875887,0.36548362250533983
31,shuttle,14,7,5,0.3723974201936066,0.3714842695739491
32,shuttle,14,7,5,0.4075297041205008,0.36275102338031484
33,shuttle,14,7,5,0.40746411062962523,0.3653328593311684
34,shuttle,14,7,5,0.4288961929798067,0.3866539608863794
35,shuttle,14,7,5,0.4561751196086689,0.3847099199928295
36,shuttle,14,7,5,0.38879355397306137,0.3898949321398539
37,shuttle,14,7,5,0.4108239543898048,0.37082596586401106
38,shuttle,14,7,5,0.38519511623820446,0.38566768904546916
39,shuttle,14,7,5,0.3815208410835237,0.3818514294833326
40,shuttle,14,7,5,0.38927201784861515,0.3903107838294151
41,shuttle,14,7,5,0.38211560681731216,0.38313058326489624
42,shuttle,14,7,5,0.4153227404945157,0.39296355993889465
43,shuttle,14,7,5,0.3577388328321792,0.35712642908672104
44,shuttle,14,7,5,0.407830648093774,0.3391199585045645
45,shuttle,14,7,5,0.39122315401268637,0.3484998214973322
46,shuttle,14,7,5,0.4771691502438888,0.3939662896177913
47,shuttle,14,7,5,0.37653986090052843,0.37572307890807993
48,shuttle,14,7,5,0.467996805525817,0.37348578545294686
49,shuttle,14,7,5,0.32171305782822074,0.320943487630898
50,shuttle,14,7,5,0.4013633359041194,0.3766561426953063
1,shuttle,19,7,10,0.416400037318346,0.39353250149470886
2,shuttle,19,7,10,0.417760974501789,0.39508495467312116
3,shuttle,19,7,10,0.3949012261588001,0.39534199531398306
4,shuttle,19,7,10,0.46454473150430564,0.3936509595874779
5,shuttle,19,7,10,0.4838172956304811,0.40095856351924114
6,shuttle,19,7,10,0.43554880126351925,0.39150870524491505
7,shuttle,19,7,10,0.3919573248256253,0.39210382831492013
8,shuttle,19,7,10,0.44600594984397457,0.37344768744999535
9,shuttle,19,7,10,0.44716262918728855,0.40442314923504824
10,shuttle,19,7,10,0.4606838783668989,0.39092811103851466
11,shuttle,19,7,10,0.3849399998098934,0.38629071919513697
12,shuttle,19,7,10,0.47170407671259024,0.40122296647512606
13,shuttle,19,7,10,0.48438815015544,0.39507198528321846
14,shuttle,19,7,10,0.41172012794030405,0.4121124757840081
15,shuttle,19,7,10,0.4495176983204408,0.39380368296473245
16,shuttle,19,7,10,0.3972926848708052,0.3977687649266191
17,shuttle,19,7,10,0.44287791762124445,0.3998735800190726
18,shuttle,19,7,10,0.44096992252637573,0.37934275508593907
19,shuttle,19,7,10,0.47058495029064895,0.3950087595991816
20,shuttle,19,7,10,0.40295945753042534,0.37894859386715607
21,shuttle,19,7,10,0.4682994260953919,0.37292133862533783
22,shuttle,19,7,10,0.45954050136367813,0.4035071621680112
23,shuttle,19,7,10,0.42160062436351914,0.4006757785864211
24,shuttle,19,7,10,0.43990109236062164,0.4007620694038061
25,shuttle,19,7,10,0.4772719877162501,0.39421221967105746
26,shuttle,19,7,10,0.48505423220464505,0.390367518607491
27,shuttle,19,7,10,0.4479543421788229,0.40830667586246644
28,shuttle,19,7,10,0.44636109126109275,0.4037612512490534
29,shuttle,19,7,10,0.39279048981234815,0.3934150291120386
30,shuttle,19,7,10,0.40554248555242767,0.4065295796793494
31,shuttle,19,7,10,0.47967925548357726,0.39675452138619466
32,shuttle,19,7,10,0.49728617881870607,0.40291212575999297
33,shuttle,19,7,10,0.4457929248535994,0.40253226206139125
34,shuttle,19,7,10,0.47606041785528835,0.3927038524191392
35,shuttle,19,7,10,0.4626984214545233,0.39157901198238376
36,shuttle,19,7,10,0.41663204259071135,0.39344517382095123
37,shuttle,19,7,10,0.4301347824902482,0.40704579262975443
38,shuttle,19,7,10,0.49439281653783107,0.39945695405277293
39,shuttle,19,7,10,0.39366937509060307,0.394262567871849
40,shuttle,19,7,10,0.4694200740377504,0.39866067667790556
41,shuttle,19,7,10,0.4417701706908229,0.385040994476451
42,shuttle,19,7,10,0.4090703385437009,0.3850780367620466
43,shuttle,19,7,10,0.44791092041862507,0.40701884258313736
44,shuttle,19,7,10,0.48586025675619443,0.3910627583118495
45,shuttle,19,7,10,0.4275752908585955,0.4067924964008568
46,shuttle,19,7,10,0.3999125712924671,0.40161530421352604
47,shuttle,19,7,10,0.442019041699769,0.3848732716473466
48,shuttle,19,7,10,0.3820304041087407,0.38300462028874754
49,shuttle,19,7,10,0.39340554422753254,0.39370476371475777
50,shuttle,19,7,10,0.44666670585612905,0.37279454016588354
1,shuttle,24,7,15,0.4633266258246712,0.4068440947058124
2,shuttle,24,7,15,0.4483334299835794,0.39234793124182826
3,shuttle,24,7,15,0.4674642166626287,0.39740368886370386
4,shuttle,24,7,15,0.4435850432910418,0.40044294763819127
