run,dataset,nin,nout,m,ftrain,ftest
1,soybean,85,19,5,0.9725189773475625,0.9442610631475806
2,soybean,85,19,5,0.9734102360528214,0.9419930370694377
3,soybean,85,19,5,0.9734583114740963,0.9442610631475806
4,soybean,85,19,5,0.9734394996249321,0.9442610631475806
5,soybean,85,19,5,0.9744543475736286,0.9420182157024263
6,soybean,85,19,5,0.9744240285190022,0.9442610631475806
7,soybean,85,19,5,0.9754671643216535,0.9459866886868386
8,soybean,85,19,5,0.9706033904176319,0.9442610631475806
9,soybean,85,19,5,0.9783669305639368,0.9442610631475806
10,soybean,85,19,5,0.9744240285190022,0.9339823918771287
11,soybean,85,19,5,0.9763735250207185,0.9419930370694377
12,soybean,85,19,5,0.9764187402500957,0.9442610631475806
13,soybean,85,19,5,0.9714667797959516,0.9442610631475806
14,soybean,85,19,5,0.9754038923013993,0.9437726016673385
15,soybean,85,19,5,0.9783669305639368,0.9442610631475806
16,soybean,85,19,5,0.9734583114740963,0.9420182157024263
17,soybean,85,19,5,0.9783379176971854,0.9397653545058295
18,soybean,85,19,5,0.9735027716451865,0.9342816612014196
19,soybean,85,19,5,0.9764187402500957,0.9442610631475806
20,soybean,85,19,5,0.9744543475736286,0.9342816612014196
21,soybean,85,19,5,0.9764187402500957,0.9465357801520791
22,soybean,85,19,5,0.9724899644808112,0.9442610631475806
23,soybean,85,19,5,0.9754038923013993,0.9465357801520791
24,soybean,85,19,5,0.9744240285190022,0.9420182157024263
25,soybean,85,19,5,0.972567783094099,0.9442610631475806
26,soybean,85,19,5,0.9764187402500957,0.936225239322283
27,soybean,85,19,5,0.975389745563908,0.9442610631475806
28,soybean,85,19,5,0.9753746287292883,0.944837987282809
29,soybean,85,19,5,0.9724972653765225,0.9442610631475806
30,soybean,85,19,5,0.9744058313418145,0.9420182157024263
31,soybean,85,19,5,0.9783379176971854,0.9419930370694377
32,soybean,85,19,5,0.9725189773475625,0.9442610631475806
33,soybean,85,19,5,0.9744616580529893,0.9442610631475806
34,soybean,85,19,5,0.9744616580529893,0.9338535733272577
35,soybean,85,19,5,0.9743940038836133,0.9465357801520791
36,soybean,85,19,5,0.9783285787760344,0.9419930370694377
37,soybean,85,19,5,0.9793326476088426,0.9465357801520791
38,soybean,85,19,5,0.9754671643216535,0.9420182157024263
39,soybean,85,19,5,0.9793326476088426,0.9420182157024263
40,soybean,85,19,5,0.9725189773475625,0.936225239322283
41,soybean,85,19,5,0.9753813779884104,0.9442610631475806
42,soybean,85,19,5,0.9715153056114154,0.936225239322283
43,soybean,85,19,5,0.9725189773475625,0.9437726016673385
44,soybean,85,19,5,0.9734394996249321,0.9442610631475806
45,soybean,85,19,5,0.9725189773475625,0.9437726016673385
46,soybean,85,19,5,0.9705545846710955,0.9420182157024263
47,soybean,85,19,5,0.9695888676261897,0.9437726016673385
