run,dataset,nin,nout,m,ftrain,ftest
1,spect,27,2,5,0.8117647058823529,0.5393356643356644
2,spect,27,2,5,0.8749218261413383,0.5502858269268678
3,spect,27,2,5,0.8619607843137256,0.5317683881064162
4,spect,27,2,5,0.8994343180389692,0.5547619047619048
5,spect,27,2,5,0.849906191369606,0.5317683881064162
6,spect,27,2,5,0.87468671679198,0.5394088669950738
7,spect,27,2,5,0.849624060150376,0.5318959948320413
8,spect,27,2,5,0.887341574088562,0.5356401384083045
9,spect,27,2,5,0.8870588235294118,0.4877450980392157
10,spect,27,2,5,0.8491514770584538,0.5547619047619048
11,spect,27,2,5,0.887341574088562,0.5508650519031142
12,spect,27,2,5,0.8866320264525271,0.5272967364648179
13,spect,27,2,5,0.875,0.5394088669950738
14,spect,27,2,5,0.8623063683304647,0.5355410999408634
15,spect,27,2,5,0.8623063683304647,0.5502858269268678
16,spect,27,2,5,0.849906191369606,0.5098674067221708
17,spect,27,2,5,0.8623063683304647,0.520796372954859
18,spect,27,2,5,0.8870588235294118,0.5393356643356644
19,spect,27,2,5,0.849624060150376,0.5547619047619048
20,spect,27,2,5,0.8870588235294118,0.5469961240310077
21,spect,27,2,5,0.8749218261413383,0.46623503202450567
22,spect,27,2,5,0.87468671679198,0.5355410999408634
23,spect,27,2,5,0.899749373433584,0.5547619047619048
24,spect,27,2,5,0.8619607843137256,0.5235311750599521
25,spect,27,2,5,0.8749218261413383,0.5626461744069495
26,spect,27,2,5,0.8737373737373737,0.49496350364963504
27,spect,27,2,5,0.8245614035087719,0.5502858269268678
28,spect,27,2,5,0.8623063683304647,0.5317683881064162
29,spect,27,2,5,0.8624785122675418,0.5205678643860253
30,spect,27,2,5,0.8994343180389692,0.4877450980392157
31,spect,27,2,5,0.8372711625723674,0.5660899653979239
32,spect,27,2,5,0.87468671679198,0.558132083783892
33,spect,27,2,5,0.8623063683304647,0.5317683881064162
34,spect,27,2,5,0.887341574088562,0.5570613132450588
35,spect,27,2,5,0.849624060150376,0.5026595744680851
36,spect,27,2,5,0.8372711625723674,0.5431535103528375
37,spect,27,2,5,0.849906191369606,0.5431535103528375
38,spect,27,2,5,0.887341574088562,0.5318959948320413
39,spect,27,2,5,0.849624060150376,0.5469961240310077
40,spect,27,2,5,0.8614391434419777,0.5355410999408634
41,spect,27,2,5,0.9123767798466593,0.5060516459688548
42,spect,27,2,5,0.8999374609130707,0.5469961240310077
43,spect,27,2,5,0.8749218261413383,0.5098674067221708
44,spect,27,2,5,0.8749218261413383,0.5098674067221708
45,spect,27,2,5,0.899749373433584,0.5541958041958042
46,spect,27,2,5,0.8749218261413383,0.5502858269268678
47,spect,27,2,5,0.8491514770584538,0.520796372954859
