run,dataset,nin,nout,m,ftrain,ftest
1,thyroid,26,3,5,0.4883490452018371,0.49737756906751235
2,thyroid,26,3,5,0.4883490452018371,0.49737756906751235
3,thyroid,26,3,5,0.4883490452018371,0.49737756906751235
4,thyroid,26,3,5,0.4883490452018371,0.49737756906751235
5,thyroid,26,3,5,0.4883490452018371,0.49737756906751235
6,thyroid,26,3,5,0.4883490452018371,0.49737756906751235
7,thyroid,26,3,5,0.4883490452018371,0.49737756906751235
8,thyroid,26,3,5,0.4883490452018371,0.49737756906751235
9,thyroid,26,3,5,0.4883490452018371,0.49737756906751235
10,thyroid,26,3,5,0.4883490452018371,0.49737756906751235
11,thyroid,26,3,5,0.4883490452018371,0.49737756906751235
12,thyroid,26,3,5,0.4883490452018371,0.49737756906751235
13,thyroid,26,3,5,0.4883490452018371,0.49737756906751235
14,thyroid,26,3,5,0.4883490452018371,0.49737756906751235
15,thyroid,26,3,5,0.4883490452018371,0.49737756906751235
16,thyroid,26,3,5,0.4883490452018371,0.49737756906751235
17,thyroid,26,3,5,0.4883490452018371,0.49737756906751235
18,thyroid,26,3,5,0.4883490452018371,0.49737756906751235
19,thyroid,26,3,5,0.4883490452018371,0.49737756906751235
20,thyroid,26,3,5,0.4883490452018371,0.49737756906751235
21,thyroid,26,3,5,0.4883490452018371,0.49737756906751235
22,thyroid,26,3,5,0.4883490452018371,0.49737756906751235
23,thyroid,26,3,5,0.4883490452018371,0.49737756906751235
24,thyroid,26,3,5,0.4883490452018371,0.49737756906751235
25,thyroid,26,3,5,0.4883490452018371,0.49737756906751235
26,thyroid,26,3,5,0.4883490452018371,0.49737756906751235
27,thyroid,26,3,5,0.4883490452018371,0.49737756906751235
28,thyroid,26,3,5,0.4883490452018371,0.49737756906751235
29,thyroid,26,3,5,0.4883490452018371,0.49737756906751235
30,thyroid,26,3,5,0.4883490452018371,0.49737756906751235
31,thyroid,26,3,5,0.4883490452018371,0.49737756906751235
32,thyroid,26,3,5,0.4883490452018371,0.49737756906751235
33,thyroid,26,3,5,0.4883490452018371,0.49737756906751235
34,thyroid,26,3,5,0.4883490452018371,0.49737756906751235
35,thyroid,26,3,5,0.4883490452018371,0.49737756906751235
36,thyroid,26,3,5,0.4883490452018371,0.49737756906751235
37,thyroid,26,3,5,0.4883490452018371,0.49737756906751235
38,thyroid,26,3,5,0.4883490452018371,0.49737756906751235
39,thyroid,26,3,5,0.4883490452018371,0.49737756906751235
40,thyroid,26,3,5,0.4883490452018371,0.49737756906751235
41,thyroid,26,3,5,0.4883490452018371,0.49737756906751235
42,thyroid,26,3,5,0.4883490452018371,0.49737756906751235
43,thyroid,26,3,5,0.4883490452018371,0.49737756906751235
44,thyroid,26,3,5,0.4883490452018371,0.49737756906751235
45,thyroid,26,3,5,0.4883490452018371,0.49737756906751235
46,thyroid,26,3,5,0.4883490452018371,0.49737756906751235
