run,dataset,nin,nout,m,ftrain,ftest
1,vehicle,23,4,5,0.7894786553073956,0.7822121957888979
1,vehicle,23,4,5,0.7965110363491205,0.7367479758784107
1,vehicle,23,4,5,0.8012099362014692,0.7814622794859949
1,vehicle,23,4,5,0.7929570873627659,0.7928852327910768
2,vehicle,23,4,5,0.7711448792930807,0.7632804149844459
2,vehicle,23,4,5,0.7773600637243816,0.7253150451183786
2,vehicle,23,4,5,0.7957451271140755,0.7692603869637363
2,vehicle,23,4,5,0.7784294728189515,0.7694009477922946
3,vehicle,23,4,5,0.8000260853806146,0.7535733438044594
3,vehicle,23,4,5,0.7905392151516513,0.7632290586771718
3,vehicle,23,4,5,0.7975488393606133,0.7859385731873259
3,vehicle,23,4,5,0.7942716386102563,0.7815389607052198
4,vehicle,23,4,5,0.785484654688094,0.7623618386632227
4,vehicle,23,4,5,0.7798530176065365,0.7622862461135657
4,vehicle,23,4,5,0.7828949318488155,0.7519221388377063
4,vehicle,23,4,5,0.7775447902282426,0.7909762133675178
5,vehicle,23,4,5,0.7978748737795514,0.7569968134168149
5,vehicle,23,4,5,0.7782769047537503,0.7624627457329658
5,vehicle,23,4,5,0.7805195544922333,0.7857994156381254
5,vehicle,23,4,5,0.7792546550115707,0.7801816239316239
6,vehicle,23,4,5,0.7909822653135783,0.753856331963705
6,vehicle,23,4,5,0.7760176250178854,0.762797619047619
6,vehicle,23,4,5,0.789680206568672,0.7671261410977304
6,vehicle,23,4,5,0.7815066901397315,0.7461116923626593
7,vehicle,23,4,5,0.7918635979483594,0.7530221659644243
7,vehicle,23,4,5,0.7987954775412505,0.7637135769846051
7,vehicle,23,4,5,0.7919240681349975,0.7869720038118027
7,vehicle,23,4,5,0.7980356124980653,0.7946339872633396
8,vehicle,23,4,5,0.795108418746279,0.7363450328306154
8,vehicle,23,4,5,0.7811610443696431,0.7750021535675709
8,vehicle,23,4,5,0.7852870622664798,0.7703443976936264
8,vehicle,23,4,5,0.7858912002310896,0.7659473405168277
9,vehicle,23,4,5,0.802217261904762,0.7452716600181207
9,vehicle,23,4,5,0.7904419054880865,0.7782640225364683
9,vehicle,23,4,5,0.7882256712048032,0.7570759514703165
9,vehicle,23,4,5,0.7791157061402194,0.7856144379961405
10,vehicle,23,4,5,0.7922954664792186,0.7424168822711512
10,vehicle,23,4,5,0.7826696659111588,0.7384347267539919
10,vehicle,23,4,5,0.7842630769985426,0.770406194407101
10,vehicle,23,4,5,0.7799481450828473,0.7904290198000163
11,vehicle,23,4,5,0.7785979580854292,0.7523894862604541
11,vehicle,23,4,5,0.776874731804377,0.7525019773086783
11,vehicle,23,4,5,0.7795214283296158,0.765567706045967
11,vehicle,23,4,5,0.7777034994285565,0.7680852007143777
12,vehicle,23,4,5,0.7942632762722998,0.7596908939014202
12,vehicle,23,4,5,0.7753912504002561,0.7583816646316646
12,vehicle,23,4,5,0.7805706295016859,0.7952009490450637
12,vehicle,23,4,5,0.7846494210631045,0.7552661429822211
13,vehicle,23,4,5,0.7917069436256131,0.7532890116578492
13,vehicle,23,4,5,0.7763109137401868,0.7773214285714285
13,vehicle,23,4,5,0.7949982906601392,0.7682538636197174
13,vehicle,23,4,5,0.7865457541921977,0.7786140025399774
14,vehicle,23,4,5,0.8072218569405366,0.7632432727858206
14,vehicle,23,4,5,0.7882031103975576,0.7679804212514493
14,vehicle,23,4,5,0.787064568077518,0.781191853155645
14,vehicle,23,4,5,0.7883411689336288,0.7795181043874755
15,vehicle,23,4,5,0.7868543542759662,0.7639197620020572
15,vehicle,23,4,5,0.7776150837971783,0.7571683969914058
15,vehicle,23,4,5,0.7810028546208039,0.7711583991622464
15,vehicle,23,4,5,0.7816376544666985,0.7799146129768202
16,vehicle,23,4,5,0.7842505811475391,0.7528030272193749
16,vehicle,23,4,5,0.7742913248206544,0.7550884970049607
16,vehicle,23,4,5,0.7938094833480063,0.7505600118617425
16,vehicle,23,4,5,0.7808196146249475,0.7891215526046986
17,vehicle,23,4,5,0.7734673690004601,0.7438550493936982
17,vehicle,23,4,5,0.7759660203087548,0.735376933969679
17,vehicle,23,4,5,0.771221594114734,0.7559784826486842
17,vehicle,23,4,5,0.7741544585291968,0.7565635034039877
18,vehicle,23,4,5,0.7817371160850952,0.7635340925435266
18,vehicle,23,4,5,0.7946153747540207,0.7779845773038843
18,vehicle,23,4,5,0.7921369108410047,0.7504732520946374
18,vehicle,23,4,5,0.783539392004863,0.7776310024021346
19,vehicle,23,4,5,0.7894671442615253,0.7702902965294944
19,vehicle,23,4,5,0.7818032879877881,0.736756548413758
19,vehicle,23,4,5,0.7890607045377441,0.7615199873191086
19,vehicle,23,4,5,0.7771031343817728,0.7847447827722521
20,vehicle,23,4,5,0.7903816554888743,0.7528778401015543
20,vehicle,23,4,5,0.7783113202691859,0.7516272721068985
20,vehicle,23,4,5,0.7806453774874083,0.7824305675349319
20,vehicle,23,4,5,0.7740104748907287,0.7751763706313066
21,vehicle,23,4,5,0.7981844539757796,0.7796369072911996
21,vehicle,23,4,5,0.79794321157047,0.7736822001527883
21,vehicle,23,4,5,0.8021702191974565,0.7814802449006921
21,vehicle,23,4,5,0.8014785896439869,0.7821428571428571
22,vehicle,23,4,5,0.7841394943283206,0.7681795834450702
22,vehicle,23,4,5,0.7772423937620864,0.7576723582430307
22,vehicle,23,4,5,0.7863987045727161,0.7632995537722476
22,vehicle,23,4,5,0.7830544087552902,0.76760271463551
23,vehicle,23,4,5,0.7973697581533729,0.7539488034466075
23,vehicle,23,4,5,0.7856064617046407,0.7580405311044491
