run,dataset,nin,nout,m,ftrain,ftest
1,waveform,26,3,5,0.8495252358861132,0.839470578241854
1,waveform,26,3,5,0.8432884413191543,0.8554896572090357
1,waveform,26,3,5,0.8506491717679944,0.8332172826729742
1,waveform,26,3,5,0.8444358733550094,0.8388251861516077
2,waveform,26,3,5,0.8398706871733608,0.8355423426979535
2,waveform,26,3,5,0.8351880257471193,0.8538022060963627
2,waveform,26,3,5,0.8373497760591665,0.8258759410161031
2,waveform,26,3,5,0.8387105364559764,0.8248745051401589
3,waveform,26,3,5,0.846953802022286,0.8370089463398819
3,waveform,26,3,5,0.8381269501002485,0.8621402788543566
3,waveform,26,3,5,0.8477884844535716,0.8401535164854353
3,waveform,26,3,5,0.8447649670114354,0.8232478467671168
4,waveform,26,3,5,0.8557188242298807,0.8382204791298293
4,waveform,26,3,5,0.8502680088231758,0.8586253031726976
4,waveform,26,3,5,0.8580659451829011,0.8470750073522412
4,waveform,26,3,5,0.8548412668281223,0.8371779270505454
5,waveform,26,3,5,0.8434852249951875,0.8311916296142211
5,waveform,26,3,5,0.8411787822366911,0.8730859770280833
5,waveform,26,3,5,0.8488712467442613,0.8198415188019793
5,waveform,26,3,5,0.8460259998702756,0.8326717003920533
6,waveform,26,3,5,0.8502319332611478,0.8336575024443524
6,waveform,26,3,5,0.8422583088176605,0.8519050812177494
6,waveform,26,3,5,0.8493037980419058,0.8334043083625948
6,waveform,26,3,5,0.8447917121100369,0.8475829524969342
7,waveform,26,3,5,0.8594939279519259,0.8452460041191481
7,waveform,26,3,5,0.8471185155901716,0.8684485760998165
7,waveform,26,3,5,0.8617021005684974,0.8299421992999253
7,waveform,26,3,5,0.8553527269339037,0.8565267829641421
8,waveform,26,3,5,0.8543939539848764,0.8415287739290487
8,waveform,26,3,5,0.8553671373123541,0.8518491576368367
8,waveform,26,3,5,0.8575400239412473,0.8389948313078633
8,waveform,26,3,5,0.8529496046781398,0.8418138595946516
9,waveform,26,3,5,0.8566877875162118,0.8464579324164503
