run,dataset,nin,nout,ftrain,ftest
1,cancer,34,2,0.9590278340582254,0.975117975117975
2,cancer,34,2,0.9561262132445113,0.9626769626769627
3,cancer,34,2,0.9593354246543511,0.975117975117975
4,cancer,34,2,0.9529042386185244,0.9876420454545455
5,cancer,34,2,0.9593354246543511,0.975117975117975
6,cancer,34,2,0.9593354246543511,0.9814016460612107
7,cancer,34,2,0.959483165477876,0.9814016460612107
8,cancer,34,2,0.9561262132445113,0.9938409259849208
9,cancer,34,2,0.9529042386185244,0.9876420454545455
10,cancer,34,2,0.9561262132445113,0.9687892376681615
11,cancer,34,2,0.962393897066724,0.9814016460612107
12,cancer,34,2,0.9561262132445113,0.9814016460612107
13,cancer,34,2,0.9625321153297174,0.975117975117975
14,cancer,34,2,0.9561262132445113,0.975117975117975
15,cancer,34,2,0.962393897066724,0.9814016460612107
16,cancer,34,2,0.9468232476249208,0.9938409259849208
17,cancer,34,2,0.9593354246543511,0.9814016460612107
18,cancer,34,2,0.9559605982168536,0.9876420454545455
19,cancer,34,2,0.9626666666666667,0.9876420454545455
20,cancer,34,2,0.9591836734693877,0.9938409259849208
21,cancer,34,2,0.959483165477876,0.975117975117975
22,cancer,34,2,0.9591836734693877,0.9687892376681615
23,cancer,34,2,0.9561262132445113,0.9876420454545455
24,cancer,34,2,0.9559605982168536,0.9687892376681615
25,cancer,34,2,0.9655915131690663,0.9814016460612107
26,cancer,34,2,0.9593354246543511,0.9814016460612107
27,cancer,34,2,0.9561262132445113,0.9626769626769627
28,cancer,34,2,0.9593354246543511,0.9687892376681615
29,cancer,34,2,0.9593354246543511,0.9687892376681615
30,cancer,34,2,0.962393897066724,0.9814016460612107
31,cancer,34,2,0.9685432844406097,0.9687892376681615
32,cancer,34,2,0.9591836734693877,0.9814016460612107
33,cancer,34,2,0.9559605982168536,0.9814016460612107
34,cancer,34,2,0.9593354246543511,0.9876420454545455
35,cancer,34,2,0.9559605982168536,0.9559891598915989
36,cancer,34,2,0.9532498063206263,0.9938409259849208
37,cancer,34,2,0.9657165246351258,0.9754410726887791
38,cancer,34,2,0.953415735720814,0.9938409259849208
39,cancer,34,2,0.962393897066724,0.9687892376681615
40,cancer,34,2,0.9561262132445113,0.9814016460612107
41,cancer,34,2,0.9593354246543511,0.9814016460612107
42,cancer,34,2,0.9561262132445113,0.9814016460612107
43,cancer,34,2,0.9530793361396359,0.9814016460612107
44,cancer,34,2,0.9561262132445113,0.9814016460612107
45,cancer,34,2,0.962393897066724,0.9876420454545455
46,cancer,34,2,0.9529042386185244,0.9814016460612107
47,cancer,34,2,0.9532498063206263,0.9876420454545455
48,cancer,34,2,0.9529042386185244,0.9876420454545455
49,cancer,34,2,0.9591836734693877,0.9814016460612107
50,cancer,34,2,0.9657165246351258,0.975284090909091
1,card,74,2,0.9037136018809042,0.8604462474645029
2,card,74,2,0.8805815160955348,0.8427628237684104
3,card,74,2,0.9005392755392756,0.8660572202471644
4,card,74,2,0.8832329249306167,0.8662383770076078
5,card,74,2,0.8834459459459459,0.8602951130364154
6,card,74,2,0.894909632437555,0.8313440405748098
7,card,74,2,0.9007479861910241,0.8661659731384688
8,card,74,2,0.8776182432432433,0.8720238095238095
9,card,74,2,0.8834459459459459,0.8486530391227833
10,card,74,2,0.9009290540540541,0.8544100220077874
11,card,74,2,0.8920425233210139,0.8602951130364154
12,card,74,2,0.9038014685379683,0.8430179494980226
13,card,74,2,0.9010093167701864,0.8429754860524091
14,card,74,2,0.8865753424657534,0.872093023255814
15,card,74,2,0.8862069840410687,0.8662745495723896
16,card,74,2,0.9122405372405372,0.8661659731384688
17,card,74,2,0.9008419557719618,0.8545282316722487
18,card,74,2,0.9065863399444933,0.8546069315300084
19,card,74,2,0.8889585309662555,0.8488372093023255
20,card,74,2,0.9152125829442124,0.8662383770076078
21,card,74,2,0.897878062600959,0.8371872887085869
22,card,74,2,0.8833434773787787,0.8371212121212122
23,card,74,2,0.8891763035098397,0.8427628237684104
24,card,74,2,0.9038014685379683,0.830932447547707
25,card,74,2,0.8921410404819643,0.8545282316722487
26,card,74,2,0.8890712786840859,0.8370109652091512
27,card,74,2,0.8776182432432433,0.8720757268424612
28,card,74,2,0.8891763035098397,0.8662383770076078
29,card,74,2,0.8864949679857602,0.8545282316722487
30,card,74,2,0.8918229506529606,0.8662745495723896
31,card,74,2,0.8862069840410687,0.8604462474645029
32,card,74,2,0.8923157388582853,0.8661659731384688
33,card,74,2,0.9037136018809042,0.8427628237684104
34,card,74,2,0.8977777777777778,0.8430179494980226
35,card,74,2,0.906674781903023,0.8545282316722487
36,card,74,2,0.8864949679857602,0.8546069315300084
37,card,74,2,0.8890712786840859,0.8425922787513134
38,card,74,2,0.8951013513513513,0.8720757268424612
39,card,74,2,0.8946886446886446,0.8604462474645029
40,card,74,2,0.8977777777777778,0.8487554112554112
41,card,74,2,0.8920425233210139,0.8720238095238095
42,card,74,2,0.8920425233210139,0.8486530391227833
43,card,74,2,0.8889585309662555,0.8604462474645029
44,card,74,2,0.9037136018809042,0.8603896103896104
45,card,74,2,0.8833434773787787,0.8603896103896104
46,card,74,2,0.8951013513513513,0.8427628237684104
47,card,74,2,0.8977777777777778,0.8778037146046889
48,card,74,2,0.8832329249306167,0.8370109652091512
49,card,74,2,0.8891763035098397,0.8657298985167837
50,card,74,2,0.906674781903023,0.8546069315300084
1,gene,145,3,0.9078663503145963,0.8549446651089255
2,gene,145,3,0.9082094323863713,0.8403743211041451
3,gene,145,3,0.8967028713864428,0.8530001663653
4,gene,145,3,0.9071748546890314,0.8530394957452824
5,gene,145,3,0.9082121639113109,0.8524803747348811
6,gene,145,3,0.9041226629404083,0.849845670009418
7,gene,145,3,0.9030425120298141,0.856338987791368
8,gene,145,3,0.8981122007863168,0.8549727645452974
9,gene,145,3,0.9041292726351515,0.8478613071635811
10,gene,145,3,0.8953793318373672,0.8483162620895763
11,gene,145,3,0.9012248434719755,0.8548017816656871
12,gene,145,3,0.8997002857389013,0.8537525000397282
13,gene,145,3,0.9053270124401993,0.8525821619493138
14,gene,145,3,0.9057406199479958,0.8608300782835739
15,gene,145,3,0.9019905510320531,0.8452956518228486
16,gene,145,3,0.8950039427734596,0.8531575771978331
17,gene,145,3,0.9064371389003346,0.8446857471594994
