run,dataset,nin,nout,ftrain,ftest
1,cancer,34,2,0.9529042386185244,0.9814016460612107
2,cancer,34,2,0.9564444444444444,0.9814016460612107
3,cancer,34,2,0.9625321153297174,0.975117975117975
4,cancer,34,2,0.962393897066724,0.9814016460612107
5,cancer,34,2,0.9464210137684488,0.9814016460612107
6,cancer,34,2,0.959483165477876,0.9687892376681615
7,cancer,34,2,0.9591836734693877,0.9814016460612107
8,cancer,34,2,0.9530793361396359,0.9814016460612107
9,cancer,34,2,0.9561262132445113,0.9687892376681615
10,cancer,34,2,0.9593354246543511,0.9814016460612107
11,cancer,34,2,0.9529042386185244,0.9814016460612107
12,cancer,34,2,0.9625321153297174,0.9687892376681615
13,cancer,34,2,0.9593354246543511,0.975117975117975
14,cancer,34,2,0.9564444444444444,0.9876420454545455
15,cancer,34,2,0.9591836734693877,0.975117975117975
16,cancer,34,2,0.9530793361396359,0.9814016460612107
17,cancer,34,2,0.9622519413287316,0.9876420454545455
18,cancer,34,2,0.9496692551049756,0.9814016460612107
19,cancer,34,2,0.9593354246543511,0.9876420454545455
20,cancer,34,2,0.9591836734693877,0.975117975117975
21,cancer,34,2,0.9593354246543511,0.975117975117975
22,cancer,34,2,0.9562874678846702,0.9938409259849208
23,cancer,34,2,0.9593354246543511,0.975117975117975
24,cancer,34,2,0.962393897066724,0.9687892376681615
25,cancer,34,2,0.9562874678846702,0.9814016460612107
26,cancer,34,2,0.9593354246543511,0.9687892376681615
27,cancer,34,2,0.9591836734693877,0.975117975117975
28,cancer,34,2,0.9496692551049756,0.9814016460612107
29,cancer,34,2,0.9591836734693877,0.9814016460612107
30,cancer,34,2,0.9625321153297174,0.962413594470046
31,cancer,34,2,0.9593354246543511,0.9687892376681615
32,cancer,34,2,0.9655915131690663,0.975117975117975
33,cancer,34,2,0.9529042386185244,0.9687892376681615
34,cancer,34,2,0.9527244239133371,0.975117975117975
35,cancer,34,2,0.9593354246543511,0.9814016460612107
36,cancer,34,2,0.9529042386185244,0.975117975117975
37,cancer,34,2,0.9530793361396359,0.9814016460612107
38,cancer,34,2,0.9593354246543511,0.9814016460612107
39,cancer,34,2,0.9591836734693877,0.9814016460612107
40,cancer,34,2,0.9559605982168536,0.9814016460612107
41,cancer,34,2,0.9625321153297174,0.9876420454545455
42,cancer,34,2,0.9591836734693877,0.9687892376681615
43,cancer,34,2,0.9625321153297174,0.9814016460612107
44,cancer,34,2,0.9562874678846702,0.9687892376681615
45,cancer,34,2,0.9622519413287316,0.9687892376681615
46,cancer,34,2,0.9559605982168536,0.9814016460612107
47,cancer,34,2,0.9625321153297174,0.9876420454545455
48,cancer,34,2,0.962393897066724,0.975117975117975
49,cancer,34,2,0.9593354246543511,0.975117975117975
50,cancer,34,2,0.9591836734693877,0.9876420454545455
1,card,74,2,0.8920425233210139,0.8719371869500474
2,card,74,2,0.8832329249306167,0.8429754860524091
3,card,74,2,0.8891763035098397,0.8371212121212122
4,card,74,2,0.8950091296409008,0.8661659731384688
5,card,74,2,0.8803714447611235,0.8836580086580086
6,card,74,2,0.8859755425801477,0.8427628237684104
7,card,74,2,0.880674197113235,0.8660572202471644
8,card,74,2,0.8920425233210139,0.8603896103896104
9,card,74,2,0.8891763035098397,0.8371872887085869
10,card,74,2,0.8864068079933136,0.8602951130364154
11,card,74,2,0.8834459459459459,0.8488167680865449
12,card,74,2,0.8975557610567664,0.8546069315300084
13,card,74,2,0.897878062600959,0.8720757268424612
14,card,74,2,0.9009290540540541,0.8662745495723896
15,card,74,2,0.8864068079933136,0.8775717723621326
16,card,74,2,0.8833434773787787,0.8546069315300084
17,card,74,2,0.9065863399444933,0.8542521099549198
18,card,74,2,0.8660714285714286,0.8662383770076078
19,card,74,2,0.8918229506529606,0.8542521099549198
20,card,74,2,0.8835403726708074,0.8777044184865413
21,card,74,2,0.8889585309662555,0.8661659731384688
22,card,74,2,0.8894454563853471,0.8720757268424612
23,card,74,2,0.8859755425801477,0.8719371869500474
24,card,74,2,0.8890712786840859,0.8370109652091512
25,card,74,2,0.8918229506529606,0.8662383770076078
26,card,74,2,0.8951013513513513,0.831389649460839
27,card,74,2,0.8980573917888712,0.8603896103896104
28,card,74,2,0.8917018045457245,0.8485094850948509
29,card,74,2,0.906674781903023,0.8545282316722487
30,card,74,2,0.9038014685379683,0.8720757268424612
31,card,74,2,0.8979712545099663,0.8778037146046889
32,card,74,2,0.8835403726708074,0.8604462474645029
33,card,74,2,0.8834459459459459,0.8662383770076078
34,card,74,2,0.8748534262407099,0.8604462474645029
35,card,74,2,0.8950091296409008,0.8662383770076078
36,card,74,2,0.8892736486486487,0.8778037146046889
37,card,74,2,0.8976703587257735,0.8719371869500474
38,card,74,2,0.8951863354037267,0.8720757268424612
